Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
Electrify Squash Div 13,2,2,0,11,9,1,0,0,0,0
Sha Tin 6,2,2,0,11,9,1,0,1,0,0
Energy Squash Club 1,2,2,0,10,8,2,0,2,0,0
Fusion Squash Club 2,2,2,0,8,6,4,0,0,0,0
SocGen Squash,2,1,1,8,7,3,2,0,0,0
X-Alpha 5,2,1,1,7,6,4,0,0,0,0
i-Mask Advance Squash Club 5,2,1,1,6,5,5,0,2,0,0
Yuen Long District Sports Association Limited,2,1,1,4,3,7,0,3,0,0
HKIS Div 13,2,0,2,3,3,7,4,0,0,0
Energy Squash Club 2,2,0,2,3,3,7,2,0,0,0
Happy Squash 4,2,0,2,1,1,9,0,0,0,0
Kinetic 4,2,0,2,0,0,10,0,0,0,0
