Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
TNG 2,7,6,1,30,24,11,3,1,0,0
Greenfield,7,6,1,30,24,11,0,1,0,0
TNG 1,6,5,1,27,22,8,0,1,0,0
Royal Hong Kong Yacht Club Div 13,6,5,1,26,21,9,0,3,0,0
Squashathon PLZ,7,3,4,22,19,16,0,2,0,0
Bravo D13,7,3,4,20,17,18,1,7,0,0
North District Sports Association 2,7,3,4,18,15,20,0,0,0,0
Arctic Circle,6,3,3,18,15,15,0,0,0,0
M&M Squash,7,2,5,14,12,23,0,0,0,0
Physical Chess 4,6,1,5,13,12,18,3,1,0,0
Vitality Squash 3,7,2,5,12,10,25,9,0,0,0
Star River 3,7,1,6,10,9,26,0,0,0,0
