Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
Kowloon Cricket Club 6B,7,7,0,36,29,6,0,0,0,0
United Services Recreation Club 2,7,6,1,32,26,9,0,0,0,0
Kowloon Cricket Club 6A,7,4,3,24,20,15,0,0,0,0
Hong Kong Cricket Club 4,7,4,3,24,20,15,0,0,0,0
Hong Kong Football Club 6A,7,4,3,21,17,18,0,0,0,0
Hong Kong Football Club 6B,7,3,4,19,16,19,0,0,0,0
Hong Kong Football Club 6C,7,2,5,16,14,21,0,0,0,0
Friend Club 3,7,2,5,16,14,21,0,0,0,0
Global Squash 1,7,2,5,14,12,23,0,0,0,0
Social Squash Team,7,1,6,8,7,28,0,0,0,0
