Team Name,Home,Average Home Score,Average Away Score,home_away_diff
TNG 2,Cornwall Street Squash Centre,4.0,3.0,1.0
Squashathon PLZ,Cornwall Street Squash Centre,3.5,2.6,0.8999999999999999
TNG 1,Cornwall Street Squash Centre,4.0,3.6666666666666665,0.3333333333333335
Star River 3,Cornwall Street Squash Centre,1.5,1.4,0.10000000000000009
North District Sports Association 2,Cornwall Street Squash Centre,2.5,2.5,0.0
Physical Chess 4,Cornwall Street Squash Centre,1.6666666666666667,1.6666666666666667,0.0
Royal Hong Kong Yacht Club Div 13,Royal Hong Kong Yacht Club,3.25,3.4,-0.1499999999999999
Arctic Circle,Cornwall Street Squash Centre,3.25,3.5,-0.25
M&M Squash,Cornwall Street Squash Centre,1.3333333333333333,1.75,-0.41666666666666674
Bravo D13,Cornwall Street Squash Centre,2.0,3.0,-1.0
Vitality Squash 3,HK Squash Centre,1.0,2.0,-1.0
Greenfield,Cornwall Street Squash Centre,2.3333333333333335,4.0,-1.6666666666666665
