Home Team,Away Team,Venue,Match Week,Date
Physical Chess 4,Bravo D13,Cornwall Street Squash Centre,13,2025-02-07
TNG 1,Physical Chess 4,Cornwall Street Squash Centre,14,2025-02-14
Squashathon PLZ,Arctic Circle,Cornwall Street Squash Centre,14,2025-02-14
TNG 2,Greenfield,Cornwall Street Squash Centre,15,2025-02-21
Star River 3,Arctic Circle,Cornwall Street Squash Centre,15,2025-02-21
Bravo D13,TNG 1,Cornwall Street Squash Centre,15,2025-02-21
Greenfield,Squashathon PLZ,Cornwall Street Squash Centre,16,2025-02-28
TNG 2,M&M Squash,Cornwall Street Squash Centre,17,2025-03-07
TNG 1,Arctic Circle,Cornwall Street Squash Centre,17,2025-03-07
Bravo D13,Vitality Squash 3,HK Squash Centre,17,2025-03-07
Greenfield,Physical Chess 4,Cornwall Street Squash Centre,18,2025-03-14
North District Sports Association 2,Star River 3,Cornwall Street Squash Centre,18,2025-03-14
M&M Squash,Squashathon PLZ,Cornwall Street Squash Centre,18,2025-03-14
TNG 2,Bravo D13,Cornwall Street Squash Centre,18,2025-03-14
Squashathon PLZ,TNG 2,Cornwall Street Squash Centre,19,2025-03-21
Star River 3,M&M Squash,Cornwall Street Squash Centre,19,2025-03-21
Physical Chess 4,North District Sports Association 2,Cornwall Street Squash Centre,19,2025-03-21
TNG 1,Greenfield,Cornwall Street Squash Centre,19,2025-03-21
North District Sports Association 2,TNG 1,Cornwall Street Squash Centre,20,2025-03-28
M&M Squash,Physical Chess 4,Cornwall Street Squash Centre,20,2025-03-28
TNG 2,Star River 3,Cornwall Street Squash Centre,20,2025-03-28
Squashathon PLZ,Bravo D13,Cornwall Street Squash Centre,20,2025-03-28
Star River 3,Squashathon PLZ,Cornwall Street Squash Centre,21,2025-04-11
Physical Chess 4,TNG 2,Cornwall Street Squash Centre,21,2025-04-11
TNG 1,M&M Squash,Cornwall Street Squash Centre,21,2025-04-11
Arctic Circle,Greenfield,Cornwall Street Squash Centre,21,2025-04-11
TNG 2,Squashathon PLZ,Cornwall Street Squash Centre,22,2025-05-02
M&M Squash,Star River 3,Cornwall Street Squash Centre,22,2025-05-02
North District Sports Association 2,Physical Chess 4,Cornwall Street Squash Centre,22,2025-05-02
Arctic Circle,Bravo D13,Cornwall Street Squash Centre,22,2025-05-02
