Home Team,Away Team,Venue,Match Week,Date
Hong Kong Football Club L2C,Hong Kong Football Club L2B,Hong Kong Football Club,3,2024-10-22
Hong Kong Football Club L2B,Hong Kong Football Club L2A,Hong Kong Football Club,6,2024-11-12
Hong Kong Football Club L2A,Hong Kong Football Club L2C,Hong Kong Football Club,7,2024-11-19
Hong Kong Football Club L2B,Hong Kong Football Club L2C,Hong Kong Football Club,8,2024-11-26
Hong Kong Football Club L2C,JESSICA L2,HK Squash Centre,9,2024-12-10
Hong Kong Football Club L2A,Hong Kong Football Club L2B,Hong Kong Football Club,11,2025-01-07
Hong Kong Football Club L2C,Hong Kong Football Club L2A,Hong Kong Football Club,12,2025-01-14
Hong Kong Football Club L2C,Hong Kong Football Club L2B,Hong Kong Football Club,13,2025-01-21
Hong Kong Football Club L2B,Hong Kong Football Club L2A,Hong Kong Football Club,16,2025-02-25
Hong Kong Football Club L2A,Hong Kong Football Club L2C,Hong Kong Football Club,17,2025-03-04
Hong Kong Football Club L2B,Hong Kong Football Club L2C,Hong Kong Football Club,18,2025-03-11
