Home Team,Away Team,Venue,Match Week,Date
The Best Group 2,Kwai Tsing District Squash Club,Cornwall Street Squash Centre,9,2024-11-27
i-Mask Advance Squash Club 3,Friend Club,Cornwall Street Squash Centre,10,2024-12-18
The Best Group 2,HKPF Squash Team,Cornwall Street Squash Centre,10,2024-12-18
Friend Club,The Best Group 2,Cornwall Street Squash Centre,11,2025-01-08
Kwai Tsing District Squash Club,i-Mask Advance Squash Club 3,Cornwall Street Squash Centre,11,2025-01-08
Kwai Tsing District Squash Club,Friend Club,Cornwall Street Squash Centre,12,2025-01-15
HKPF Squash Team,i-Mask Advance Squash Club 3,Cornwall Street Squash Centre,13,2025-01-22
The Best Group 2,i-Mask Advance Squash Club 3,Cornwall Street Squash Centre,14,2025-02-12
Kwai Tsing District Squash Club,The Best Group 2,Cornwall Street Squash Centre,15,2025-02-19
HKPF Squash Team,Friend Club,Cornwall Street Squash Centre,16,2025-02-26
Friend Club,i-Mask Advance Squash Club 3,Cornwall Street Squash Centre,17,2025-03-05
HKPF Squash Team,The Best Group 2,Cornwall Street Squash Centre,17,2025-03-05
The Best Group 2,Friend Club,Cornwall Street Squash Centre,18,2025-03-12
i-Mask Advance Squash Club 3,Kwai Tsing District Squash Club,Cornwall Street Squash Centre,18,2025-03-12
Friend Club,Kwai Tsing District Squash Club,Cornwall Street Squash Centre,19,2025-03-19
i-Mask Advance Squash Club 3,HKPF Squash Team,Cornwall Street Squash Centre,20,2025-03-26
Friend Club,HKPF Squash Team,Cornwall Street Squash Centre,21,2025-04-02
