Home Team,Away Team,Venue,Match Week,Date
Ladies Recreation Club Div 8,i-Mask Advance Squash Club 2,Ladies Recreation Club,9,2025-01-03
Hong Kong Football Club 8,i-Mask Advance Squash Club 2,Hong Kong Football Club,11,2025-01-17
TOMCAT,Kinetic 2,Cornwall Street Squash Centre,12,2025-01-24
i-Mask Advance Squash Club 2,Sha Tin 3,Cornwall Street Squash Centre,12,2025-01-24
Striving Squash,Hong Kong Football Club 8,Kwun Chung Sports Centre,12,2025-01-24
Squashathon Zero,Physical Chess 3,HK Squash Centre,12,2025-01-24
Physical Chess 3,Ladies Recreation Club Div 8,HK Squash Centre,13,2025-02-07
Squashathon Zero,Hong Kong Football Club 8,Cornwall Street Squash Centre,13,2025-02-07
Striving Squash,Sha Tin 3,Kwun Chung Sports Centre,13,2025-02-07
Kinetic 2,i-Mask Advance Squash Club 2,Yuen Long Jockey Club Squash Courts,13,2025-02-07
i-Mask Advance Squash Club 2,TOMCAT,Cornwall Street Squash Centre,14,2025-02-14
Kinetic 2,Striving Squash,Yuen Long Jockey Club Squash Courts,14,2025-02-14
Squashathon Zero,Sha Tin 3,Cornwall Street Squash Centre,14,2025-02-14
Ladies Recreation Club Div 8,Hong Kong Football Club 8,Ladies Recreation Club,14,2025-02-14
Hong Kong Football Club 8,Physical Chess 3,Hong Kong Football Club,15,2025-02-21
Sha Tin 3,Ladies Recreation Club Div 8,HK Squash Centre,15,2025-02-21
Kinetic 2,Squashathon Zero,Yuen Long Jockey Club Squash Courts,15,2025-02-21
Striving Squash,TOMCAT,Kwun Chung Sports Centre,15,2025-02-21
i-Mask Advance Squash Club 2,Striving Squash,Cornwall Street Squash Centre,16,2025-02-28
Squashathon Zero,TOMCAT,Cornwall Street Squash Centre,16,2025-02-28
Ladies Recreation Club Div 8,Kinetic 2,Ladies Recreation Club,16,2025-02-28
Physical Chess 3,Sha Tin 3,Cornwall Street Squash Centre,16,2025-02-28
Sha Tin 3,Hong Kong Football Club 8,Cornwall Street Squash Centre,17,2025-03-07
Kinetic 2,Physical Chess 3,Yuen Long Jockey Club Squash Courts,17,2025-03-07
TOMCAT,Ladies Recreation Club Div 8,Cornwall Street Squash Centre,17,2025-03-07
i-Mask Advance Squash Club 2,Squashathon Zero,HK Squash Centre,17,2025-03-07
Hong Kong Football Club 8,Sha Tin 3,Hong Kong Football Club,18,2025-03-14
Physical Chess 3,Kinetic 2,HK Squash Centre,18,2025-03-14
Ladies Recreation Club Div 8,TOMCAT,Ladies Recreation Club,18,2025-03-14
Squashathon Zero,i-Mask Advance Squash Club 2,Java Road Sports Centre,18,2025-03-14
