Home Team,Away Team,Venue,Match Week,Date,Overall Score,Rubbers,Home Score,Away Score,Home Games Won,Away Games Won,Winner Rubber 1,Winner Rubber 2,Winner Rubber 3,Winner Rubber 4
JESSICA L2,Kowloon Cricket Club L2,HK Squash Centre,1,08/10/2024,2-2,"['3-0', '0-3', '3-2', '0-3']",2,2,6,8,JESSICA L2,Kowloon Cricket Club L2,JESSICA L2,Kowloon Cricket Club L2
Hong Kong Football Club L2C,Hong Kong Cricket Club L2,Hong Kong Football Club,1,08/10/2024,1-3,"['3-2', '1-3', '0-3', '0-3']",1,3,4,11,Hong Kong Football Club L2C,Hong Kong Cricket Club L2,Hong Kong Cricket Club L2,Hong Kong Cricket Club L2
Hong Kong Football Club L2A,Hong Kong Football Club L2B,Hong Kong Football Club,1,08/10/2024,2-2,"['0-3', '0-3', '3-2', '3-2']",2,2,6,10,Hong Kong Football Club L2B,Hong Kong Football Club L2B,Hong Kong Football Club L2A,Hong Kong Football Club L2A
JESSICA L2,Hong Kong Football Club L2B,HK Squash Centre,2,15/10/2024,2-2,"['3-0', '0-3', '3-2', '1-3']",2,2,7,8,JESSICA L2,Hong Kong Football Club L2B,JESSICA L2,Hong Kong Football Club L2B
Hong Kong Cricket Club L2,Kowloon Cricket Club L2,Hong Kong Cricket Club,2,15/10/2024,0-4,"['0-3', '0-3', '1-3', '0-3']",0,4,1,12,Kowloon Cricket Club L2,Kowloon Cricket Club L2,Kowloon Cricket Club L2,Kowloon Cricket Club L2
Hong Kong Football Club L2C,Hong Kong Football Club L2A,Hong Kong Football Club,2,15/10/2024,1-3,"['0-3', '2-3', '3-0', '0-3']",1,3,5,9,Hong Kong Football Club L2A,Hong Kong Football Club L2A,Hong Kong Football Club L2C,Hong Kong Football Club L2A
Hong Kong Cricket Club L2,JESSICA L2,Hong Kong Cricket Club,3,22/10/2024,0-4,"['0-3', '0-3', '0-3', '0-3']",0,4,0,12,JESSICA L2,JESSICA L2,JESSICA L2,JESSICA L2
Kowloon Cricket Club L2,Hong Kong Football Club L2A,Kowloon Cricket Club,3,22/10/2024,2-2,"['1-3', '3-0', '3-0', '1-3']",2,2,8,6,Hong Kong Football Club L2A,Kowloon Cricket Club L2,Kowloon Cricket Club L2,Hong Kong Football Club L2A
Hong Kong Football Club L2C,Hong Kong Football Club L2B,Hong Kong Football Club,3,22/10/2024,0-4,"['0-3', '0-3', '0-3', 'CR']",0,4,0,12,Hong Kong Football Club L2B,Hong Kong Football Club L2B,Hong Kong Football Club L2B,
Hong Kong Football Club L2B,Kowloon Cricket Club L2,Hong Kong Football Club,4,29/10/2024,2-2,"['0-3', '2-3', '3-2', '3-1']",2,2,8,9,Kowloon Cricket Club L2,Kowloon Cricket Club L2,Hong Kong Football Club L2B,Hong Kong Football Club L2B
