Home Team,Away Team,Venue,Match Week,Date,Overall Score,Rubbers,Home Score,Away Score,Home Games Won,Away Games Won,Winner Rubber 1,Winner Rubber 2,Winner Rubber 3,Winner Rubber 4
Ladies Recreation Club M2A,Ladies Recreation Club M2B,Ladies Recreation Club,1,02/10/2024,1-3,"['3-0', '2-3', '0-3', '0-3']",1,3,5,9,Ladies Recreation Club M2A,Ladies Recreation Club M2B,Ladies Recreation Club M2B,Ladies Recreation Club M2B
Hong Kong Football Club M2A,Hong Kong Football Club M2B,Hong Kong Football Club,1,02/10/2024,1-3,"['3-0', '1-3', '1-3', '2-3']",1,3,7,9,Hong Kong Football Club M2A,Hong Kong Football Club M2B,Hong Kong Football Club M2B,Hong Kong Football Club M2B
Hong Kong Cricket Club M2A,Hong Kong Cricket Club M2B,Hong Kong Cricket Club,1,02/10/2024,2-2,"['3-0', '1-3', '3-0', '0-3']",2,2,7,6,Hong Kong Cricket Club M2A,Hong Kong Cricket Club M2B,Hong Kong Cricket Club M2A,Hong Kong Cricket Club M2B
Ladies Recreation Club M2B,Hong Kong Cricket Club M2B,Ladies Recreation Club,2,09/10/2024,1-3,"['0-3', '0-3', '3-2', '1-3']",1,3,4,11,Hong Kong Cricket Club M2B,Hong Kong Cricket Club M2B,Ladies Recreation Club M2B,Hong Kong Cricket Club M2B
Hong Kong Football Club M2B,Hong Kong Cricket Club M2A,Hong Kong Football Club,2,09/10/2024,3-1,"['3-0', '3-2', '1-3', '3-0']",3,1,10,5,Hong Kong Football Club M2B,Hong Kong Football Club M2B,Hong Kong Cricket Club M2A,Hong Kong Football Club M2B
Hong Kong Football Club M2A,Ladies Recreation Club M2A,Hong Kong Football Club,2,09/10/2024,3-1,"['0-3', '3-1', '3-0', '3-0']",3,1,9,4,Ladies Recreation Club M2A,Hong Kong Football Club M2A,Hong Kong Football Club M2A,Hong Kong Football Club M2A
Hong Kong Football Club M2A,Ladies Recreation Club M2B,Hong Kong Football Club,3,16/10/2024,3-1,"['3-0', '1-3', '3-1', '3-0']",3,1,10,4,Hong Kong Football Club M2A,Ladies Recreation Club M2B,Hong Kong Football Club M2A,Hong Kong Football Club M2A
Ladies Recreation Club M2A,Hong Kong Cricket Club M2A,Ladies Recreation Club,3,16/10/2024,2-2,"['3-1', '3-1', '0-3', '0-3']",2,2,6,8,Ladies Recreation Club M2A,Ladies Recreation Club M2A,Hong Kong Cricket Club M2A,Hong Kong Cricket Club M2A
Hong Kong Cricket Club M2B,Hong Kong Football Club M2B,Hong Kong Cricket Club,3,16/10/2024,3-1,"['3-0', '2-3', '3-1', '3-0']",3,1,11,4,Hong Kong Cricket Club M2B,Hong Kong Football Club M2B,Hong Kong Cricket Club M2B,Hong Kong Cricket Club M2B
Ladies Recreation Club M2B,Hong Kong Football Club M2B,Ladies Recreation Club,4,23/10/2024,0-4,"['0-3', '1-3', '0-3', 'CR']",0,4,1,12,Hong Kong Football Club M2B,Hong Kong Football Club M2B,Hong Kong Football Club M2B,
Hong Kong Cricket Club M2B,Ladies Recreation Club M2A,Hong Kong Cricket Club,4,23/10/2024,2-2,"['0-3', '3-2', '3-0', '1-3']",2,2,7,8,Ladies Recreation Club M2A,Hong Kong Cricket Club M2B,Hong Kong Cricket Club M2B,Ladies Recreation Club M2A
Hong Kong Football Club M2A,Hong Kong Cricket Club M2A,Hong Kong Football Club,4,23/10/2024,3-1,"['3-1', '0-3', '3-1', '3-0']",3,1,9,5,Hong Kong Football Club M2A,Hong Kong Cricket Club M2A,Hong Kong Football Club M2A,Hong Kong Football Club M2A
Hong Kong Cricket Club M2A,Ladies Recreation Club M2B,Hong Kong Cricket Club,5,30/10/2024,3-1,"['3-0', '1-3', '3-1', '3-1']",3,1,10,5,Hong Kong Cricket Club M2A,Ladies Recreation Club M2B,Hong Kong Cricket Club M2A,Hong Kong Cricket Club M2A
Hong Kong Cricket Club M2B,Hong Kong Football Club M2A,Hong Kong Cricket Club,5,30/10/2024,1-3,"['0-3', '3-2', '0-3', '1-3']",1,3,4,11,Hong Kong Football Club M2A,Hong Kong Cricket Club M2B,Hong Kong Football Club M2A,Hong Kong Football Club M2A
Ladies Recreation Club M2A,Hong Kong Football Club M2B,Ladies Recreation Club,5,30/10/2024,1-3,"['3-1', '1-3', '0-3', 'CR']",1,3,4,10,Ladies Recreation Club M2A,Hong Kong Football Club M2B,Hong Kong Football Club M2B,
Ladies Recreation Club M2B,Ladies Recreation Club M2A,Ladies Recreation Club,6,06/11/2024,3-1,"['3-0', '3-1', '3-1', 'WO']",3,1,12,2,Ladies Recreation Club M2B,Ladies Recreation Club M2B,Ladies Recreation Club M2B,
Hong Kong Football Club M2B,Hong Kong Football Club M2A,Hong Kong Football Club,6,06/11/2024,2-2,"['1-3', '3-1', '1-3', '3-1']",2,2,8,8,Hong Kong Football Club M2A,Hong Kong Football Club M2B,Hong Kong Football Club M2A,Hong Kong Football Club M2B
Hong Kong Cricket Club M2B,Hong Kong Cricket Club M2A,Hong Kong Cricket Club,6,06/11/2024,1-3,"['0-3', '2-3', '3-1', '0-3']",1,3,5,10,Hong Kong Cricket Club M2A,Hong Kong Cricket Club M2A,Hong Kong Cricket Club M2B,Hong Kong Cricket Club M2A
Hong Kong Cricket Club M2B,Ladies Recreation Club M2B,Hong Kong Cricket Club,7,13/11/2024,3-1,"['3-0', '0-3', '3-0', 'CR']",3,1,9,3,Hong Kong Cricket Club M2B,Ladies Recreation Club M2B,Hong Kong Cricket Club M2B,
Hong Kong Cricket Club M2A,Hong Kong Football Club M2B,Hong Kong Cricket Club,7,13/11/2024,1-3,"['0-3', '3-0', '1-3', '2-3']",1,3,6,9,Hong Kong Football Club M2B,Hong Kong Cricket Club M2A,Hong Kong Football Club M2B,Hong Kong Football Club M2B
Ladies Recreation Club M2A,Hong Kong Football Club M2A,Ladies Recreation Club,7,13/11/2024,2-2,"['3-0', '0-3', '3-1', '0-3']",2,2,6,7,Ladies Recreation Club M2A,Hong Kong Football Club M2A,Ladies Recreation Club M2A,Hong Kong Football Club M2A
