Home Team,Away Team,Venue,Match Week,Date,Overall Score,Rubbers,Home Score,Away Score,Home Games Won,Away Games Won,Winner Rubber 1,Winner Rubber 2,Winner Rubber 3,Winner Rubber 4,Winner Rubber 5
SKCSC,Royal Hong Kong Yacht Club M4,Masters - Cornwall Street Squash Centre,1,03/10/2024,2-3,"['3-1', '2-3', '0-3', '3-0', '0-3']",2,3,8,10,SKCSC,Royal Hong Kong Yacht Club M4,Royal Hong Kong Yacht Club M4,SKCSC,Royal Hong Kong Yacht Club M4
Bolton,Hong Kong Club Blue,Masters - HK Squash Centre,1,03/10/2024,1-4,"['2-3', '1-3', '3-0', '0-3', 'CR']",1,4,6,12,Hong Kong Club Blue,Hong Kong Club Blue,Bolton,Hong Kong Club Blue,
WAKO,United Services Recreation Club M4,Masters - Harbour Road Sports Centre,1,03/10/2024,1-4,"['1-3', '3-0', '0-3', '0-3', '0-3']",1,4,4,12,United Services Recreation Club M4,WAKO,United Services Recreation Club M4,United Services Recreation Club M4,United Services Recreation Club M4
Hong Kong Football Club M4A,Hong Kong Football Club M4B,Hong Kong Football Club,1,03/10/2024,5-0,"['3-0', '3-0', '3-0', '3-0', '3-0']",5,0,15,0,Hong Kong Football Club M4A,Hong Kong Football Club M4A,Hong Kong Football Club M4A,Hong Kong Football Club M4A,Hong Kong Football Club M4A
Royal Hong Kong Yacht Club M4,United Services Recreation Club M4,Royal Hong Kong Yacht Club,2,10/10/2024,1-4,"['1-3', '0-3', '1-3', '2-3', '3-0']",1,4,7,12,United Services Recreation Club M4,United Services Recreation Club M4,United Services Recreation Club M4,United Services Recreation Club M4,Royal Hong Kong Yacht Club M4
Bolton,WAKO,Masters - HK Squash Centre,2,10/10/2024,0-5,"['2-3', '1-3', '0-3', '0-3', '0-3']",0,5,3,15,WAKO,WAKO,WAKO,WAKO,WAKO
Hong Kong Football Club M4B,Hong Kong Club Blue,Hong Kong Football Club,2,10/10/2024,5-0,"['3-1', '3-0', '3-1', '3-0', '3-0']",5,0,15,2,Hong Kong Football Club M4B,Hong Kong Football Club M4B,Hong Kong Football Club M4B,Hong Kong Football Club M4B,Hong Kong Football Club M4B
SKCSC,Hong Kong Football Club M4A,Masters - Cornwall Street Squash Centre,2,10/10/2024,4-1,"['0-3', '3-0', '3-0', '3-0', '3-1']",4,1,12,4,Hong Kong Football Club M4A,SKCSC,SKCSC,SKCSC,SKCSC
Hong Kong Football Club M4A,Royal Hong Kong Yacht Club M4,Hong Kong Football Club,3,17/10/2024,2-3,"['3-1', '1-3', '0-3', '3-2', '0-3']",2,3,7,12,Hong Kong Football Club M4A,Royal Hong Kong Yacht Club M4,Royal Hong Kong Yacht Club M4,Hong Kong Football Club M4A,Royal Hong Kong Yacht Club M4
Hong Kong Club Blue,SKCSC,Masters - HK Squash Centre,3,17/10/2024,0-5,"['0-3', '0-3', '1-3', '0-3', '0-3']",0,5,1,15,SKCSC,SKCSC,SKCSC,SKCSC,SKCSC
WAKO,Hong Kong Football Club M4B,Masters - Harbour Road Sports Centre,3,17/10/2024,4-1,"['0-3', '3-0', '3-1', '3-1', '3-0']",4,1,12,5,Hong Kong Football Club M4B,WAKO,WAKO,WAKO,WAKO
United Services Recreation Club M4,Bolton,United Services Recreation Club,3,17/10/2024,4-1,"['3-2', '1-3', '3-0', '3-0', '3-0']",4,1,13,5,United Services Recreation Club M4,Bolton,United Services Recreation Club M4,United Services Recreation Club M4,United Services Recreation Club M4
Royal Hong Kong Yacht Club M4,Bolton,Royal Hong Kong Yacht Club,4,24/10/2024,5-0,"['3-1', '3-2', '3-0', '3-2', '3-1']",5,0,15,6,Royal Hong Kong Yacht Club M4,Royal Hong Kong Yacht Club M4,Royal Hong Kong Yacht Club M4,Royal Hong Kong Yacht Club M4,Royal Hong Kong Yacht Club M4
Hong Kong Football Club M4B,United Services Recreation Club M4,Hong Kong Football Club,4,24/10/2024,3-2,"['3-0', '3-0', '3-2', '2-3', '0-3']",3,2,11,8,Hong Kong Football Club M4B,Hong Kong Football Club M4B,Hong Kong Football Club M4B,United Services Recreation Club M4,United Services Recreation Club M4
SKCSC,WAKO,Masters - Cornwall Street Squash Centre,4,24/10/2024,3-2,"['3-1', '1-3', '3-1', '3-0', '0-3']",3,2,10,8,SKCSC,WAKO,SKCSC,SKCSC,WAKO
Hong Kong Club Blue,Hong Kong Football Club M4A,Masters - HK Squash Centre,4,24/10/2024,2-3,"['2-3', '3-1', '2-3', '3-0', '2-3']",2,3,12,10,Hong Kong Football Club M4A,Hong Kong Club Blue,Hong Kong Football Club M4A,Hong Kong Club Blue,Hong Kong Football Club M4A
Hong Kong Club Blue,Royal Hong Kong Yacht Club M4,Masters - HK Squash Centre,5,31/10/2024,2-3,"['3-1', '3-0', '0-3', '1-3', '1-3']",2,3,8,10,Hong Kong Club Blue,Hong Kong Club Blue,Royal Hong Kong Yacht Club M4,Royal Hong Kong Yacht Club M4,Royal Hong Kong Yacht Club M4
WAKO,Hong Kong Football Club M4A,Masters - Harbour Road Sports Centre,5,31/10/2024,0-5,"['0-3', '1-3', '0-3', '0-3', '0-3']",0,5,1,15,Hong Kong Football Club M4A,Hong Kong Football Club M4A,Hong Kong Football Club M4A,Hong Kong Football Club M4A,Hong Kong Football Club M4A
United Services Recreation Club M4,SKCSC,United Services Recreation Club,5,31/10/2024,3-2,"['2-3', '0-3', '3-2', '3-0', '3-0']",3,2,11,8,SKCSC,SKCSC,United Services Recreation Club M4,United Services Recreation Club M4,United Services Recreation Club M4
Hong Kong Football Club M4B,Bolton,Hong Kong Football Club,5,31/10/2024,3-2,"['3-0', '3-0', '1-3', '3-2', '0-3']",3,2,10,8,Hong Kong Football Club M4B,Hong Kong Football Club M4B,Bolton,Hong Kong Football Club M4B,Bolton
Royal Hong Kong Yacht Club M4,Hong Kong Football Club M4B,Royal Hong Kong Yacht Club,6,07/11/2024,2-3,"['0-3', '0-3', '3-2', '3-0', '2-3']",2,3,8,11,Hong Kong Football Club M4B,Hong Kong Football Club M4B,Royal Hong Kong Yacht Club M4,Royal Hong Kong Yacht Club M4,Hong Kong Football Club M4B
SKCSC,Bolton,Masters - Cornwall Street Squash Centre,6,07/11/2024,4-1,"['2-3', '3-0', '3-1', '3-0', '3-0']",4,1,14,4,Bolton,SKCSC,SKCSC,SKCSC,SKCSC
Hong Kong Football Club M4A,United Services Recreation Club M4,Hong Kong Football Club,6,07/11/2024,3-2,"['3-2', '3-0', '3-0', '0-3', '0-3']",3,2,9,8,Hong Kong Football Club M4A,Hong Kong Football Club M4A,Hong Kong Football Club M4A,United Services Recreation Club M4,United Services Recreation Club M4
Hong Kong Club Blue,WAKO,HK CLUB,6,07/11/2024,2-3,"['3-0', '1-3', '0-3', '0-3', '3-0']",2,3,7,9,Hong Kong Club Blue,WAKO,WAKO,WAKO,Hong Kong Club Blue
WAKO,Royal Hong Kong Yacht Club M4,Masters - Harbour Road Sports Centre,7,14/11/2024,3-2,"['3-1', '3-0', '3-0', '0-3', '0-3']",3,2,9,7,WAKO,WAKO,WAKO,Royal Hong Kong Yacht Club M4,Royal Hong Kong Yacht Club M4
United Services Recreation Club M4,Hong Kong Club Blue,United Services Recreation Club,7,14/11/2024,3-2,"['3-1', '0-3', '3-1', '3-1', '0-3']",3,2,9,9,United Services Recreation Club M4,Hong Kong Club Blue,United Services Recreation Club M4,United Services Recreation Club M4,Hong Kong Club Blue
Bolton,Hong Kong Football Club M4A,Masters - HK Squash Centre,7,14/11/2024,3-2,"['2-3', '3-2', '0-3', '3-2', '3-2']",3,2,11,12,Hong Kong Football Club M4A,Bolton,Hong Kong Football Club M4A,Bolton,Bolton
Hong Kong Football Club M4B,SKCSC,Hong Kong Football Club,7,14/11/2024,2-3,"['3-0', '0-3', '0-3', '3-2', '0-3']",2,3,6,11,Hong Kong Football Club M4B,SKCSC,SKCSC,Hong Kong Football Club M4B,SKCSC
Royal Hong Kong Yacht Club M4,SKCSC,Royal Hong Kong Yacht Club,8,21/11/2024,2-3,"['2-3', '2-3', '1-3', '3-1', '3-1']",2,3,11,11,SKCSC,SKCSC,SKCSC,Royal Hong Kong Yacht Club M4,Royal Hong Kong Yacht Club M4
Bolton,Hong Kong Club Blue,Masters - HK Squash Centre,8,21/11/2024,2-3,"['2-3', '3-0', '3-1', '0-3', '0-3']",2,3,8,10,Hong Kong Club Blue,Bolton,Bolton,Hong Kong Club Blue,Hong Kong Club Blue
United Services Recreation Club M4,WAKO,United Services Recreation Club,8,21/11/2024,4-1,"['3-0', '2-3', '3-0', '3-0', '3-0']",4,1,14,3,United Services Recreation Club M4,WAKO,United Services Recreation Club M4,United Services Recreation Club M4,United Services Recreation Club M4
Hong Kong Football Club M4B,Hong Kong Football Club M4A,Hong Kong Football Club,8,21/11/2024,4-1,"['3-1', '3-0', '1-3', '3-1', '3-0']",4,1,13,5,Hong Kong Football Club M4B,Hong Kong Football Club M4B,Hong Kong Football Club M4A,Hong Kong Football Club M4B,Hong Kong Football Club M4B
United Services Recreation Club M4,Royal Hong Kong Yacht Club M4,United Services Recreation Club,9,28/11/2024,5-0,"['3-2', '3-0', '3-0', '3-0', '3-0']",5,0,15,2,United Services Recreation Club M4,United Services Recreation Club M4,United Services Recreation Club M4,United Services Recreation Club M4,United Services Recreation Club M4
