Home Team,Away Team,Venue,Match Week,Date,Overall Score,Rubbers,Home Score,Away Score,Home Games Won,Away Games Won,Winner Rubber 1,Winner Rubber 2,Winner Rubber 3
JESSICA L4,JESSICA Smashin' Mochi,HK Squash Centre,1,04/10/2024,3-0,"['3-0', '3-1', '3-0']",3,0,9,1,JESSICA L4,JESSICA L4,JESSICA L4
Hong Kong Football Club JSA,Hong Kong Football Club L4,Hong Kong Football Club,1,04/10/2024,2-1,"['2-3', '3-0', '3-0']",2,1,8,3,Hong Kong Football Club L4,Hong Kong Football Club JSA,Hong Kong Football Club JSA
Electrify Squash Ladies,Hong Kong Cricket Club L4,HK Squash Centre,1,04/10/2024,1-2,"['0-3', '2-3', '3-2']",1,2,5,8,Hong Kong Cricket Club L4,Hong Kong Cricket Club L4,Electrify Squash Ladies
i-Mask Advance Squash Club L4,Hong Kong Football Club JSA,Cornwall Street Squash Centre,2,18/10/2024,0-3,"['CR', 'CR', 'CR']",0,3,0,9,,,
Hong Kong Football Club L4,JESSICA L4,Hong Kong Football Club,2,18/10/2024,0-3,"['0-3', '0-3', '0-3']",0,3,0,9,JESSICA L4,JESSICA L4,JESSICA L4
JESSICA Smashin' Mochi,Electrify Squash Ladies,HK Squash Centre,2,18/10/2024,3-0,"['3-0', '3-0', 'CR']",3,0,9,0,JESSICA Smashin' Mochi,JESSICA Smashin' Mochi,
Hong Kong Cricket Club L4,JESSICA Smashin' Mochi,Hong Kong Cricket Club,3,25/10/2024,3-0,"['3-0', '3-0', '3-0']",3,0,9,0,Hong Kong Cricket Club L4,Hong Kong Cricket Club L4,Hong Kong Cricket Club L4
Electrify Squash Ladies,Hong Kong Football Club L4,HK Squash Centre,3,25/10/2024,0-3,"['2-3', '0-3', '0-3']",0,3,2,9,Hong Kong Football Club L4,Hong Kong Football Club L4,Hong Kong Football Club L4
JESSICA L4,i-Mask Advance Squash Club L4,HK Squash Centre,3,25/10/2024,3-0,"['3-0', '3-0', '3-0']",3,0,9,0,JESSICA L4,JESSICA L4,JESSICA L4
JESSICA L4,Hong Kong Football Club JSA,Harbour Road Sports Centre,4,01/11/2024,2-1,"['3-0', '0-3', '3-2']",2,1,6,5,JESSICA L4,Hong Kong Football Club JSA,JESSICA L4
Electrify Squash Ladies,i-Mask Advance Squash Club L4,Harbour Road Sports Centre,4,01/11/2024,3-0,"['3-0', '3-1', 'WO']",3,0,9,1,Electrify Squash Ladies,Electrify Squash Ladies,
Hong Kong Cricket Club L4,Hong Kong Football Club L4,Hong Kong Cricket Club,4,01/11/2024,2-1,"['3-0', '3-0', '0-3']",2,1,6,3,Hong Kong Cricket Club L4,Hong Kong Cricket Club L4,Hong Kong Football Club L4
JESSICA Smashin' Mochi,Hong Kong Football Club L4,HK Squash Centre,5,08/11/2024,3-0,"['3-0', '3-0', '3-0']",3,0,9,0,JESSICA Smashin' Mochi,JESSICA Smashin' Mochi,JESSICA Smashin' Mochi
Hong Kong Cricket Club L4,i-Mask Advance Squash Club L4,Hong Kong Cricket Club,5,08/11/2024,2-1,"['3-0', '3-0', '0-3']",2,1,6,3,Hong Kong Cricket Club L4,Hong Kong Cricket Club L4,i-Mask Advance Squash Club L4
Hong Kong Football Club JSA,Electrify Squash Ladies,Hong Kong Football Club,5,08/11/2024,3-0,"['3-1', '3-0', '3-1']",3,0,9,2,Hong Kong Football Club JSA,Hong Kong Football Club JSA,Hong Kong Football Club JSA
JESSICA L4,Electrify Squash Ladies,HK Squash Centre,6,15/11/2024,3-0,"['3-0', '3-0', '3-0']",3,0,9,0,JESSICA L4,JESSICA L4,JESSICA L4
Hong Kong Football Club JSA,Hong Kong Cricket Club L4,Hong Kong Football Club,6,15/11/2024,1-2,"['1-3', '0-3', '3-1']",1,2,4,7,Hong Kong Cricket Club L4,Hong Kong Cricket Club L4,Hong Kong Football Club JSA
i-Mask Advance Squash Club L4,JESSICA Smashin' Mochi,Cornwall Street Squash Centre,6,15/11/2024,2-1,"['0-3', '3-0', '3-0']",2,1,6,3,JESSICA Smashin' Mochi,i-Mask Advance Squash Club L4,i-Mask Advance Squash Club L4
Hong Kong Football Club L4,i-Mask Advance Squash Club L4,Hong Kong Football Club,7,22/11/2024,3-0,"['3-0', '3-1', 'CR']",3,0,9,1,Hong Kong Football Club L4,Hong Kong Football Club L4,
JESSICA Smashin' Mochi,Hong Kong Football Club JSA,HK Squash Centre,7,22/11/2024,0-3,"['0-3', '0-3', '1-3']",0,3,1,9,Hong Kong Football Club JSA,Hong Kong Football Club JSA,Hong Kong Football Club JSA
Hong Kong Cricket Club L4,JESSICA L4,Hong Kong Cricket Club,7,22/11/2024,1-2,"['0-3', '3-1', '0-3']",1,2,3,7,JESSICA L4,Hong Kong Cricket Club L4,JESSICA L4
JESSICA Smashin' Mochi,JESSICA L4,HK Squash Centre,8,29/11/2024,0-3,"['0-3', '0-3', '0-3']",0,3,0,9,JESSICA L4,JESSICA L4,JESSICA L4
Hong Kong Football Club L4,Hong Kong Football Club JSA,Hong Kong Football Club,8,29/11/2024,0-3,"['1-3', '0-3', '0-3']",0,3,1,9,Hong Kong Football Club JSA,Hong Kong Football Club JSA,Hong Kong Football Club JSA
