Home Team,Away Team,Venue,Match Week,Date,Overall Score,Rubbers,Home Score,Away Score,Home Games Won,Away Games Won,Winner Rubber 1,Winner Rubber 2,Winner Rubber 3
Hong Kong Football Club M1A,Hong Kong Football Club M1B,Hong Kong Football Club,1,03/10/2024,2-1,"['2-3', '3-0', '3-1']",2,1,8,4,Hong Kong Football Club M1B,Hong Kong Football Club M1A,Hong Kong Football Club M1A
Hong Kong Cricket Club M1A,Hong Kong Cricket Club M1B,Hong Kong Cricket Club,1,03/10/2024,1-2,"['3-0', '0-3', '1-3']",1,2,4,6,Hong Kong Cricket Club M1A,Hong Kong Cricket Club M1B,Hong Kong Cricket Club M1B
Hong Kong Football Club M1B,Hong Kong Cricket Club M1A,Hong Kong Football Club,2,10/10/2024,3-0,"['3-2', '3-2', '3-0']",3,0,9,4,Hong Kong Football Club M1B,Hong Kong Football Club M1B,Hong Kong Football Club M1B
Ladies Recreation Club M1,Hong Kong Football Club M1A,Ladies Recreation Club,2,10/10/2024,1-2,"['0-3', '1-3', '3-1']",1,2,4,7,Hong Kong Football Club M1A,Hong Kong Football Club M1A,Ladies Recreation Club M1
Hong Kong Cricket Club M1A,Ladies Recreation Club M1,Hong Kong Cricket Club,3,17/10/2024,0-3,"['2-3', '0-3', '1-3']",0,3,3,9,Ladies Recreation Club M1,Ladies Recreation Club M1,Ladies Recreation Club M1
Hong Kong Cricket Club M1B,Hong Kong Football Club M1B,Hong Kong Cricket Club,3,17/10/2024,0-3,"['1-3', '0-3', '1-3']",0,3,2,9,Hong Kong Football Club M1B,Hong Kong Football Club M1B,Hong Kong Football Club M1B
Ladies Recreation Club M1,Hong Kong Cricket Club M1B,Ladies Recreation Club,4,24/10/2024,0-3,"['1-3', '0-3', '0-3']",0,3,1,9,Hong Kong Cricket Club M1B,Hong Kong Cricket Club M1B,Hong Kong Cricket Club M1B
Hong Kong Football Club M1A,Hong Kong Cricket Club M1A,Hong Kong Football Club,4,24/10/2024,0-3,"['0-3', '0-3', 'CR']",0,3,0,9,Hong Kong Cricket Club M1A,Hong Kong Cricket Club M1A,
Hong Kong Cricket Club M1B,Hong Kong Football Club M1A,Hong Kong Cricket Club,5,31/10/2024,1-2,"['3-1', '0-3', '2-3']",1,2,5,7,Hong Kong Cricket Club M1B,Hong Kong Football Club M1A,Hong Kong Football Club M1A
Hong Kong Football Club M1B,Ladies Recreation Club M1,Hong Kong Football Club,5,31/10/2024,3-0,"['3-0', '3-0', '3-1']",3,0,9,1,Hong Kong Football Club M1B,Hong Kong Football Club M1B,Hong Kong Football Club M1B
Hong Kong Football Club M1B,Hong Kong Football Club M1A,Hong Kong Football Club,6,07/11/2024,1-2,"['1-3', '3-2', '0-3']",1,2,4,8,Hong Kong Football Club M1A,Hong Kong Football Club M1B,Hong Kong Football Club M1A
Hong Kong Cricket Club M1B,Hong Kong Cricket Club M1A,Hong Kong Cricket Club,6,07/11/2024,2-1,"['3-0', '1-3', '3-0']",2,1,7,3,Hong Kong Cricket Club M1B,Hong Kong Cricket Club M1A,Hong Kong Cricket Club M1B
Hong Kong Cricket Club M1A,Hong Kong Football Club M1B,Hong Kong Cricket Club,7,14/11/2024,0-3,"['0-3', '0-3', '0-3']",0,3,0,9,Hong Kong Football Club M1B,Hong Kong Football Club M1B,Hong Kong Football Club M1B
Hong Kong Football Club M1A,Ladies Recreation Club M1,Hong Kong Football Club,7,14/11/2024,3-0,"['3-0', '3-0', '3-0']",3,0,9,0,Hong Kong Football Club M1A,Hong Kong Football Club M1A,Hong Kong Football Club M1A
Ladies Recreation Club M1,Hong Kong Cricket Club M1A,Ladies Recreation Club,8,21/11/2024,1-2,"['0-3', '1-3', '3-2']",1,2,4,8,Hong Kong Cricket Club M1A,Hong Kong Cricket Club M1A,Ladies Recreation Club M1
Hong Kong Football Club M1B,Hong Kong Cricket Club M1B,Hong Kong Football Club,8,21/11/2024,3-0,"['3-0', '3-0', '3-0']",3,0,9,0,Hong Kong Football Club M1B,Hong Kong Football Club M1B,Hong Kong Football Club M1B
Hong Kong Cricket Club M1B,Ladies Recreation Club M1,Hong Kong Cricket Club,9,28/11/2024,3-0,"['3-0', '3-0', '3-0']",3,0,9,0,Hong Kong Cricket Club M1B,Hong Kong Cricket Club M1B,Hong Kong Cricket Club M1B
Hong Kong Cricket Club M1A,Hong Kong Football Club M1A,Hong Kong Cricket Club,9,28/11/2024,2-1,"['3-0', '1-3', 'CR']",2,1,7,3,Hong Kong Cricket Club M1A,Hong Kong Football Club M1A,
