Home Team,vs,Away Team,Venue,Time,Result,Match Week,Date
Hong Kong Football Club 7A,v,X-Alpha 3,Hong Kong Football Club,19:00,"4-1(1-3,WO,3-0,3-0,3-0)",1,02/10/2024
The Best Group 1,v,Vitality Squash 1,Cornwall Street Squash Centre,19:00,"2-3(3-1,0-3,1-3,2-3,CR)",1,02/10/2024
Kinetic 1,v,UST,HK Squash Centre,19:00,"2-3(2-3,3-1,2-3,0-3,3-0)",1,02/10/2024
Hong Kong Cricket Club 5,v,[BYE],,,,1,02/10/2024
Vitality Squash 1,v,UST,HK Squash Centre,19:00,,2,09/10/2024
X-Alpha 3,v,The Best Group 1,Cornwall Street Squash Centre,19:00,,2,09/10/2024
Hong Kong Cricket Club 5,v,Hong Kong Football Club 7A,Hong Kong Cricket Club,19:00,,2,09/10/2024
Kinetic 1,v,[BYE],,,,2,09/10/2024
Hong Kong Cricket Club 5,v,The Best Group 1,Hong Kong Cricket Club,19:00,,3,16/10/2024
UST,v,X-Alpha 3,Cornwall Street Squash Centre,19:00,,3,16/10/2024
Kinetic 1,v,Vitality Squash 1,HK Squash Centre,19:00,,3,16/10/2024
Hong Kong Football Club 7A,v,[BYE],,,,3,16/10/2024
X-Alpha 3,v,Kinetic 1,Cornwall Street Squash Centre,19:00,,4,23/10/2024
UST,v,Hong Kong Cricket Club 5,Cornwall Street Squash Centre,19:00,,4,23/10/2024
Hong Kong Football Club 7A,v,The Best Group 1,Hong Kong Football Club,19:00,,4,23/10/2024
Vitality Squash 1,v,[BYE],,,,4,23/10/2024
UST,v,Hong Kong Football Club 7A,Cornwall Street Squash Centre,19:00,,5,30/10/2024
Kinetic 1,v,Hong Kong Cricket Club 5,HK Squash Centre,19:00,,5,30/10/2024
Vitality Squash 1,v,X-Alpha 3,HK Squash Centre,19:00,,5,30/10/2024
The Best Group 1,v,[BYE],,,,5,30/10/2024
Hong Kong Cricket Club 5,v,Vitality Squash 1,Hong Kong Cricket Club,19:00,,6,06/11/2024
Hong Kong Football Club 7A,v,Kinetic 1,Hong Kong Football Club,19:00,,6,06/11/2024
The Best Group 1,v,UST,Cornwall Street Squash Centre,19:00,,6,06/11/2024
X-Alpha 3,v,[BYE],,,,6,06/11/2024
The Best Group 1,v,Kinetic 1,Cornwall Street Squash Centre,19:00,,7,13/11/2024
Vitality Squash 1,v,Hong Kong Football Club 7A,HK Squash Centre,19:00,,7,13/11/2024
X-Alpha 3,v,Hong Kong Cricket Club 5,Cornwall Street Squash Centre,19:00,,7,13/11/2024
UST,v,[BYE],,,,7,13/11/2024
X-Alpha 3,v,Hong Kong Football Club 7A,Cornwall Street Squash Centre,19:00,,8,20/11/2024
Vitality Squash 1,v,The Best Group 1,HK Squash Centre,19:00,,8,20/11/2024
UST,v,Kinetic 1,Cornwall Street Squash Centre,19:00,,8,20/11/2024
Hong Kong Cricket Club 5,v,[BYE],,,,8,20/11/2024
UST,v,Vitality Squash 1,Cornwall Street Squash Centre,19:00,,9,27/11/2024
The Best Group 1,v,X-Alpha 3,Cornwall Street Squash Centre,19:00,,9,27/11/2024
