Home Team,vs,Away Team,Venue,Time,Result,Match Week,Date
Friend Club,v,Hong Kong Football Club 9,Cornwall Street Squash Centre,19:00,"5-0(3-2,3-2,3-0,3-2,3-1)",1,02/10/2024
The Best Group 2,v,i-Mask Advance Squash Club 3,Cornwall Street Squash Centre,19:00,"1-4(0-3,1-3,3-2,2-3,1-3)",1,02/10/2024
Kowloon Cricket Club 9,v,Centre Squash,Kowloon Cricket Club,19:00,"5-0(3-1,3-1,3-1,3-1,3-2)",1,02/10/2024
HKPF Squash Team,v,Kwai Tsing District Squash Club,Cornwall Street Squash Centre,19:00,"2-3(3-0,3-0,0-3,0-3,0-3)",1,02/10/2024
Friend Club,v,Kowloon Cricket Club 9,Cornwall Street Squash Centre,19:00,"4-1(1-3,3-0,3-0,3-0,CR)",2,09/10/2024
i-Mask Advance Squash Club 3,v,Centre Squash,Cornwall Street Squash Centre,19:00,"3-2(3-1,0-3,2-3,3-1,3-1)",2,09/10/2024
Kwai Tsing District Squash Club,v,The Best Group 2,Cornwall Street Squash Centre,19:00,"2-3(1-3,3-0,1-3,1-3,3-2)",2,09/10/2024
Hong Kong Football Club 9,v,HKPF Squash Team,Hong Kong Football Club,19:00,"1-4(2-3,1-3,0-3,2-3,3-0)",2,09/10/2024
HKPF Squash Team,v,Friend Club,Cornwall Street Squash Centre,19:00,"2-3(3-0,3-2,0-3,2-3,0-3)",3,16/10/2024
Hong Kong Football Club 9,v,The Best Group 2,Hong Kong Football Club,19:00,"3-2(3-0,3-2,1-3,3-0,1-3)",3,16/10/2024
Centre Squash,v,Kwai Tsing District Squash Club,HK Squash Centre,19:00,"2-3(1-3,3-0,0-3,3-1,0-3)",3,16/10/2024
Kowloon Cricket Club 9,v,i-Mask Advance Squash Club 3,Kowloon Cricket Club,19:00,"1-4(3-1,1-3,0-3,1-3,0-3)",3,16/10/2024
Friend Club,v,i-Mask Advance Squash Club 3,Cornwall Street Squash Centre,19:00,"4-1(3-1,3-0,3-0,3-0,1-3)",4,23/10/2024
Kwai Tsing District Squash Club,v,Kowloon Cricket Club 9,Cornwall Street Squash Centre,19:00,"2-3(2-3,3-0,0-3,0-3,3-0)",4,23/10/2024
Centre Squash,v,Hong Kong Football Club 9,HK Squash Centre,19:00,"1-4(3-0,2-3,0-3,1-3,0-3)",4,23/10/2024
HKPF Squash Team,v,The Best Group 2,Cornwall Street Squash Centre,19:00,"2-3(3-0,3-1,1-3,0-3,0-3)",4,23/10/2024
The Best Group 2,v,Friend Club,Cornwall Street Squash Centre,19:00,"0-5(0-3,0-3,1-3,0-3,0-3)",5,30/10/2024
Centre Squash,v,HKPF Squash Team,HK Squash Centre,19:00,"4-1(3-2,3-0,3-0,3-1,0-3)",5,30/10/2024
