Home Team,Away Team,Venue,Match Week,Date,Avg Simulated Home Points,Avg Simulated Away Points
Hong Kong Cricket Club M3,Old Squash Fellows,Hong Kong Cricket Club,11,2025-01-09,2.3581790895447723,3.6418209104552277
United Services Recreation Club M3,Kowloon Cricket Club M3,United Services Recreation Club,11,2025-01-09,4.430215107553777,1.5697848924462232
Hong Kong Football Club M3B,Hong Kong Cricket Club M3,Hong Kong Football Club,12,2025-01-16,4.2066033016508255,1.7933966983491745
Titlows Squash Team,United Services Recreation Club M3,Masters - HK Squash Centre,12,2025-01-16,1.6843421710855428,4.315657828914457
Kowloon Cricket Club M3,Hong Kong Football Club M3A,Kowloon Cricket Club,12,2025-01-16,1.9419709854927463,4.0580290145072535
Royal Hong Kong Yacht Club M3,Old Squash Fellows,Royal Hong Kong Yacht Club,12,2025-01-16,3.731865932966483,2.268134067033517
Hong Kong Cricket Club M3,Royal Hong Kong Yacht Club M3,Hong Kong Cricket Club,13,2025-01-23,1.8299149574787394,4.1700850425212606
Old Squash Fellows,Kowloon Cricket Club M3,Masters - HK Squash Centre,13,2025-01-23,3.731865932966483,2.268134067033517
Hong Kong Football Club M3A,Titlows Squash Team,Hong Kong Football Club,13,2025-01-23,4.3566783391695845,1.6433216608304153
United Services Recreation Club M3,Hong Kong Football Club M3B,United Services Recreation Club,13,2025-01-23,3.5672836418209104,2.4327163581790896
United Services Recreation Club M3,Hong Kong Cricket Club M3,United Services Recreation Club,14,2025-02-13,4.540270135067534,1.4597298649324661
Titlows Squash Team,Old Squash Fellows,Java Road Sports Centre,14,2025-02-13,2.4597298649324664,3.5402701350675336
Royal Hong Kong Yacht Club M3,Kowloon Cricket Club M3,Royal Hong Kong Yacht Club,14,2025-02-13,4.155077538769385,1.8449224612306152
Hong Kong Football Club M3A,Hong Kong Football Club M3B,Hong Kong Football Club,14,2025-02-13,3.1865932966483244,2.8134067033516756
Hong Kong Cricket Club M3,Kowloon Cricket Club M3,Hong Kong Cricket Club,15,2025-02-20,2.998999499749875,3.001000500250125
Titlows Squash Team,Royal Hong Kong Yacht Club M3,Masters - HK Squash Centre,15,2025-02-20,1.9354677338669335,4.0645322661330665
Old Squash Fellows,Hong Kong Football Club M3B,Masters - HK Squash Centre,15,2025-02-20,2.6993496748374186,3.3006503251625814
United Services Recreation Club M3,Hong Kong Football Club M3A,United Services Recreation Club,15,2025-02-20,3.32016008004002,2.67983991995998
Hong Kong Football Club M3A,Hong Kong Cricket Club M3,Hong Kong Football Club,16,2025-02-27,4.4712356178089045,1.5287643821910955
Old Squash Fellows,United Services Recreation Club M3,Masters - HK Squash Centre,16,2025-02-27,2.3711855927963983,3.6288144072036017
Royal Hong Kong Yacht Club M3,Hong Kong Football Club M3B,Royal Hong Kong Yacht Club,16,2025-02-27,3.313656828414207,2.686343171585793
Kowloon Cricket Club M3,Titlows Squash Team,Kowloon Cricket Club,16,2025-02-27,3.1275637818909456,2.8724362181090544
Hong Kong Cricket Club M3,Titlows Squash Team,Hong Kong Cricket Club,17,2025-03-06,3.090545272636318,2.909454727363682
Hong Kong Football Club M3B,Kowloon Cricket Club M3,Hong Kong Football Club,17,2025-03-06,4.105552776388194,1.894447223611806
United Services Recreation Club M3,Royal Hong Kong Yacht Club M3,United Services Recreation Club,17,2025-03-06,3.341670835417709,2.658329164582291
Old Squash Fellows,Hong Kong Football Club M3A,Masters - HK Squash Centre,17,2025-03-06,2.555777888944472,3.444222111055528
Old Squash Fellows,Hong Kong Cricket Club M3,Masters - HK Squash Centre,18,2025-03-13,3.8764382191095548,2.1235617808904452
Royal Hong Kong Yacht Club M3,Hong Kong Football Club M3A,Royal Hong Kong Yacht Club,18,2025-03-13,3.1665832916458228,2.8334167083541772
Kowloon Cricket Club M3,United Services Recreation Club M3,Kowloon Cricket Club,18,2025-03-13,1.8149074537268635,4.185092546273137
Hong Kong Football Club M3B,Titlows Squash Team,Hong Kong Football Club,18,2025-03-13,4.178589294647324,1.8214107053526762
Hong Kong Cricket Club M3,Hong Kong Football Club M3B,Hong Kong Cricket Club,19,2025-03-20,1.9574787393696849,4.042521260630315
United Services Recreation Club M3,Titlows Squash Team,United Services Recreation Club,19,2025-03-20,4.503251625812906,1.4967483741870935
Hong Kong Football Club M3A,Kowloon Cricket Club M3,Hong Kong Football Club,19,2025-03-20,4.2536268134067035,1.7463731865932965
Old Squash Fellows,Royal Hong Kong Yacht Club M3,Masters - HK Squash Centre,19,2025-03-20,2.513256628314157,3.486743371685843
Royal Hong Kong Yacht Club M3,Hong Kong Cricket Club M3,Royal Hong Kong Yacht Club,20,2025-03-27,4.422711355677839,1.577288644322161
Kowloon Cricket Club M3,Old Squash Fellows,Kowloon Cricket Club,20,2025-03-27,2.51775887943972,3.48224112056028
Titlows Squash Team,Hong Kong Football Club M3A,Masters - HK Squash Centre,20,2025-03-27,1.8754377188594298,4.12456228114057
Hong Kong Football Club M3B,United Services Recreation Club M3,Hong Kong Football Club,20,2025-03-27,2.7193596798399198,3.2806403201600802
Hong Kong Cricket Club M3,Hong Kong Football Club M3A,Hong Kong Cricket Club,21,2025-04-03,1.7603801900950475,4.239619809904952
United Services Recreation Club M3,Old Squash Fellows,United Services Recreation Club,21,2025-04-03,3.842921460730365,2.157078539269635
Hong Kong Football Club M3B,Royal Hong Kong Yacht Club M3,Hong Kong Football Club,21,2025-04-03,2.917958979489745,3.082041020510255
Titlows Squash Team,Kowloon Cricket Club M3,Masters - HK Squash Centre,21,2025-04-03,2.9984992496248126,3.0015007503751874
