Home Team,Away Team,Venue,Match Week,Date,Avg Simulated Home Points,Avg Simulated Away Points
South China Athletic Association,Latecomers,HK Squash Centre,13,2025-01-22,4.870374074814963,1.129625925185037
Star River 2,Hong Kong Racketlon Assoication 2,Cornwall Street Squash Centre,13,2025-01-22,2.7529505901180236,3.2470494098819764
North District Sports Association 1,South China Athletic Association,Pei Ho Street Sports Centre,14,2025-02-12,3.180636127225445,2.819363872774555
CSD Squash Team,Star River 2,Harbour Road Sports Centre,14,2025-02-12,3.035607121424285,2.964392878575715
Hong Kong Football Club 12B,Hong Kong Racketlon Assoication 2,Hong Kong Football Club,14,2025-02-12,2.7529505901180236,3.2470494098819764
Sea Bear,Alpha CUHK,Cornwall Street Squash Centre,14,2025-02-12,2.66373274654931,3.33626725345069
ZOMA,Winter Warriors,Cornwall Street Squash Centre,14,2025-02-12,2.0412082416483295,3.9587917583516705
Latecomers,Hong Kong Football Club 12A,Harbour Road Sports Centre,14,2025-02-12,1.3216643328665734,4.678335667133426
South China Athletic Association,Hong Kong Football Club 12A,HK Squash Centre,15,2025-02-19,3.4010802160432085,2.5989197839567915
Latecomers,Winter Warriors,HK Squash Centre,15,2025-02-19,0.9819963992798559,5.018003600720144
ZOMA,Sea Bear,Cornwall Street Squash Centre,15,2025-02-19,2.2596519303860774,3.7403480696139226
Alpha CUHK,Hong Kong Racketlon Assoication 2,Cornwall Street Squash Centre,15,2025-02-19,4.159031806361273,1.8409681936387277
Hong Kong Football Club 12B,CSD Squash Team,Hong Kong Football Club,15,2025-02-19,3.3800760152030405,2.6199239847969595
Star River 2,North District Sports Association 1,Cornwall Street Squash Centre,15,2025-02-19,1.659131826365273,4.3408681736347265
Star River 2,South China Athletic Association,Cornwall Street Squash Centre,16,2025-02-26,1.9555911182236447,4.044408881776356
North District Sports Association 1,Hong Kong Football Club 12B,Pei Ho Street Sports Centre,16,2025-02-26,4.398279655931186,1.6017203440688137
CSD Squash Team,Alpha CUHK,HK Squash Centre,16,2025-02-26,1.6569313862772554,4.343068613722744
Hong Kong Racketlon Assoication 2,ZOMA,HK Squash Centre,16,2025-02-26,3.162232446489298,2.837767553510702
Sea Bear,Latecomers,Cornwall Street Squash Centre,16,2025-02-26,4.803560712142429,1.1964392878575716
Hong Kong Football Club 12A,Winter Warriors,HK Squash Centre,16,2025-02-26,2.534106821364273,3.465893178635727
South China Athletic Association,Winter Warriors,HK Squash Centre,17,2025-03-05,2.7583516703340667,3.2416483296659333
Sea Bear,Hong Kong Football Club 12A,Cornwall Street Squash Centre,17,2025-03-05,3.2070414082816563,2.7929585917183437
Latecomers,Hong Kong Racketlon Assoication 2,HK Squash Centre,17,2025-03-05,1.607121424284857,4.392878575715143
ZOMA,CSD Squash Team,Cornwall Street Squash Centre,17,2025-03-05,3.674134826965393,2.325865173034607
Alpha CUHK,North District Sports Association 1,Cornwall Street Squash Centre,17,2025-03-05,3.0634126825365073,2.9365873174634927
Star River 2,Hong Kong Football Club 12B,Kwun Chung Sports Centre,17,2025-03-05,3.038007601520304,2.961992398479696
Hong Kong Football Club 12B,South China Athletic Association,Hong Kong Football Club,18,2025-03-12,1.9091818363672735,4.0908181636327265
Star River 2,Alpha CUHK,Cornwall Street Squash Centre,18,2025-03-12,1.6155231046209242,4.384476895379076
North District Sports Association 1,ZOMA,Cornwall Street Squash Centre,18,2025-03-12,3.985397079415883,2.014602920584117
CSD Squash Team,Latecomers,HK Squash Centre,18,2025-03-12,3.863372674534907,2.136627325465093
Hong Kong Racketlon Assoication 2,Hong Kong Football Club 12A,HK Squash Centre,18,2025-03-12,2.517903580716143,3.482096419283857
Sea Bear,Winter Warriors,Cornwall Street Squash Centre,18,2025-03-12,2.781756351270254,3.218243648729746
South China Athletic Association,Sea Bear,HK Squash Centre,19,2025-03-19,3.359471894378876,2.640528105621124
Winter Warriors,Hong Kong Racketlon Assoication 2,HK Squash Centre,19,2025-03-19,4.096019203840768,1.9039807961592319
CSD Squash Team,Hong Kong Football Club 12A,HK Squash Centre,19,2025-03-19,2.012602520504101,3.987397479495899
Latecomers,North District Sports Association 1,HK Squash Centre,19,2025-03-19,1.182236447289458,4.8177635527105425
ZOMA,Star River 2,Cornwall Street Squash Centre,19,2025-03-19,3.4304860972194438,2.5695139027805562
Alpha CUHK,Hong Kong Football Club 12B,Cornwall Street Squash Centre,19,2025-03-19,4.414082816563313,1.5859171834366874
Alpha CUHK,South China Athletic Association,Cornwall Street Squash Centre,20,2025-03-26,3.3030606121224246,2.6969393878775754
Hong Kong Football Club 12B,ZOMA,Hong Kong Football Club,20,2025-03-26,2.7095419083816763,3.2904580916183237
Star River 2,Latecomers,Cornwall Street Squash Centre,20,2025-03-26,4.070614122824565,1.929385877175435
Hong Kong Football Club 12A,North District Sports Association 1,Hong Kong Football Club,20,2025-03-26,2.839167833566713,3.160832166433287
CSD Squash Team,Winter Warriors,HK Squash Centre,20,2025-03-26,1.5897179435887177,4.410282056411282
Hong Kong Racketlon Assoication 2,Sea Bear,HK Squash Centre,20,2025-03-26,2.4228845769153833,3.5771154230846167
South China Athletic Association,Hong Kong Racketlon Assoication 2,HK Squash Centre,21,2025-04-02,3.9065813162632526,2.0934186837367474
Sea Bear,CSD Squash Team,Cornwall Street Squash Centre,21,2025-04-02,4.215043008601721,1.7849569913982797
Winter Warriors,North District Sports Association 1,HK Squash Centre,21,2025-04-02,3.2824564912982597,2.7175435087017403
Hong Kong Football Club 12A,Star River 2,Hong Kong Football Club,21,2025-04-02,4.132226445289058,1.8677735547109422
Hong Kong Football Club 12B,Latecomers,Hong Kong Football Club,21,2025-04-02,4.227245449089818,1.772754550910182
