Home Team,Away Team,Venue,Match Week,Date,Avg Simulated Home Points,Avg Simulated Away Points
Ladies Recreation Club Div 8,i-Mask Advance Squash Club 2,Ladies Recreation Club,9,2025-01-03,4.43248649729946,1.56751350270054
Hong Kong Football Club 8,Physical Chess 3,Hong Kong Football Club,15,2025-02-21,3.9119823964792957,2.0880176035207043
Sha Tin 3,Ladies Recreation Club Div 8,HK Squash Centre,15,2025-02-21,3.67253450690138,2.32746549309862
Kinetic 2,Squashathon Zero,Yuen Long Jockey Club Squash Courts,15,2025-02-21,2.1092218443688737,3.8907781556311263
Striving Squash,TOMCAT,Kwun Chung Sports Centre,15,2025-02-21,3.488097619523905,2.511902380476095
i-Mask Advance Squash Club 2,Striving Squash,Cornwall Street Squash Centre,16,2025-02-28,2.2340468093618724,3.7659531906381276
Squashathon Zero,TOMCAT,Cornwall Street Squash Centre,16,2025-02-28,3.540508101620324,2.459491898379676
Ladies Recreation Club Div 8,Kinetic 2,Ladies Recreation Club,16,2025-02-28,4.449489897979596,1.5505101020204042
Physical Chess 3,Sha Tin 3,Cornwall Street Squash Centre,16,2025-02-28,1.8919783956791358,4.108021604320864
Sha Tin 3,Hong Kong Football Club 8,Cornwall Street Squash Centre,17,2025-03-07,3.5473094618923784,2.4526905381076216
Kinetic 2,Physical Chess 3,Yuen Long Jockey Club Squash Courts,17,2025-03-07,2.2750550110022005,3.7249449889977995
TOMCAT,Ladies Recreation Club Div 8,Cornwall Street Squash Centre,17,2025-03-07,2.161632326465293,3.838367673534707
i-Mask Advance Squash Club 2,Squashathon Zero,HK Squash Centre,17,2025-03-07,2.2548509701940387,3.7451490298059613
Hong Kong Football Club 8,Sha Tin 3,Hong Kong Football Club,18,2025-03-14,2.7309461892378475,3.2690538107621525
Physical Chess 3,Kinetic 2,HK Squash Centre,18,2025-03-14,4.014002800560112,1.985997199439888
Ladies Recreation Club Div 8,TOMCAT,Ladies Recreation Club,18,2025-03-14,4.070414082816563,1.9295859171834366
Squashathon Zero,i-Mask Advance Squash Club 2,Java Road Sports Centre,18,2025-03-14,3.9781956391278257,2.0218043608721743
