Home Team,Away Team,Venue,Match Week,Date,Avg Simulated Home Points,Avg Simulated Away Points
Ladies Recreation Club M1,Hong Kong Cricket Club M1B,Ladies Recreation Club,4,2024-10-24,2.2822822822822824,1.7177177177177176
Hong Kong Cricket Club M1B,Hong Kong Football Club M1A,Hong Kong Cricket Club,5,2024-10-31,1.916916916916917,2.083083083083083
Hong Kong Football Club M1B,Ladies Recreation Club M1,Hong Kong Football Club,5,2024-10-31,2.088088088088088,1.911911911911912
Hong Kong Football Club M1B,Hong Kong Football Club M1A,Hong Kong Football Club,6,2024-11-07,2.2912912912912913,1.7087087087087087
Hong Kong Cricket Club M1B,Hong Kong Cricket Club M1A,Hong Kong Cricket Club,6,2024-11-07,2.079079079079079,1.9209209209209208
Hong Kong Cricket Club M1A,Hong Kong Football Club M1B,Hong Kong Cricket Club,7,2024-11-14,1.7077077077077076,2.2922922922922924
Hong Kong Football Club M1A,Ladies Recreation Club M1,Hong Kong Football Club,7,2024-11-14,1.980980980980981,2.019019019019019
Ladies Recreation Club M1,Hong Kong Cricket Club M1A,Ladies Recreation Club,8,2024-11-21,2.3843843843843846,1.6156156156156156
Hong Kong Football Club M1B,Hong Kong Cricket Club M1B,Hong Kong Football Club,8,2024-11-21,2.3823823823823824,1.6176176176176176
Hong Kong Cricket Club M1B,Ladies Recreation Club M1,Hong Kong Cricket Club,9,2024-11-28,1.8078078078078077,2.1921921921921923
Hong Kong Cricket Club M1A,Hong Kong Football Club M1A,Hong Kong Cricket Club,9,2024-11-28,1.8408408408408408,2.159159159159159
Hong Kong Football Club M1A,Hong Kong Football Club M1B,Hong Kong Football Club,10,2025-01-02,1.827827827827828,2.1721721721721723
Hong Kong Cricket Club M1A,Hong Kong Cricket Club M1B,Hong Kong Cricket Club,10,2025-01-02,1.9589589589589589,2.041041041041041
Hong Kong Football Club M1B,Hong Kong Cricket Club M1A,Hong Kong Football Club,11,2025-01-09,2.3993993993993996,1.6006006006006006
Ladies Recreation Club M1,Hong Kong Football Club M1A,Ladies Recreation Club,11,2025-01-09,2.131131131131131,1.8688688688688688
Hong Kong Cricket Club M1A,Ladies Recreation Club M1,Hong Kong Cricket Club,12,2025-01-16,1.7377377377377377,2.2622622622622623
Hong Kong Cricket Club M1B,Hong Kong Football Club M1B,Hong Kong Cricket Club,12,2025-01-16,1.7727727727727727,2.2272272272272273
Ladies Recreation Club M1,Hong Kong Cricket Club M1B,Ladies Recreation Club,13,2025-01-23,2.3003003003003,1.6996996996996998
Hong Kong Football Club M1A,Hong Kong Cricket Club M1A,Hong Kong Football Club,13,2025-01-23,2.229229229229229,1.7707707707707707
Hong Kong Cricket Club M1B,Hong Kong Football Club M1A,Hong Kong Cricket Club,14,2025-02-13,1.8868868868868869,2.113113113113113
Hong Kong Football Club M1B,Ladies Recreation Club M1,Hong Kong Football Club,14,2025-02-13,2.0820820820820822,1.917917917917918
Hong Kong Football Club M1B,Hong Kong Football Club M1A,Hong Kong Football Club,15,2025-02-20,2.1981981981981984,1.8018018018018018
Hong Kong Cricket Club M1B,Hong Kong Cricket Club M1A,Hong Kong Cricket Club,15,2025-02-20,2.136136136136136,1.8638638638638638
Hong Kong Cricket Club M1A,Hong Kong Football Club M1B,Hong Kong Cricket Club,16,2025-02-27,1.6276276276276276,2.3723723723723724
Hong Kong Football Club M1A,Ladies Recreation Club M1,Hong Kong Football Club,16,2025-02-27,2.003003003003003,1.996996996996997
Ladies Recreation Club M1,Hong Kong Cricket Club M1A,Ladies Recreation Club,17,2025-03-06,2.33033033033033,1.6696696696696696
Hong Kong Football Club M1B,Hong Kong Cricket Club M1B,Hong Kong Football Club,17,2025-03-06,2.315315315315315,1.6846846846846846
Hong Kong Cricket Club M1B,Ladies Recreation Club M1,Hong Kong Cricket Club,18,2025-03-13,1.7517517517517518,2.2482482482482484
Hong Kong Cricket Club M1A,Hong Kong Football Club M1A,Hong Kong Cricket Club,18,2025-03-13,1.7867867867867868,2.2132132132132134
Hong Kong Football Club M1A,Hong Kong Cricket Club M1B,Hong Kong Football Club,19,2025-03-20,2.076076076076076,1.9239239239239239
Ladies Recreation Club M1,Hong Kong Football Club M1B,Ladies Recreation Club,19,2025-03-20,2.037037037037037,1.962962962962963
Hong Kong Football Club M1A,Hong Kong Cricket Club M1B,Hong Kong Football Club,20,2025-03-27,2.1471471471471473,1.852852852852853
Ladies Recreation Club M1,Hong Kong Football Club M1B,Ladies Recreation Club,20,2025-03-27,1.9289289289289289,2.071071071071071
