Home Team,Away Team,Venue,Match Week,Date,Avg Simulated Home Points,Avg Simulated Away Points
Squash-On,Electrify Squash Div 15,HK Squash Centre,8,2025-01-11,2.3391695847923963,3.6608304152076037
i-Mask Advance Squash Club 6,Serve - Ivors,Cornwall Street Squash Centre,8,2025-01-11,2.903951975987994,3.096048024012006
RELAY 2,Squashathon MeGa,Sir Denys Roberts Squash Court,8,2025-01-11,3.5257628814407203,2.4742371185592797
TNG 3,Fusion Squash Club 3,Cornwall Street Squash Centre,8,2025-01-11,2.842421210605303,3.157578789394697
Electrify Squash Div 15,TNG 3,HK Squash Centre,9,2025-01-18,4.144572286143071,1.8554277138569284
Fusion Squash Club 3,RELAY 2,HK Squash Centre,9,2025-01-18,2.601800900450225,3.398199099549775
Squashathon MeGa,i-Mask Advance Squash Club 6,HK Squash Centre,9,2025-01-18,3.6463231615807903,2.3536768384192097
Serve - Ivors,Squash-On,HK Squash Centre,9,2025-01-18,2.303151575787894,3.696848424212106
Serve - Ivors,Electrify Squash Div 15,HK Squash Centre,10,2025-01-25,1.8284142071035518,4.171585792896448
Squash-On,Squashathon MeGa,HK Squash Centre,10,2025-01-25,3.3171585792896447,2.6828414207103553
i-Mask Advance Squash Club 6,Fusion Squash Club 3,Cornwall Street Squash Centre,10,2025-01-25,2.577288644322161,3.422711355677839
RELAY 2,TNG 3,Sir Denys Roberts Squash Court,10,2025-01-25,3.7633816908454225,2.2366183091545775
Electrify Squash Div 15,RELAY 2,HK Squash Centre,11,2025-02-08,3.5872936468234116,2.4127063531765884
TNG 3,i-Mask Advance Squash Club 6,Cornwall Street Squash Centre,11,2025-02-08,3.2206103051525763,2.7793896948474237
Fusion Squash Club 3,Squash-On,HK Squash Centre,11,2025-02-08,2.698849424712356,3.301150575287644
Squashathon MeGa,Serve - Ivors,HK Squash Centre,11,2025-02-08,3.3941970985492746,2.6058029014507254
Squashathon MeGa,Electrify Squash Div 15,Java Road Sports Centre,12,2025-02-15,2.27863931965983,3.72136068034017
Serve - Ivors,Fusion Squash Club 3,Cornwall Street Squash Centre,12,2025-02-15,2.661830915457729,3.338169084542271
Squash-On,TNG 3,Cornwall Street Squash Centre,12,2025-02-15,3.5532766383191596,2.4467233616808404
RELAY 2,i-Mask Advance Squash Club 6,Sir Denys Roberts Squash Court,12,2025-02-15,4.04152076038019,1.9584792396198099
Electrify Squash Div 15,i-Mask Advance Squash Club 6,HK Squash Centre,13,2025-02-22,4.419709854927464,1.5802901450725362
RELAY 2,Squash-On,Sir Denys Roberts Squash Court,13,2025-02-22,3.2821410705352676,2.7178589294647324
TNG 3,Serve - Ivors,Cornwall Street Squash Centre,13,2025-02-22,3.2121060530265133,2.7878939469734867
Fusion Squash Club 3,Squashathon MeGa,HK Squash Centre,13,2025-02-22,3.0510255127563783,2.9489744872436217
Fusion Squash Club 3,Electrify Squash Div 15,HK Squash Centre,14,2025-03-01,2.049024512256128,3.950975487743872
TNG 3,Squashathon MeGa,Cornwall Street Squash Centre,14,2025-03-01,2.9259629814907453,3.0740370185092547
RELAY 2,Serve - Ivors,Sir Denys Roberts Squash Court,14,2025-03-01,3.96048024012006,2.03951975987994
i-Mask Advance Squash Club 6,Squash-On,Cornwall Street Squash Centre,14,2025-03-01,2.2921460730365184,3.7078539269634816
Electrify Squash Div 15,Squash-On,HK Squash Centre,15,2025-03-08,3.7163581790895446,2.2836418209104554
Serve - Ivors,i-Mask Advance Squash Club 6,HK Squash Centre,15,2025-03-08,3.2206103051525763,2.7793896948474237
Squashathon MeGa,RELAY 2,HK Squash Centre,15,2025-03-08,2.763881940970485,3.236118059029515
Fusion Squash Club 3,TNG 3,HK Squash Centre,15,2025-03-08,3.3301650825412707,2.6698349174587293
TNG 3,Electrify Squash Div 15,Cornwall Street Squash Centre,16,2025-03-15,1.9884942471235618,4.011505752876438
RELAY 2,Fusion Squash Club 3,Sir Denys Roberts Squash Court,16,2025-03-15,3.591295647823912,2.408704352176088
i-Mask Advance Squash Club 6,Squashathon MeGa,Cornwall Street Squash Centre,16,2025-03-15,2.55727863931966,3.44272136068034
Squash-On,Serve - Ivors,HK Squash Centre,16,2025-03-15,3.6943471735867934,2.3056528264132066
Electrify Squash Div 15,Serve - Ivors,HK Squash Centre,17,2025-03-22,4.1635817908954476,1.8364182091045522
Squashathon MeGa,Squash-On,HK Squash Centre,17,2025-03-22,2.6693346673336666,3.3306653326663334
Fusion Squash Club 3,i-Mask Advance Squash Club 6,HK Squash Centre,17,2025-03-22,3.698349174587294,2.301650825412706
TNG 3,RELAY 2,Cornwall Street Squash Centre,17,2025-03-22,2.3656828414207105,3.6343171585792895
RELAY 2,Electrify Squash Div 15,Sir Denys Roberts Squash Court,18,2025-03-29,2.700350175087544,3.299649824912456
i-Mask Advance Squash Club 6,TNG 3,Cornwall Street Squash Centre,18,2025-03-29,2.8019009504752375,3.1980990495247625
Squash-On,Fusion Squash Club 3,HK Squash Centre,18,2025-03-29,3.4007003501750876,2.5992996498249124
Serve - Ivors,Squashathon MeGa,HK Squash Centre,18,2025-03-29,2.514257128564282,3.485742871435718
Electrify Squash Div 15,Squashathon MeGa,HK Squash Centre,19,2025-04-05,3.8764382191095548,2.1235617808904452
Fusion Squash Club 3,Serve - Ivors,HK Squash Centre,19,2025-04-05,3.3891945972986495,2.6108054027013505
