Home Team,Away Team,Venue,Match Week,Date,Avg Simulated Home Points,Avg Simulated Away Points
Hong Kong Football Club L3A,Hong Kong Cricket Club Rockettes,Hong Kong Football Club,9,2025-01-03,1.8114057028514257,2.1885942971485743
Hong Kong Football Club L3C,JESSICA L3,Hong Kong Football Club,9,2025-01-03,2.0240120060030016,1.9759879939969984
i-Mask Advance Squash Club L3,Hong Kong Football Club L3B,Cornwall Street Squash Centre,9,2025-01-03,2.1515757878939468,1.848424212106053
Hong Kong Football Club L3A,Hong Kong Football Club L3B,Hong Kong Football Club,10,2025-01-10,1.8044022011005503,2.1955977988994495
Hong Kong Football Club L3C,i-Mask Advance Squash Club L3,Hong Kong Football Club,10,2025-01-10,2.067033516758379,1.932966483241621
Hong Kong Cricket Club Rockettes,JESSICA L3,Hong Kong Cricket Club,10,2025-01-10,2.0550275137568783,1.9449724862431215
Hong Kong Football Club L3C,Hong Kong Football Club L3A,Hong Kong Football Club,11,2025-01-17,2.2676338169084542,1.7323661830915458
i-Mask Advance Squash Club L3,JESSICA L3,Cornwall Street Squash Centre,11,2025-01-17,2.0955477738869437,1.9044522261130565
Hong Kong Cricket Club Rockettes,Hong Kong Football Club L3B,Hong Kong Cricket Club,11,2025-01-17,2.2066033016508255,1.7933966983491745
Hong Kong Football Club L3C,Hong Kong Football Club L3B,Hong Kong Football Club,12,2025-01-24,2.0965482741370685,1.9034517258629315
JESSICA L3,Hong Kong Football Club L3A,HK Squash Centre,12,2025-01-24,2.4112056028014006,1.5887943971985994
i-Mask Advance Squash Club L3,Hong Kong Cricket Club Rockettes,Cornwall Street Squash Centre,12,2025-01-24,2.0610305152576287,1.9389694847423713
Hong Kong Football Club L3C,Hong Kong Cricket Club Rockettes,Hong Kong Football Club,13,2025-02-07,2.013006503251626,1.9869934967483742
Hong Kong Football Club L3A,i-Mask Advance Squash Club L3,Hong Kong Football Club,13,2025-02-07,1.7498749374687343,2.2501250625312657
Hong Kong Football Club L3B,JESSICA L3,Hong Kong Football Club,13,2025-02-07,1.9434717358679339,2.056528264132066
Hong Kong Cricket Club Rockettes,Hong Kong Football Club L3A,Hong Kong Cricket Club,14,2025-02-14,2.402201100550275,1.5977988994497248
Hong Kong Football Club L3C,JESSICA L3,Hong Kong Football Club,14,2025-02-14,2.0225112556278138,1.977488744372186
Hong Kong Football Club L3B,i-Mask Advance Squash Club L3,Hong Kong Football Club,14,2025-02-14,1.96048024012006,2.03951975987994
Hong Kong Football Club L3B,Hong Kong Football Club L3A,Hong Kong Football Club,15,2025-02-21,2.219109554777389,1.7808904452226113
i-Mask Advance Squash Club L3,Hong Kong Football Club L3C,Cornwall Street Squash Centre,15,2025-02-21,2.0815407703851925,1.9184592296148073
JESSICA L3,Hong Kong Cricket Club Rockettes,HK Squash Centre,15,2025-02-21,2.0545272636318157,1.945472736368184
Hong Kong Football Club L3A,Hong Kong Football Club L3C,Hong Kong Football Club,16,2025-02-28,1.7718859429714857,2.228114057028514
JESSICA L3,i-Mask Advance Squash Club L3,HK Squash Centre,16,2025-02-28,2.11855927963982,1.8814407203601802
Hong Kong Football Club L3B,Hong Kong Cricket Club Rockettes,Hong Kong Football Club,16,2025-02-28,1.9719859929964982,2.0280140070035015
Hong Kong Football Club L3B,Hong Kong Football Club L3C,Hong Kong Football Club,17,2025-03-07,1.9424712356178089,2.057528764382191
Hong Kong Football Club L3A,JESSICA L3,Hong Kong Football Club,17,2025-03-07,1.818409204602301,2.1815907953976987
i-Mask Advance Squash Club L3,Hong Kong Cricket Club Rockettes,Cornwall Street Squash Centre,17,2025-03-07,2.07703851925963,1.92296148074037
Hong Kong Football Club L3C,Hong Kong Cricket Club Rockettes,Hong Kong Football Club,18,2025-03-14,2.072536268134067,1.927463731865933
i-Mask Advance Squash Club L3,Hong Kong Football Club L3A,Cornwall Street Squash Centre,18,2025-03-14,2.365182591295648,1.634817408704352
JESSICA L3,Hong Kong Football Club L3B,HK Squash Centre,18,2025-03-14,2.2171085542771385,1.7828914457228615
Hong Kong Football Club L3A,Hong Kong Cricket Club Rockettes,Hong Kong Football Club,19,2025-03-21,1.8019009504752377,2.1980990495247625
JESSICA L3,Hong Kong Football Club L3C,HK Squash Centre,19,2025-03-21,2.1815907953976987,1.818409204602301
i-Mask Advance Squash Club L3,Hong Kong Football Club L3B,Cornwall Street Squash Centre,19,2025-03-21,2.169084542271136,1.8309154577288644
Hong Kong Cricket Club Rockettes,Hong Kong Football Club L3C,Hong Kong Cricket Club,20,2025-03-28,2.105552776388194,1.894447223611806
i-Mask Advance Squash Club L3,Hong Kong Football Club L3A,Cornwall Street Squash Centre,20,2025-03-28,2.3641820910455227,1.6358179089544773
JESSICA L3,Hong Kong Football Club L3B,HK Squash Centre,20,2025-03-28,2.142071035517759,1.8579289644822412
