Team,Played,Won,Lost,Points,Playoffs,1,2,3,4,5,6,7,8,9,10,11,12
Bravo D13,22,12.13113113113113,9.86886886886887,70.27727727727728,56.55655655655656,18.21821821821822,16.016016016016017,12.212212212212211,10.11011011011011,8.208208208208207,8.108108108108109,7.4074074074074066,6.106106106106106,4.504504504504505,3.7037037037037033,2.8028028028028027,2.6026026026026026
North District Sports Association 2,22,11.772772772772774,10.227227227227226,67.8918918918919,42.24224224224224,11.11111111111111,11.01101101101101,9.30930930930931,10.81081081081081,8.208208208208207,9.50950950950951,10.41041041041041,6.506506506506507,8.608608608608609,5.7057057057057055,5.105105105105105,3.7037037037037033
Squashathon PLZ,22,11.676676676676676,10.323323323323324,67.85785785785785,43.44344344344344,13.013013013013014,9.20920920920921,10.81081081081081,10.41041041041041,8.80880880880881,7.4074074074074066,7.907907907907907,7.307307307307307,7.807807807807808,6.206206206206207,6.806806806806807,4.3043043043043046
TNG 2,22,11.751751751751751,10.248248248248249,67.85085085085086,42.94294294294295,11.411411411411411,10.91091091091091,11.11111111111111,9.50950950950951,9.30930930930931,8.008008008008009,8.708708708708707,8.308308308308309,6.806806806806807,5.905905905905906,4.804804804804805,5.205205205205205
M&M Squash,22,11.744744744744745,10.255255255255255,67.78178178178177,41.94194194194194,10.71071071071071,10.41041041041041,9.00900900900901,11.811811811811811,10.41041041041041,9.00900900900901,8.708708708708707,7.007007007007007,7.007007007007007,5.905905905905906,4.804804804804805,5.205205205205205
Greenfield,22,11.682682682682684,10.317317317317316,67.55455455455456,41.24124124124124,12.812812812812812,9.40940940940941,10.61061061061061,8.408408408408409,8.108108108108109,10.41041041041041,7.6076076076076085,7.4074074074074066,6.106106106106106,7.6076076076076085,7.107107107107106,4.404404404404405
Arctic Circle,22,10.338338338338339,11.661661661661661,64.54554554554554,26.226226226226228,5.405405405405405,5.905905905905906,7.107107107107106,7.807807807807808,9.00900900900901,6.706706706706707,8.108108108108109,9.00900900900901,10.61061061061061,10.31031031031031,10.41041041041041,9.60960960960961
Royal Hong Kong Yacht Club Div 13,22,10.32132132132132,11.67867867867868,64.32232232232232,23.723723723723722,4.904904904904905,6.106106106106106,6.606606606606606,6.106106106106106,8.708708708708707,8.108108108108109,8.608608608608609,9.10910910910911,9.00900900900901,11.31131131131131,10.71071071071071,10.71071071071071
TNG 1,22,10.325325325325325,11.674674674674675,64.25825825825825,23.023023023023022,3.6036036036036037,5.905905905905906,6.906906906906906,6.606606606606606,8.608608608608609,9.40940940940941,9.30930930930931,8.90890890890891,10.11011011011011,9.90990990990991,9.70970970970971,11.01101101101101
Physical Chess 4,22,10.19019019019019,11.80980980980981,63.988988988988986,23.123123123123126,3.203203203203203,6.506506506506507,6.206206206206207,7.207207207207207,7.007007007007007,8.208208208208207,7.6076076076076085,9.80980980980981,9.50950950950951,10.41041041041041,11.11111111111111,13.213213213213212
Vitality Squash 3,22,10.184184184184184,11.815815815815816,63.96296296296296,22.922922922922925,3.8038038038038042,6.306306306306306,6.006006006006006,6.806806806806807,6.806806806806807,8.208208208208207,8.80880880880881,9.90990990990991,9.70970970970971,10.31031031031031,11.21121121121121,12.112112112112113
Star River 3,22,9.88088088088088,12.11911911911912,61.707707707707705,12.612612612612613,1.8018018018018018,2.3023023023023024,4.1041041041041035,4.404404404404405,6.806806806806807,6.906906906906906,6.806806806806807,10.61061061061061,10.21021021021021,12.712712712712712,15.415415415415415,17.917917917917915
