Team,Played,Won,Lost,Points,Playoffs,1,2,3,4,5,6,7,8,9,10,11,12
Winter Warriors,22,14.532532532532533,7.4674674674674675,81.45145145145145,87.4874874874875,37.63763763763764,23.123123123123122,17.217217217217218,9.50950950950951,6.306306306306306,3.303303303303303,2.002002002002002,0.7007007007007007,0.10010010010010009,0.10010010010010009,0.0,0.0
South China Athletic Association,22,14.14014014014014,7.85985985985986,79.0950950950951,79.27927927927928,25.625625625625624,21.62162162162162,20.32032032032032,11.711711711711711,8.80880880880881,6.806806806806807,3.1031031031031033,1.6016016016016015,0.40040040040040037,0.0,0.0,0.0
North District Sports Association 1,22,14.364364364364365,7.635635635635635,77.69769769769769,74.07407407407408,18.81881881881882,23.123123123123122,16.016016016016017,16.116116116116117,11.31131131131131,8.108108108108109,4.2042042042042045,1.7017017017017018,0.6006006006006006,0.0,0.0,0.0
Alpha CUHK,22,13.035035035035035,8.964964964964965,74.87387387387388,58.85885885885886,8.80880880880881,14.314314314314313,17.217217217217218,18.51851851851852,16.916916916916914,9.60960960960961,8.708708708708707,3.8038038038038042,1.6016016016016015,0.40040040040040037,0.10010010010010009,0.0
Hong Kong Football Club 12A,22,12.465465465465465,9.534534534534535,71.85185185185185,39.73973973973974,4.904904904904905,8.308308308308309,11.31131131131131,15.215215215215217,16.416416416416414,15.815815815815814,13.313313313313312,9.40940940940941,3.303303303303303,1.6016016016016015,0.40040040040040037,0.0
Sea Bear,22,11.392392392392392,10.607607607607608,70.31831831831832,30.230230230230234,3.203203203203203,5.305305305305305,8.208208208208207,13.513513513513514,15.915915915915916,18.51851851851852,17.417417417417415,9.90990990990991,4.904904904904905,2.5025025025025025,0.5005005005005005,0.10010010010010009
Star River 2,22,11.62862862862863,10.37137137137137,66.56856856856857,16.516516516516518,0.8008008008008007,2.002002002002002,5.205205205205205,8.508508508508509,11.31131131131131,15.515515515515515,18.41841841841842,21.12112112112112,10.81081081081081,5.205205205205205,0.8008008008008007,0.3003003003003003
ZOMA,22,10.667667667667668,11.332332332332332,65.73773773773775,11.611611611611611,0.20020020020020018,1.9019019019019021,4.1041041041041035,5.405405405405405,10.41041041041041,15.115115115115115,18.81881881881882,22.52252252252252,13.513513513513514,6.106106106106106,1.5015015015015014,0.40040040040040037
CSD Squash Team,22,9.74974974974975,12.25025025025025,58.350350350350354,1.8018018018018018,0.0,0.20020020020020018,0.3003003003003003,1.3013013013013013,2.1021021021021022,5.7057057057057055,9.20920920920921,16.516516516516518,30.930930930930934,22.02202202202202,9.80980980980981,1.9019019019019021
Hong Kong Racketlon Assoication 2,22,7.714714714714715,14.285285285285285,54.509509509509506,0.40040040040040037,0.0,0.10010010010010009,0.10010010010010009,0.20020020020020018,0.5005005005005005,1.2012012012012012,3.903903903903904,10.41041041041041,22.42242242242242,35.33533533533533,19.21921921921922,6.606606606606606
Latecomers,22,6.65965965965966,15.34034034034034,48.307307307307305,0.0,0.0,0.0,0.0,0.0,0.0,0.3003003003003003,0.9009009009009009,1.8018018018018018,9.70970970970971,19.81981981981982,43.54354354354354,23.923923923923923
Hong Kong Football Club 12B,22,5.64964964964965,16.35035035035035,42.23823823823824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5005005005005005,1.7017017017017018,6.906906906906906,24.124124124124123,66.76676676676678
