Team,Played,Won,Lost,Points,Playoffs,1,2,3,4,5,6,7,8,9,10,11
Sha Tin 5,20,13.00900900900901,6.990990990990991,69.72372372372372,84.78478478478479,35.13513513513514,23.923923923923923,14.814814814814813,10.91091091091091,6.206206206206207,5.105105105105105,2.4024024024024024,0.7007007007007007,0.5005005005005005,0.20020020020020018,0.10010010010010009
BOSS,20,11.7007007007007,8.2992992992993,68.2902902902903,75.67567567567568,26.826826826826828,20.12012012012012,16.816816816816818,11.911911911911911,7.907907907907907,6.706706706706707,4.504504504504505,3.203203203203203,1.4014014014014013,0.40040040040040037,0.20020020020020018
Kinetic 3,20,12.466466466466466,7.533533533533533,65.84784784784785,67.16716716716716,14.514514514514515,20.12012012012012,18.01801801801802,14.514514514514515,11.611611611611613,9.00900900900901,5.105105105105105,3.903903903903904,2.2022022022022023,0.7007007007007007,0.3003003003003003
The Squash Club 3,20,10.473473473473474,9.526526526526528,63.83483483483484,49.749749749749746,8.90890890890891,11.411411411411411,14.214214214214213,15.215215215215217,16.416416416416414,11.711711711711711,8.90890890890891,5.505505505505505,3.8038038038038042,3.303303303303303,0.6006006006006006
Global Squash 2,20,11.24924924924925,8.75075075075075,62.886886886886884,48.248248248248245,8.308308308308309,11.811811811811811,13.313313313313312,14.814814814814813,13.713713713713712,11.611611611611613,10.91091091091091,6.906906906906906,4.904904904904905,2.6026026026026026,1.1011011011011012
Star River 1,20,10.187187187187186,9.812812812812812,60.512512512512515,31.631631631631635,3.203203203203203,6.106106106106106,10.21021021021021,12.112112112112113,14.014014014014014,14.814814814814813,12.912912912912914,11.11111111111111,8.308308308308309,4.904904904904905,2.3023023023023024
7NT,20,9.272272272272271,10.727727727727729,58.22422422422422,18.11811811811812,1.9019019019019021,2.902902902902903,6.006006006006006,7.307307307307307,13.213213213213212,13.913913913913914,15.415415415415415,14.414414414414415,11.911911911911911,7.5075075075075075,5.505505505505505
i-Mask Advance Squash Club 4,20,8.02102102102102,11.97897897897898,55.23523523523524,10.91091091091091,0.40040040040040037,1.6016016016016015,2.7027027027027026,6.206206206206207,6.206206206206207,9.60960960960961,12.012012012012011,17.017017017017018,15.915915915915916,16.116116116116117,12.212212212212211
Invader Squash,20,8.26026026026026,11.73973973973974,53.2992992992993,6.906906906906907,0.5005005005005005,1.5015015015015014,1.7017017017017018,3.203203203203203,4.504504504504505,6.806806806806807,11.411411411411411,14.214214214214213,18.21821821821822,21.12112112112112,16.816816816816818
Tuen Mun Squash Club,20,8.175175175175175,11.824824824824825,51.990990990990994,4.404404404404405,0.20020020020020018,0.3003003003003003,1.7017017017017018,2.2022022022022023,4.2042042042042045,6.406406406406406,9.40940940940941,13.413413413413414,16.516516516516518,22.12212212212212,23.523523523523522
HKCC Tuesday Night Rockers,20,7.185185185185185,12.814814814814815,50.154154154154156,2.4024024024024024,0.10010010010010009,0.20020020020020018,0.5005005005005005,1.6016016016016015,2.002002002002002,4.3043043043043046,7.007007007007007,9.60960960960961,16.316316316316314,21.02102102102102,37.33733733733734
