Team,Played,Won,Lost,Points,Playoffs,1,2,3,4,5,6,7,8,9,10,11,12
Electrify Squash Div 13,22,16.590718143628727,5.409281856371274,90.63252650530106,99.77995599119824,64.99299859971994,30.78615723144629,3.340668133626725,0.6601320264052811,0.20004000800160032,0.020004000800160033,0.0,0.0,0.0,0.0,0.0,0.0
Sha Tin 6,22,15.83376675335067,6.1662332466493295,86.73894778955791,98.51970394078818,33.06661332266454,53.61072214442889,8.961792358471694,2.8805761152230445,1.1402280456091218,0.28005601120224044,0.060012002400480095,0.0,0.0,0.0,0.0,0.0
X-Alpha 5,22,13.035207041408281,8.964792958591719,72.79115823164634,61.97239447889578,0.9801960392078415,6.521304260852171,31.32626525305061,23.144628925785156,16.523304660932187,10.782156431286257,5.461092218443689,3.0406081216243246,1.4002800560112023,0.580116023204641,0.20004000800160032,0.040008001600320066
Fusion Squash Club 2,22,12.752950590118024,9.247049409881976,70.77595519103821,50.85017003400681,0.4400880176035207,4.180836167233447,22.464492898579717,23.76475295059012,18.12362472494499,13.822764552910582,8.561712342468494,5.121024204840968,2.500500100020004,0.7601520304060811,0.20004000800160032,0.060012002400480095
SocGen Squash,22,10.829165833166634,11.170834166833366,69.10882176435287,35.46709341868373,0.3800760152030406,2.540508101620324,14.542908581716343,18.00360072014403,20.744148829765955,18.74374874974995,11.462292458491698,7.701540308061612,3.7407481496299257,1.5203040608121623,0.5401080216043208,0.08001600320064013
Energy Squash Club 1,22,11.844768953790759,10.155231046209241,69.06341268253651,37.14742948589718,0.14002800560112022,2.1004200840168035,15.323064612922584,19.583916783356674,19.70394078815763,17.843568713742748,11.842368473694739,7.061412282456492,4.040808161632326,1.7603520704140827,0.4400880176035207,0.16003200640128026
HKIS Div 13,22,9.862772554510903,12.137227445489097,60.40928185637127,6.00120024004801,0.0,0.08001600320064013,1.7003400680136025,4.220844168833767,7.901580316063213,11.50230046009202,16.163232646529305,19.483896779355874,17.94358871774355,12.08241648329666,6.06121224244849,2.8605721144228844
Energy Squash Club 2,22,9.728145629125825,12.271854370874175,60.00640128025605,4.640928185637128,0.0,0.08001600320064013,1.100220044008802,3.460692138427685,7.061412282456492,10.782156431286257,17.06341268253651,18.723744748949787,17.523504700940187,13.522704540908181,7.641528305661133,3.0406081216243246
i-Mask Advance Squash Club 5,22,9.093018603720743,12.906981396279257,59.889377875575114,4.500900180036007,0.0,0.08001600320064013,0.9801960392078415,3.4406881376275256,6.2012402480496105,11.142228445689138,16.903380676135228,18.54370874174835,18.54370874174835,13.922784556911383,7.4814962992598515,2.7605521104220845
Kinetic 4,22,8.268253650730145,13.731746349269853,54.49749949989998,0.8401680336067214,0.0,0.020004000800160033,0.24004800960192038,0.580116023204641,1.900380076015203,3.6807361472294455,7.841568313662732,12.20244048809762,17.06341268253651,23.124624924984996,21.044208841768352,12.30246049209842
Happy Squash 4,22,7.469093818763753,14.530906181236247,49.49129825965193,0.12002400480096019,0.0,0.0,0.020004000800160033,0.10002000400080016,0.3800760152030406,0.7801560312062412,2.620524104820964,4.880976195239048,9.521904380876176,17.383476695339066,27.725545109021805,36.587317463492695
Yuen Long District Sports Association Limited,22,6.692138427685537,15.307861572314463,48.59531906381276,0.16003200640128026,0.0,0.0,0.0,0.16003200640128026,0.12002400480096019,0.620124024804961,2.020404080816163,3.2406481296259253,7.7215443088617715,15.343068613722743,28.665733146629325,42.10842168433687
