Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against
North District Sports Association 1,19,18,1,92,74,21
Alpha CUHK,19,14,5,84,70,25
South China Athletic Association,19,16,3,82,66,29
Sea Bear,19,12,7,73,61,34
Winter Warriors,19,12,7,73,61,34
Hong Kong Football Club 12A,19,14,5,72,58,37
ZOMA,19,7,12,48,41,54
Star River 2,19,6,13,42,36,59
Hong Kong Football Club 12B,19,6,13,40,35,60
Hong Kong Racketlon Assoication 2,19,5,14,29,28,67
CSD Squash Team,19,2,17,21,21,74
Latecomers,19,2,17,16,19,76
