Team,Rubber 1 Win %,Rubber 2 Win %,Rubber 3 Win %,Rubber 4 Win %,Rubber 5 Win %,avg_win_perc,Total Rubbers
TNG 2,100.0,100.0,100.0,0.0,100.0,80.0,9
TNG 1,100.0,0.0,100.0,100.0,100.0,80.0,5
Squashathon PLZ,100.0,100.0,50.0,50.0,50.0,70.0,10
Arctic Circle,100.0,50.0,50.0,50.0,75.0,65.0,20
Royal Hong Kong Yacht Club Div 13,50.0,50.0,57.14285714285714,71.42857142857143,83.33333333333334,62.38095238095239,36
North District Sports Association 2,25.0,50.0,25.0,75.0,66.66666666666666,48.33333333333333,19
Physical Chess 4,33.33333333333333,0.0,50.0,50.0,100.0,46.666666666666664,10
Greenfield,0.0,66.66666666666666,66.66666666666666,66.66666666666666,33.33333333333333,46.666666666666664,15
Vitality Squash 3,16.666666666666664,16.666666666666664,40.0,33.33333333333333,100.0,41.33333333333333,22
Bravo D13,100.0,40.0,0.0,0.0,33.33333333333333,34.666666666666664,22
M&M Squash,33.33333333333333,0.0,16.666666666666664,50.0,33.33333333333333,26.666666666666664,30
Star River 3,50.0,25.0,0.0,50.0,0.0,25.0,19
