Team,Rubber 1 Win %,Rubber 2 Win %,Rubber 3 Win %,Rubber 4 Win %,Rubber 5 Win %,avg_win_perc,Total Rubbers
Electrify Squash Div 13,75.0,93.75,87.5,87.5,91.66666666666666,87.08333333333333,76
Sha Tin 6,75.0,68.75,56.25,53.333333333333336,75.0,65.66666666666667,71
Fusion Squash Club 2,60.0,66.66666666666666,53.333333333333336,61.53846153846154,72.72727272727273,62.85314685314686,69
SocGen Squash,41.17647058823529,43.75,62.5,64.28571428571429,77.77777777777779,57.89799253034547,72
Energy Squash Club 2,20.0,80.0,92.85714285714286,50.0,33.33333333333333,55.23809523809524,62
HKIS Div 13,25.0,41.66666666666667,45.45454545454545,62.5,100.0,54.92424242424242,45
i-Mask Advance Squash Club 5,83.33333333333334,41.66666666666667,33.33333333333333,28.57142857142857,40.0,45.38095238095239,48
X-Alpha 5,57.14285714285714,30.76923076923077,46.15384615384615,38.46153846153847,40.0,42.505494505494504,63
Energy Squash Club 1,50.0,33.33333333333333,53.333333333333336,41.66666666666667,25.0,40.666666666666664,66
Kinetic 4,62.5,12.5,37.5,26.666666666666668,40.0,35.83333333333333,73
Happy Squash 4,25.0,68.75,6.25,33.33333333333333,7.142857142857142,28.09523809523809,77
Yuen Long District Sports Association Limited,26.666666666666668,7.142857142857142,16.666666666666664,40.0,33.33333333333333,24.761904761904763,60
