Home Team,Away Team,Venue,Match Week,Date,Division,Week
X-Alpha 3,Ladies Recreation Club Div 6,Cornwall Street Squash Centre,1,2025-10-13,6,3
TNG 3,RELAY 2,Cornwall Street Squash Centre,4,2025-10-25,14,4
Physical Chess 5,The Squash Club 4,Cornwall Street Squash Centre,4,2025-10-25,14,4
Fusion Squash Club 1,Kowloon Cricket Club 6A,HK Squash Centre,3,2025-10-27,6,3
GMDBB,South China Athletic Association,HK Squash Centre,3,2025-10-28,11,3
Kowloon Cricket Club 3A,United Services Recreation Club 1,Kowloon Cricket Club,3,2025-10-28,3,3
Hong Kong Cricket Club D4A,Sha Tin 1,Hong Kong Cricket Club,3,2025-10-28,4,3
X-Alpha 2,Hong Kong Cricket Club D4B,Cornwall Street Squash Centre,3,2025-10-28,4,3
Hong Kong Football Club L2B,Kowloon Cricket Club L2A,Hong Kong Football Club,3,2025-10-28,L2,2
Hong Kong Cricket Club L2,Hong Kong Football Club L2A,Hong Kong Cricket Club,3,2025-10-28,L2,2
JESSICA L2 [withdrawal],Kowloon Cricket Club L2B,HK Squash Centre,3,2025-10-28,L2,2
United Services Recreation Club M4,Hong Kong Club Blue,United Services Recreation Club,5,2025-10-30,M4,5
Hong Kong Cricket Club M4,SKCSC M4,Hong Kong Cricket Club,5,2025-10-30,M4,5
Royal Hong Kong Yacht Club M4,Hong Kong Football Club M4B,Royal Hong Kong Yacht Club,5,2025-10-30,M4,5
Kowloon Cricket Club 1A,Kowloon Cricket Club 1B,Kowloon Cricket Club,1,2025-10-30,Premier Main,1
Hong Kong Football Club 1A,Hong Kong Football Club 1B,Hong Kong Football Club,1,2025-10-30,Premier Main,1
Hong Kong Football Club M1B,Hong Kong Cricket Club M1A,Hong Kong Football Club,5,2025-10-30,Premier Masters,5
The Squash Club 3,MM Squash,Pei Ho Street Sports Centre,5,2025-10-31,13A,4
North District Sports Association 1,Arctic Circle,Cornwall Street Squash Centre,5,2025-10-31,13A,4
X-Alpha 5,Greenfield,Tai Po Sports Ground,5,2025-10-31,13A,4
Craigengower Cricket Club,Squashathon SocGen,Craigengower Cricket Club,5,2025-10-31,13A,4
Squashathon One,Yuen Long District Sports Association Limited,HK Squash Centre,5,2025-10-31,13B,4
Happy Squash 4,Kinetic 4,Yeung Uk Road Sports Centre,5,2025-10-31,13B,4
Kowloon Cricket Club 13,Electrify Squash Div 13,Kowloon Cricket Club,5,2025-10-31,13B,4
Fusion Squash Club 3,TNG 2,HK Squash Centre,5,2025-10-31,13B,4
Smart Squash 2,NEXUS 3,Cornwall Street Squash Centre,5,2025-10-31,13C,4
Vitality Squash 2,i-Mask Advance Squash Club 7,HK Squash Centre,5,2025-10-31,13C,4
JSA 1,i-Mask Advance Squash Club 6,HK Squash Centre,5,2025-10-31,13C,4
Bravo D13,Smart Squash 3,Yuen Long Jockey Club Squash Courts,5,2025-10-31,13C,4
ERROR,Physical Chess 1,Cornwall Street Squash Centre,5,2025-10-31,5,4
NEXUS 2,United Services Recreation Club 2,Cornwall Street Squash Centre,5,2025-10-31,5,4
Squashathon,Kowloon Cricket Club 5,Cornwall Street Squash Centre,5,2025-10-31,5,4
Hong Kong Football Club 5,Happy Squash 2,Hong Kong Football Club,5,2025-10-31,5,4
TOMCAT,LONGVIEW,Kwun Chung Sports Centre,5,2025-10-31,8A,4
Squashathon Zero,i-Mask Advance Squash Club 2,Cornwall Street Squash Centre,5,2025-10-31,8A,4
Physical Chess 3,Sha Tin 3,Cornwall Street Squash Centre,5,2025-10-31,8A,4
TNG 1,Smart Squash 1,Cornwall Street Squash Centre,5,2025-10-31,8B,4
Vitality Squash 1,Fusion Squash Club 2,HK Squash Centre,5,2025-10-31,8B,4
Happy Squash 3,X-Alpha 4,Wai Tsuen Sports Centre,5,2025-10-31,8B,4
Hong Kong Cricket Club L3,Hong Kong Football Club L3A,Hong Kong Cricket Club,5,2025-10-31,L3,4
Hong Kong Football Club L3B,JESSICA L3,Hong Kong Football Club,5,2025-10-31,L3,4
JESSICA L4,Hong Kong Football Club JSA,HK Squash Centre,5,2025-10-31,L4,4
Squashathon Ladies,Kwai Tsing District Squash Club L4,Cornwall Street Squash Centre,5,2025-10-31,L4,4
The Squash Club L4,Hong Kong Football Club L4,Pei Ho Street Sports Centre,5,2025-10-31,L4,4
JESSICA Mochis,Hong Kong Cricket Club Rockettes,HK Squash Centre,5,2025-10-31,L4,4
