Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
Royal Hong Kong Yacht Club M4,2,2,0,8,6,4,0,0,0,0
SKCSC M4,1,1,0,6,5,0,0,0,0,0
Hong Kong Football Club M4B,2,1,1,5,4,6,0,0,0,0
Hong Kong Football Club M4A,1,1,0,5,4,1,0,0,0,0
Hong Kong Club Blue,1,1,0,4,3,2,0,0,0,0
WAKO,1,1,0,4,3,2,0,0,0,0
United Services Recreation Club M4,2,0,2,4,4,6,0,0,0,0
Bolton,2,0,2,2,2,8,0,0,0,0
Hong Kong Cricket Club M4,1,0,1,2,2,3,0,0,0,0
Kowloon Cricket Club M4,1,0,1,2,2,3,0,0,0,0
