Team Name,Home,Average Home Score,Average Away Score,home_away_diff
Bolton,Masters - Harbour Road Sports Centre,3.0,0.0,3.0
Hong Kong Club Blue,The Hong Kong Club,3.0,1.5,1.5
Royal Hong Kong Yacht Club M4,Royal Hong Kong Yacht Club,1.4,0.0,1.4
United Services Recreation Club M4,United Services Recreation Club,2.6666666666666665,1.6666666666666667,0.9999999999999998
Hong Kong Football Club M4B,Hong Kong Football Club,3.5,2.6666666666666665,0.8333333333333335
WAKO,Masters - Harbour Road Sports Centre,3.5,3.0,0.5
Kowloon Cricket Club M4,Kowloon Cricket Club,2.5,2.75,-0.25
Hong Kong Football Club M4A,Hong Kong Football Club,3.0,4.0,-1.0
SKCSC M4,Masters - Cornwall Street Squash Centre,0.0,2.2,-2.2
Hong Kong Cricket Club M4,Hong Kong Cricket Club,1.3333333333333333,4.0,-2.666666666666667
