Team Name,Home,Average Home Score,Average Away Score,home_away_diff
Hong Kong Cricket Club D10,Hong Kong Cricket Club,4.666666666666667,1.0,3.666666666666667
i-Mask Advance Squash Club 4,Cornwall Street Squash Centre,2.5,1.0,1.5
Thunder 2,Cornwall Street Squash Centre,4.0,3.0,1.0
Mercury,HK Squash Centre,1.0,0.6666666666666666,0.33333333333333337
Bravo D10,Cornwall Street Squash Centre,0.0,0.0,0.0
Sha Tin 4,Cornwall Street Squash Centre,5.0,5.0,0.0
RELAY 1,Cornwall Street Squash Centre,4.0,4.5,-0.5
Squashathon Advance,HK Squash Centre,0.6666666666666666,3.0,-2.3333333333333335
Kwai Tsing District Squash Club,Cornwall Street Squash Centre,2.5,5.0,-2.5
United Services Recreation Club 3,United Services Recreation Club,1.5,4.0,-2.5
Banbil,HK Squash Centre,0.0,3.0,-3.0
