Home Team,Away Team,Venue,Match Week,Date
Smart Squash 1,X-Alpha 4,Cornwall Street Squash Centre,6,2025-11-07
X-Alpha 4,TNG 1,Cornwall Street Squash Centre,8,2025-11-21
Vitality Squash 1,X-Alpha 4,Java Road Sports Centre,9,2025-11-28
Smart Squash 1,TNG 1,Cornwall Street Squash Centre,10,2025-12-12
Fusion Squash Club 2,Vitality Squash 1,HK Squash Centre,10,2025-12-12
X-Alpha 4,Smart Squash 1,Pei Ho Street Sports Centre,11,2025-12-19
Fusion Squash Club 2,Happy Squash 3,Cornwall Street Squash Centre,11,2025-12-19
X-Alpha 4,Fusion Squash Club 2,Pei Ho Street Sports Centre,12,2026-01-09
TNG 1,X-Alpha 4,Cornwall Street Squash Centre,13,2026-01-16
X-Alpha 4,Vitality Squash 1,Pei Ho Street Sports Centre,14,2026-01-23
TNG 1,Smart Squash 1,Cornwall Street Squash Centre,15,2026-01-30
Vitality Squash 1,Fusion Squash Club 2,HK Squash Centre,15,2026-01-30
Smart Squash 1,X-Alpha 4,Cornwall Street Squash Centre,16,2026-02-06
X-Alpha 4,TNG 1,Cornwall Street Squash Centre,18,2026-03-06
Smart Squash 1,TNG 1,Cornwall Street Squash Centre,20,2026-03-20
Fusion Squash Club 2,Vitality Squash 1,HK Squash Centre,20,2026-03-20
