Home Team,Away Team,Venue,Match Week,Date
JESSICA L1,Kowloon Cricket Club L1B,HK Squash Centre,2,2025-11-06
Hong Kong Cricket Club L1,Kowloon Cricket Club L1A,Hong Kong Cricket Club,2,2025-11-06
JESSICA L1,Hong Kong Cricket Club L1,HK Squash Centre,3,2025-11-20
Hong Kong Football Club L1,Kowloon Cricket Club L1B,Hong Kong Football Club,3,2025-11-20
Hong Kong Cricket Club L1,Hong Kong Football Club L1,Hong Kong Cricket Club,4,2025-12-11
Kowloon Cricket Club L1A,JESSICA L1,Kowloon Cricket Club,4,2025-12-11
Hong Kong Football Club L1,Kowloon Cricket Club L1A,Hong Kong Football Club,5,2025-12-18
Kowloon Cricket Club L1B,Hong Kong Cricket Club L1,Kowloon Cricket Club,5,2025-12-18
Hong Kong Football Club L1,JESSICA L1,Hong Kong Football Club,6,2026-04-23
Kowloon Cricket Club L1B,Kowloon Cricket Club L1A,Kowloon Cricket Club,6,2026-04-23
Kowloon Cricket Club L1B,JESSICA L1,Kowloon Cricket Club,7,2026-04-30
Kowloon Cricket Club L1A,Hong Kong Cricket Club L1,Kowloon Cricket Club,7,2026-04-30
Hong Kong Cricket Club L1,JESSICA L1,Hong Kong Cricket Club,8,2026-05-07
Kowloon Cricket Club L1B,Hong Kong Football Club L1,Kowloon Cricket Club,8,2026-05-07
Hong Kong Football Club L1,Hong Kong Cricket Club L1,Hong Kong Football Club,9,2026-05-14
JESSICA L1,Kowloon Cricket Club L1A,HK Squash Centre,9,2026-05-14
Kowloon Cricket Club L1A,Hong Kong Football Club L1,Kowloon Cricket Club,10,2026-05-21
Hong Kong Cricket Club L1,Kowloon Cricket Club L1B,Hong Kong Cricket Club,10,2026-05-21
