Home Team,Away Team,Venue,Match Week,Date
Sha Tin 1,The Squash Club 1,Cornwall Street Squash Centre,10,2026-01-06
Kowloon Cricket Club 4,X-Alpha 2,Kowloon Cricket Club,10,2026-01-06
Hong Kong Cricket Club D4B,Hong Kong Cricket Club D4A,Hong Kong Cricket Club,10,2026-01-06
YLJR,Sha Tin 1,Cornwall Street Squash Centre,11,2026-01-13
Kowloon Cricket Club 4,TNGX,Kowloon Cricket Club,11,2026-01-13
Hong Kong Football Club 4B,X-Alpha 2,Hong Kong Football Club,11,2026-01-13
Hong Kong Football Club 4A,Hong Kong Cricket Club D4B,Hong Kong Football Club,11,2026-01-13
Hong Kong Cricket Club D4A,The Squash Club 1,Hong Kong Cricket Club,11,2026-01-13
Sha Tin 1,Hong Kong Cricket Club D4A,Cornwall Street Squash Centre,12,2026-01-20
The Squash Club 1,Hong Kong Football Club 4A,Cornwall Street Squash Centre,12,2026-01-20
Hong Kong Cricket Club D4B,X-Alpha 2,Hong Kong Cricket Club,12,2026-01-20
Hong Kong Football Club 4B,TNGX,Hong Kong Football Club,12,2026-01-20
YLJR,Kowloon Cricket Club 4,Cornwall Street Squash Centre,12,2026-01-20
Kowloon Cricket Club 4,Sha Tin 1,Kowloon Cricket Club,13,2026-01-27
YLJR,Hong Kong Football Club 4B,Cornwall Street Squash Centre,13,2026-01-27
Hong Kong Cricket Club D4B,TNGX,Hong Kong Cricket Club,13,2026-01-27
X-Alpha 2,The Squash Club 1,Cornwall Street Squash Centre,13,2026-01-27
Hong Kong Football Club 4A,Hong Kong Cricket Club D4A,Hong Kong Football Club,13,2026-01-27
Sha Tin 1,Hong Kong Football Club 4A,Cornwall Street Squash Centre,14,2026-02-03
Hong Kong Cricket Club D4A,X-Alpha 2,Hong Kong Cricket Club,14,2026-02-03
The Squash Club 1,TNGX,Cornwall Street Squash Centre,14,2026-02-03
YLJR,Hong Kong Cricket Club D4B,Cornwall Street Squash Centre,14,2026-02-03
Kowloon Cricket Club 4,Hong Kong Football Club 4B,Kowloon Cricket Club,14,2026-02-03
Hong Kong Football Club 4B,Sha Tin 1,Hong Kong Football Club,15,2026-02-10
Hong Kong Cricket Club D4B,Kowloon Cricket Club 4,Hong Kong Cricket Club,15,2026-02-10
YLJR,The Squash Club 1,Cornwall Street Squash Centre,15,2026-02-10
TNGX,Hong Kong Cricket Club D4A,Cornwall Street Squash Centre,15,2026-02-10
X-Alpha 2,Hong Kong Football Club 4A,Cornwall Street Squash Centre,15,2026-02-10
Sha Tin 1,X-Alpha 2,Cornwall Street Squash Centre,16,2026-03-03
Hong Kong Football Club 4A,TNGX,Hong Kong Football Club,16,2026-03-03
Hong Kong Cricket Club D4A,YLJR,Hong Kong Cricket Club,16,2026-03-03
Kowloon Cricket Club 4,The Squash Club 1,Kowloon Cricket Club,16,2026-03-03
Hong Kong Football Club 4B,Hong Kong Cricket Club D4B,Hong Kong Football Club,16,2026-03-03
Hong Kong Cricket Club D4B,Sha Tin 1,Hong Kong Cricket Club,17,2026-03-10
Hong Kong Football Club 4B,The Squash Club 1,Hong Kong Football Club,17,2026-03-10
Kowloon Cricket Club 4,Hong Kong Cricket Club D4A,Kowloon Cricket Club,17,2026-03-10
YLJR,Hong Kong Football Club 4A,Cornwall Street Squash Centre,17,2026-03-10
TNGX,X-Alpha 2,Cornwall Street Squash Centre,17,2026-03-10
Sha Tin 1,TNGX,Cornwall Street Squash Centre,18,2026-03-17
X-Alpha 2,YLJR,Cornwall Street Squash Centre,18,2026-03-17
Hong Kong Football Club 4A,Kowloon Cricket Club 4,Hong Kong Football Club,18,2026-03-17
Hong Kong Cricket Club D4A,Hong Kong Football Club 4B,Hong Kong Cricket Club,18,2026-03-17
The Squash Club 1,Hong Kong Cricket Club D4B,Cornwall Street Squash Centre,18,2026-03-17
