Home Team,Away Team,Venue,Match Week,Date
Hong Kong Cricket Club M2,United Services Recreation Club M2,Hong Kong Cricket Club,13,2026-01-28
Ladies Recreation Club M2,Hong Kong Football Club M2B,Ladies Recreation Club,13,2026-01-28
United Services Recreation Club M2,Ladies Recreation Club M2,United Services Recreation Club,14,2026-02-04
Hong Kong Football Club M2A,Hong Kong Cricket Club M2,Hong Kong Football Club,14,2026-02-04
Ladies Recreation Club M2,Hong Kong Football Club M2A,Ladies Recreation Club,15,2026-02-11
Hong Kong Football Club M2B,United Services Recreation Club M2,Hong Kong Football Club,15,2026-02-11
Ladies Recreation Club M2,Hong Kong Cricket Club M2,Ladies Recreation Club,16,2026-03-04
Hong Kong Football Club M2B,Hong Kong Football Club M2A,Hong Kong Football Club,16,2026-03-04
Hong Kong Cricket Club M2,Hong Kong Football Club M2B,Hong Kong Cricket Club,17,2026-03-11
Hong Kong Football Club M2A,United Services Recreation Club M2,Hong Kong Football Club,17,2026-03-11
United Services Recreation Club M2,Hong Kong Cricket Club M2,United Services Recreation Club,18,2026-03-18
Hong Kong Football Club M2B,Ladies Recreation Club M2,Hong Kong Football Club,18,2026-03-18
Ladies Recreation Club M2,United Services Recreation Club M2,Ladies Recreation Club,19,2026-03-25
Hong Kong Cricket Club M2,Hong Kong Football Club M2A,Hong Kong Cricket Club,19,2026-03-25
Hong Kong Football Club M2A,Ladies Recreation Club M2,Hong Kong Football Club,20,2026-04-15
United Services Recreation Club M2,Hong Kong Football Club M2B,United Services Recreation Club,20,2026-04-15
