Home Team,Away Team,Venue,Match Week,Date
Hong Kong Cricket Club L3,Hong Kong Football Club L3C,Hong Kong Cricket Club,16,2026-02-06
Hong Kong Football Club L3B,Hong Kong Football Club L3A,Hong Kong Football Club,16,2026-02-06
Hong Kong Football Club L3A,JESSICA L3,Hong Kong Football Club,17,2026-02-13
Hong Kong Football Club L3C,Hong Kong Football Club L3B,Hong Kong Football Club,17,2026-02-13
Hong Kong Cricket Club L3,JESSICA L3,Hong Kong Cricket Club,18,2026-03-06
Hong Kong Football Club L3C,Hong Kong Football Club L3A,Hong Kong Football Club,18,2026-03-06
JESSICA L3,Hong Kong Football Club L3C,HK Squash Centre,19,2026-03-13
Hong Kong Football Club L3B,Hong Kong Cricket Club L3,Hong Kong Football Club,19,2026-03-13
Hong Kong Football Club L3A,Hong Kong Cricket Club L3,Hong Kong Football Club,20,2026-03-20
JESSICA L3,Hong Kong Football Club L3B,HK Squash Centre,20,2026-03-20
