Home Team,Away Team,Venue,Match Week,Date
Hong Kong Football Club 1A,Kowloon Cricket Club 1B,Hong Kong Football Club,3,2025-11-20
Kowloon Cricket Club 1B,Hong Kong Football Club 1B,Kowloon Cricket Club,4,2025-12-11
Hong Kong Cricket Club D1,Kowloon Cricket Club 1A,Hong Kong Cricket Club,4,2025-12-11
Hong Kong Football Club 1A,FWD,Hong Kong Football Club,4,2025-12-11
FWD,Kowloon Cricket Club 1B,Cornwall Street Squash Centre,5,2025-12-18
Hong Kong Cricket Club D1,Hong Kong Football Club 1A,Hong Kong Cricket Club,5,2025-12-18
Kowloon Cricket Club 1A,Hong Kong Football Club 1B,Kowloon Cricket Club,5,2025-12-18
Hong Kong Cricket Club D1,FWD,Hong Kong Cricket Club,6,2026-04-23
Kowloon Cricket Club 1B,Kowloon Cricket Club 1A,Kowloon Cricket Club,6,2026-04-23
Hong Kong Football Club 1B,Hong Kong Football Club 1A,Hong Kong Football Club,6,2026-04-23
Hong Kong Cricket Club D1,Kowloon Cricket Club 1B,Hong Kong Cricket Club,7,2026-04-30
Hong Kong Football Club 1B,FWD,Hong Kong Football Club,7,2026-04-30
Hong Kong Football Club 1A,Kowloon Cricket Club 1A,Hong Kong Football Club,7,2026-04-30
Kowloon Cricket Club 1B,Hong Kong Football Club 1A,Kowloon Cricket Club,8,2026-05-07
Kowloon Cricket Club 1A,FWD,Kowloon Cricket Club,8,2026-05-07
Hong Kong Football Club 1B,Hong Kong Cricket Club D1,Hong Kong Football Club,8,2026-05-07
Hong Kong Football Club 1B,Kowloon Cricket Club 1B,Hong Kong Football Club,9,2026-05-14
Kowloon Cricket Club 1A,Hong Kong Cricket Club D1,Kowloon Cricket Club,9,2026-05-14
FWD,Hong Kong Football Club 1A,HK Squash Centre,9,2026-05-14
Kowloon Cricket Club 1B,FWD,Kowloon Cricket Club,10,2026-05-21
Hong Kong Football Club 1A,Hong Kong Cricket Club D1,Hong Kong Football Club,10,2026-05-21
Hong Kong Football Club 1B,Kowloon Cricket Club 1A,Hong Kong Football Club,10,2026-05-21
