Home Team,Away Team,Venue,Match Week,Date,Overall Score,Rubbers,Home Score,Away Score,Home Games Won,Away Games Won,VenueType,Winner Rubber 1,Winner Rubber 2,Winner Rubber 3,Winner Rubber 4,Winner Rubber 5
Hong Kong Cricket Club L2,JESSICA L2 [withdrawal],HK Squash Centre,1,14/10/2025,4-0,"['CR', 'CR', 'CR', 'CR']",4,0,12,0,away,,,,,
Hong Kong Football Club L2A,Hong Kong Football Club L2B,Hong Kong Football Club,1,14/10/2025,1-3,"['1-3', '0-3', '3-1', '0-3']",1,3,4,10,shared_home,Hong Kong Football Club L2B,Hong Kong Football Club L2B,Hong Kong Football Club L2A,Hong Kong Football Club L2B,
Kowloon Cricket Club L2A,Kowloon Cricket Club L2B,Kowloon Cricket Club,1,14/10/2025,2-2,"['3-0', '3-1', '0-3', 'CR']",2,2,6,7,shared_home,Kowloon Cricket Club L2A,Kowloon Cricket Club L2A,Kowloon Cricket Club L2B,,
Hong Kong Football Club L2B,JESSICA L2 [withdrawal],Hong Kong Football Club,2,21/10/2025,4-0,"['CR', 'CR', 'CR', 'CR']",4,0,12,0,home,,,,,
Kowloon Cricket Club L2B,Hong Kong Cricket Club L2,Kowloon Cricket Club,2,21/10/2025,3-1,"['1-3', '3-0', '3-0', '3-0']",3,1,10,3,home,Hong Kong Cricket Club L2,Kowloon Cricket Club L2B,Kowloon Cricket Club L2B,Kowloon Cricket Club L2B,
Hong Kong Football Club L2A,Kowloon Cricket Club L2A,Hong Kong Football Club,2,21/10/2025,1-3,"['3-0', '0-3', '0-3', '0-3']",1,3,3,9,home,Hong Kong Football Club L2A,Kowloon Cricket Club L2A,Kowloon Cricket Club L2A,Kowloon Cricket Club L2A,
Hong Kong Football Club L2B,Kowloon Cricket Club L2A,Hong Kong Football Club,3,28/10/2025,4-0,"['3-2', 'CR', 'CR', 'CR']",4,0,12,2,home,Hong Kong Football Club L2B,,,,
Hong Kong Cricket Club L2,Hong Kong Football Club L2A,Hong Kong Cricket Club,3,28/10/2025,1-3,"['0-3', '1-3', '3-1', '0-3']",1,3,4,10,home,Hong Kong Football Club L2A,Hong Kong Football Club L2A,Hong Kong Cricket Club L2,Hong Kong Football Club L2A,
JESSICA L2 [withdrawal],Kowloon Cricket Club L2B,HK Squash Centre,3,28/10/2025,0-4,"['CR', 'CR', 'CR', 'CR']",0,4,0,12,home,,,,,
Kowloon Cricket Club L2B,Hong Kong Football Club L2B,Kowloon Cricket Club,4,04/11/2025,2-2,"['3-0', '2-3', '0-3', '3-0']",2,2,8,6,home,Kowloon Cricket Club L2B,Hong Kong Football Club L2B,Hong Kong Football Club L2B,Kowloon Cricket Club L2B,
Hong Kong Football Club L2A,JESSICA L2 [withdrawal],Hong Kong Football Club,4,04/11/2025,4-0,"['CR', 'CR', 'CR', 'CR']",4,0,12,0,home,,,,,
Hong Kong Cricket Club L2,Kowloon Cricket Club L2A,Hong Kong Cricket Club,4,04/11/2025,4-0,"['3-1', 'CR', 'CR', 'CR']",4,0,12,1,home,Hong Kong Cricket Club L2,,,,
Hong Kong Cricket Club L2,Hong Kong Football Club L2B,Hong Kong Cricket Club,5,11/11/2025,1-3,"['0-3', '0-3', '0-3', '3-1']",1,3,3,10,home,Hong Kong Football Club L2B,Hong Kong Football Club L2B,Hong Kong Football Club L2B,Hong Kong Cricket Club L2,
JESSICA L2 [withdrawal],Kowloon Cricket Club L2A,HK Squash Centre,5,11/11/2025,0-4,"['CR', 'CR', 'CR', 'CR']",0,4,0,12,home,,,,,
Kowloon Cricket Club L2B,Hong Kong Football Club L2A,Kowloon Cricket Club,5,11/11/2025,3-1,"['1-3', '3-1', '3-0', '3-0']",3,1,10,4,home,Hong Kong Football Club L2A,Kowloon Cricket Club L2B,Kowloon Cricket Club L2B,Kowloon Cricket Club L2B,
