Home Team,Away Team,Venue,Match Week,Date,Overall Score,Rubbers,Home Score,Away Score,Home Games Won,Away Games Won,VenueType,Winner Rubber 1,Winner Rubber 2,Winner Rubber 3,Winner Rubber 4
The Squash Club L4,Kwai Tsing District Squash Club L4,Pei Ho Street Sports Centre,1,03/10/2025,3-1,"['0-3', '3-0', '3-0', '3-0']",3,1,9,3,neutral,Kwai Tsing District Squash Club L4,The Squash Club L4,The Squash Club L4,The Squash Club L4
Hong Kong Football Club JSA,Hong Kong Football Club L4,Hong Kong Football Club,1,03/10/2025,3-1,"['3-0', '3-1', '1-3', '3-0']",3,1,10,4,shared_home,Hong Kong Football Club JSA,Hong Kong Football Club JSA,Hong Kong Football Club L4,Hong Kong Football Club JSA
Hong Kong Cricket Club L4,Hong Kong Cricket Club Rockettes,Hong Kong Cricket Club,1,03/10/2025,0-4,"['0-3', '0-3', '0-3', 'CR']",0,4,0,12,shared_home,Hong Kong Cricket Club Rockettes,Hong Kong Cricket Club Rockettes,Hong Kong Cricket Club Rockettes,
JESSICA L4,JESSICA Mochis,HK Squash Centre,1,03/10/2025,3-1,"['1-3', '3-0', '3-0', 'CR']",3,1,10,3,shared_home,JESSICA Mochis,JESSICA L4,JESSICA L4,
JESSICA Mochis,Kwai Tsing District Squash Club L4,HK Squash Centre,2,10/10/2025,3-1,"['0-3', '3-0', '3-0', '3-0']",3,1,9,3,home,Kwai Tsing District Squash Club L4,JESSICA Mochis,JESSICA Mochis,JESSICA Mochis
Hong Kong Cricket Club Rockettes,JESSICA L4,Hong Kong Cricket Club,2,10/10/2025,0-4,"['0-3', '1-3', '0-3', '1-3']",0,4,2,12,home,JESSICA L4,JESSICA L4,JESSICA L4,JESSICA L4
Hong Kong Football Club L4,Hong Kong Cricket Club L4,Hong Kong Football Club,2,10/10/2025,1-3,"['0-3', '0-3', '0-3', '3-0']",1,3,3,9,home,Hong Kong Cricket Club L4,Hong Kong Cricket Club L4,Hong Kong Cricket Club L4,Hong Kong Football Club L4
Squashathon Ladies,Hong Kong Football Club JSA,Cornwall Street Squash Centre,2,10/10/2025,3-1,"['3-0', '3-2', '0-3', '3-1']",3,1,9,6,home,Squashathon Ladies,Squashathon Ladies,Hong Kong Football Club JSA,Squashathon Ladies
Hong Kong Cricket Club L4,Squashathon Ladies,HK Squash Centre,3,17/10/2025,3-1,"['3-0', '3-0', '3-0', '0-3']",3,1,9,3,neutral,Hong Kong Cricket Club L4,Hong Kong Cricket Club L4,Hong Kong Cricket Club L4,Squashathon Ladies
JESSICA L4,Hong Kong Football Club L4,HK Squash Centre,3,17/10/2025,3-1,"['3-1', '3-0', '1-3', '3-0']",3,1,10,4,home,JESSICA L4,JESSICA L4,Hong Kong Football Club L4,JESSICA L4
