Home Team,Away Team,Venue,Match Week,Date,Overall Score,Rubbers,Home Score,Away Score,Home Games Won,Away Games Won,VenueType,Winner Rubber 1,Winner Rubber 2,Winner Rubber 3,Winner Rubber 4,Winner Rubber 5
HKIS Div 13,Bravo D13,Java Road Sports Centre,1,03/10/2025,4-1,"['0-3', '3-0', '3-0', '3-0', 'CR']",4,1,12,3,neutral,Bravo D13,HKIS Div 13,HKIS Div 13,HKIS Div 13,
JSA 1,i-Mask Advance Squash Club 7,HK Squash Centre,1,03/10/2025,2-3,"['3-0', '0-3', '3-0', 'CR', 'CR']",2,3,6,9,home,JSA 1,i-Mask Advance Squash Club 7,JSA 1,,
i-Mask Advance Squash Club 6,NEXUS 3,Java Road Sports Centre,1,03/10/2025,5-0,"['CR', 'CR', 'CR', 'CR', 'CR']",5,0,15,0,neutral,,,,,
Smart Squash 2,Smart Squash 3,Cornwall Street Squash Centre,1,03/10/2025,4-1,"['3-1', '3-2', '0-3', '3-1', '3-0']",4,1,12,7,shared_home,Smart Squash 2,Smart Squash 2,Smart Squash 3,Smart Squash 2,Smart Squash 2
Bravo D13,JSA 1,Yuen Long Jockey Club Squash Courts,2,10/10/2025,1-4,"['3-1', '0-3', '0-3', 'CR', 'CR']",1,4,3,13,home,Bravo D13,JSA 1,JSA 1,,
Smart Squash 2,Vitality Squash 2,Cornwall Street Squash Centre,2,10/10/2025,3-2,"['0-3', '0-3', 'CR', 'CR', 'CR']",3,2,9,6,home,Vitality Squash 2,Vitality Squash 2,,,
HKIS Div 13,NEXUS 3,HK Squash Centre,2,10/10/2025,5-0,"['CR', 'CR', 'CR', 'CR', 'CR']",5,0,15,0,home,,,,,
i-Mask Advance Squash Club 6,i-Mask Advance Squash Club 7,HK Squash Centre,2,10/10/2025,4-1,"['1-3', '3-0', '3-0', '3-0', '3-0']",4,1,13,3,home,i-Mask Advance Squash Club 7,i-Mask Advance Squash Club 6,i-Mask Advance Squash Club 6,i-Mask Advance Squash Club 6,i-Mask Advance Squash Club 6
i-Mask Advance Squash Club 6,Smart Squash 3,HK Squash Centre,3,17/10/2025,3-2,"['3-0', '3-0', '0-3', '3-0', '0-3']",3,2,9,6,home,i-Mask Advance Squash Club 6,i-Mask Advance Squash Club 6,Smart Squash 3,i-Mask Advance Squash Club 6,Smart Squash 3
Vitality Squash 2,JSA 1,HK Squash Centre,3,17/10/2025,2-3,"['2-3', '0-3', '0-3', 'CR', 'CR']",2,3,2,15,shared_home,JSA 1,JSA 1,JSA 1,,
HKIS Div 13,Smart Squash 2,Harbour Road Sports Centre,3,17/10/2025,3-2,"['0-3', '0-3', 'WO', 'WO', 'WO']",3,2,9,6,neutral,Smart Squash 2,Smart Squash 2,,,
NEXUS 3,i-Mask Advance Squash Club 7,Cornwall Street Squash Centre,3,17/10/2025,3-2,"['2-3', '1-3', '3-2', 'CR', 'CR']",3,2,12,8,shared_home,i-Mask Advance Squash Club 7,i-Mask Advance Squash Club 7,NEXUS 3,,
Smart Squash 3,i-Mask Advance Squash Club 7,Cornwall Street Squash Centre,4,24/10/2025,0-5,"['0-3', '0-3', '0-3', '0-3', '0-3']",0,5,0,15,shared_home,i-Mask Advance Squash Club 7,i-Mask Advance Squash Club 7,i-Mask Advance Squash Club 7,i-Mask Advance Squash Club 7,i-Mask Advance Squash Club 7
Smart Squash 2,Bravo D13,Cornwall Street Squash Centre,4,24/10/2025,2-3,"['0-3', '0-3', '0-3', 'CR', 'CR']",2,3,0,15,home,Bravo D13,Bravo D13,Bravo D13,,
i-Mask Advance Squash Club 6,HKIS Div 13,Java Road Sports Centre,4,24/10/2025,3-2,"['0-3', '3-0', '3-0', '3-0', 'CR']",3,2,12,3,neutral,HKIS Div 13,i-Mask Advance Squash Club 6,i-Mask Advance Squash Club 6,i-Mask Advance Squash Club 6,
Vitality Squash 2,NEXUS 3,HK Squash Centre,4,24/10/2025,1-4,"['1-3', '3-0', 'CR', 'CR', 'CR']",1,4,4,12,home,NEXUS 3,Vitality Squash 2,,,
Smart Squash 2,NEXUS 3,Cornwall Street Squash Centre,5,31/10/2025,5-0,"['CR', 'CR', 'CR', 'CR', 'CR']",5,0,15,0,shared_home,,,,,
Vitality Squash 2,i-Mask Advance Squash Club 7,HK Squash Centre,5,31/10/2025,2-3,"['3-2', '1-3', '3-0', '0-3', 'CR']",2,3,7,11,home,Vitality Squash 2,i-Mask Advance Squash Club 7,Vitality Squash 2,i-Mask Advance Squash Club 7,
JSA 1,i-Mask Advance Squash Club 6,HK Squash Centre,5,31/10/2025,2-3,"['3-0', '3-1', '0-3', '2-3', 'CR']",2,3,8,10,shared_home,JSA 1,JSA 1,i-Mask Advance Squash Club 6,i-Mask Advance Squash Club 6,
Bravo D13,Smart Squash 3,Yuen Long Jockey Club Squash Courts,5,31/10/2025,2-3,"['3-1', '3-0', '0-3', 'CR', 'CR']",2,3,6,10,home,Bravo D13,Bravo D13,Smart Squash 3,,
HKIS Div 13,Vitality Squash 2,HK Squash Centre,6,07/11/2025,2-3,"['2-3', '0-3', '3-0', '0-3', 'WO']",2,3,5,12,shared_home,Vitality Squash 2,Vitality Squash 2,HKIS Div 13,Vitality Squash 2,
Smart Squash 2,i-Mask Advance Squash Club 6,Cornwall Street Squash Centre,6,07/11/2025,5-0,"['3-0', '3-2', '3-0', '3-1', '3-1']",5,0,15,4,home,Smart Squash 2,Smart Squash 2,Smart Squash 2,Smart Squash 2,Smart Squash 2
i-Mask Advance Squash Club 7,Bravo D13,Cornwall Street Squash Centre,6,07/11/2025,5-0,"['CR', 'CR', 'CR', 'CR', 'CR']",5,0,15,0,home,,,,,
JSA 1,Smart Squash 3,HK Squash Centre,6,07/11/2025,0-5,"['CR', 'CR', 'CR', 'CR', 'CR']",0,5,0,15,home,,,,,
i-Mask Advance Squash Club 7,HKIS Div 13,Cornwall Street Squash Centre,7,14/11/2025,2-3,"['0-3', '0-3', '0-3', '3-0', 'CR']",2,3,3,12,home,HKIS Div 13,HKIS Div 13,HKIS Div 13,i-Mask Advance Squash Club 7,
JSA 1,NEXUS 3,HK Squash Centre,7,14/11/2025,3-2,"['0-3', '0-3', 'CR', 'CR', 'CR']",3,2,9,6,home,NEXUS 3,NEXUS 3,,,
Smart Squash 3,Vitality Squash 2,Cornwall Street Squash Centre,7,14/11/2025,1-4,"['0-3', '0-3', '0-3', '0-3', 'CR']",1,4,0,15,home,Vitality Squash 2,Vitality Squash 2,Vitality Squash 2,Vitality Squash 2,
Bravo D13,i-Mask Advance Squash Club 6,Yuen Long Jockey Club Squash Courts,7,14/11/2025,5-0,"['3-2', 'CR', 'CR', 'CR', 'CR']",5,0,15,2,home,Bravo D13,,,,
Vitality Squash 2,Bravo D13,HK Squash Centre,8,21/11/2025,2-3,"['2-3', '0-3', '0-3', 'CR', 'CR']",2,3,2,15,home,Bravo D13,Bravo D13,Bravo D13,,
NEXUS 3,Smart Squash 3,Cornwall Street Squash Centre,8,21/11/2025,4-1,"['3-0', '3-0', '3-0', '3-1', 'CR']",4,1,15,1,shared_home,NEXUS 3,NEXUS 3,NEXUS 3,NEXUS 3,
HKIS Div 13,JSA 1,HK Squash Centre,8,21/11/2025,2-3,"['0-3', '1-3', '3-0', '3-0', '0-3']",2,3,7,9,shared_home,JSA 1,JSA 1,HKIS Div 13,HKIS Div 13,JSA 1
Smart Squash 2,i-Mask Advance Squash Club 7,Cornwall Street Squash Centre,8,21/11/2025,1-4,"['0-3', '1-3', '0-3', '3-0', '0-3']",1,4,4,12,shared_home,i-Mask Advance Squash Club 7,i-Mask Advance Squash Club 7,i-Mask Advance Squash Club 7,Smart Squash 2,i-Mask Advance Squash Club 7
JSA 1,Smart Squash 2,HK Squash Centre,9,28/11/2025,1-4,"['3-0', 'CR', 'CR', 'CR', 'CR']",1,4,3,12,home,JSA 1,,,,
Smart Squash 3,HKIS Div 13,Cornwall Street Squash Centre,9,28/11/2025,5-0,"['3-0', 'CR', 'CR', 'CR', 'CR']",5,0,15,0,home,Smart Squash 3,,,,
NEXUS 3,Bravo D13,Cornwall Street Squash Centre,9,28/11/2025,3-2,"['3-0', '3-0', '3-0', 'CR', 'CR']",3,2,15,0,home,NEXUS 3,NEXUS 3,NEXUS 3,,
i-Mask Advance Squash Club 6,Vitality Squash 2,Java Road Sports Centre,9,28/11/2025,3-2,"['0-3', '1-3', '3-0', 'CR', 'CR']",3,2,10,6,neutral,Vitality Squash 2,Vitality Squash 2,i-Mask Advance Squash Club 6,,
Bravo D13,HKIS Div 13,Yuen Long Jockey Club Squash Courts,10,12/12/2025,5-0,"['3-0', 'CR', 'CR', 'CR', 'CR']",5,0,15,0,home,Bravo D13,,,,
i-Mask Advance Squash Club 7,JSA 1,Cornwall Street Squash Centre,10,12/12/2025,1-4,"['1-3', '0-3', '0-3', '0-3', '3-0']",1,4,4,12,home,JSA 1,JSA 1,JSA 1,JSA 1,i-Mask Advance Squash Club 7
NEXUS 3,i-Mask Advance Squash Club 6,Cornwall Street Squash Centre,10,12/12/2025,3-2,"['3-0', '2-3', '2-3', '3-1', '3-0']",3,2,13,7,home,NEXUS 3,i-Mask Advance Squash Club 6,i-Mask Advance Squash Club 6,NEXUS 3,NEXUS 3
Smart Squash 3,Smart Squash 2,Cornwall Street Squash Centre,10,12/12/2025,0-5,"['0-3', '0-3', '0-3', '0-3', 'CR']",0,5,0,15,shared_home,Smart Squash 2,Smart Squash 2,Smart Squash 2,Smart Squash 2,
JSA 1,Bravo D13,Java Road Sports Centre,11,19/12/2025,0-5,"['CR', 'CR', 'CR', 'CR', 'CR']",0,5,0,15,neutral,,,,,
Vitality Squash 2,Smart Squash 2,Java Road Sports Centre,11,19/12/2025,4-1,"['3-0', '0-3', 'CR', 'CR', 'CR']",4,1,12,3,neutral,Vitality Squash 2,Smart Squash 2,,,
