Home Team,Away Team,Venue,Match Week,Date,Overall Score,Rubbers,Home Score,Away Score,Home Games Won,Away Games Won,VenueType,Winner Rubber 1,Winner Rubber 2,Winner Rubber 3,Winner Rubber 4,Winner Rubber 5
LONGVIEW,Sha Tin 3,HK Squash Centre,1,03/10/2025,0-5,"['0-3', '0-3', '1-3', '0-3', 'WO']",0,5,1,15,neutral,Sha Tin 3,Sha Tin 3,Sha Tin 3,Sha Tin 3,
Kinetic 2,Physical Chess 3,Yuen Long Jockey Club Squash Courts,1,03/10/2025,1-4,"['0-3', '2-3', '0-3', '3-1', '0-3']",1,4,5,13,home,Physical Chess 3,Physical Chess 3,Physical Chess 3,Kinetic 2,Physical Chess 3
TOMCAT,Squashathon Zero,Cornwall Street Squash Centre,1,03/10/2025,2-3,"['2-3', '3-1', '3-2', '1-3', '0-3']",2,3,9,12,shared_home,Squashathon Zero,TOMCAT,TOMCAT,Squashathon Zero,Squashathon Zero
Physical Chess 3,TOMCAT,Cornwall Street Squash Centre,2,10/10/2025,4-1,"['2-3', '3-0', '3-0', '3-0', '3-0']",4,1,14,3,shared_home,TOMCAT,Physical Chess 3,Physical Chess 3,Physical Chess 3,Physical Chess 3
Sha Tin 3,Kinetic 2,Cornwall Street Squash Centre,2,10/10/2025,2-3,"['1-3', '3-0', '1-3', '2-3', '3-0']",2,3,10,9,home,Kinetic 2,Sha Tin 3,Kinetic 2,Kinetic 2,Sha Tin 3
i-Mask Advance Squash Club 2,LONGVIEW,Cornwall Street Squash Centre,2,10/10/2025,5-0,"['3-0', '3-0', '3-1', '3-0', '3-0']",5,0,15,1,home,i-Mask Advance Squash Club 2,i-Mask Advance Squash Club 2,i-Mask Advance Squash Club 2,i-Mask Advance Squash Club 2,i-Mask Advance Squash Club 2
Kinetic 2,i-Mask Advance Squash Club 2,Yuen Long Jockey Club Squash Courts,3,17/10/2025,2-3,"['0-3', '3-1', '2-3', '1-3', 'CR']",2,3,6,13,home,i-Mask Advance Squash Club 2,Kinetic 2,i-Mask Advance Squash Club 2,i-Mask Advance Squash Club 2,
TOMCAT,Sha Tin 3,Cornwall Street Squash Centre,3,17/10/2025,1-4,"['0-3', '2-3', '3-2', '1-3', '0-3']",1,4,6,14,shared_home,Sha Tin 3,Sha Tin 3,TOMCAT,Sha Tin 3,Sha Tin 3
Squashathon Zero,Physical Chess 3,Cornwall Street Squash Centre,3,17/10/2025,2-3,"['3-0', '0-3', '3-2', '1-3', '1-3']",2,3,8,11,shared_home,Squashathon Zero,Physical Chess 3,Squashathon Zero,Physical Chess 3,Physical Chess 3
LONGVIEW,Kinetic 2,Harbour Road Sports Centre,4,24/10/2025,1-4,"['0-3', '3-2', '0-3', '1-3', '2-3']",1,4,6,14,neutral,Kinetic 2,LONGVIEW,Kinetic 2,Kinetic 2,Kinetic 2
