Home Team,Away Team,Venue,Match Week,Date,Overall Score,Rubbers,Home Score,Away Score,Home Games Won,Away Games Won,VenueType,Winner Rubber 1,Winner Rubber 2,Winner Rubber 3,Winner Rubber 4,Winner Rubber 5
WAKO,Kowloon Cricket Club M4,Masters - Harbour Road Sports Centre,1,02/10/2025,3-2,"['1-3', '0-3', '3-0', '3-0', '3-0']",3,2,10,6,home,Kowloon Cricket Club M4,Kowloon Cricket Club M4,WAKO,WAKO,WAKO
Hong Kong Cricket Club M4,Hong Kong Club Blue,Hong Kong Cricket Club,1,02/10/2025,2-3,"['3-0', '2-3', '0-3', '3-1', '0-3']",2,3,8,10,home,Hong Kong Cricket Club M4,Hong Kong Club Blue,Hong Kong Club Blue,Hong Kong Cricket Club M4,Hong Kong Club Blue
Royal Hong Kong Yacht Club M4,United Services Recreation Club M4,Royal Hong Kong Yacht Club,1,02/10/2025,3-2,"['0-3', '3-0', '0-3', '3-0', '3-1']",3,2,9,7,home,United Services Recreation Club M4,Royal Hong Kong Yacht Club M4,United Services Recreation Club M4,Royal Hong Kong Yacht Club M4,Royal Hong Kong Yacht Club M4
Bolton,SKCSC M4,Masters - HK Squash Centre,1,02/10/2025,0-5,"['0-3', '1-3', '0-3', '0-3', '2-3']",0,5,3,15,neutral,SKCSC M4,SKCSC M4,SKCSC M4,SKCSC M4,SKCSC M4
Hong Kong Football Club M4A,Hong Kong Football Club M4B,Hong Kong Football Club,1,02/10/2025,4-1,"['3-0', '3-0', '3-0', '3-1', '0-3']",4,1,12,4,shared_home,Hong Kong Football Club M4A,Hong Kong Football Club M4A,Hong Kong Football Club M4A,Hong Kong Football Club M4A,Hong Kong Football Club M4B
Kowloon Cricket Club M4,SKCSC M4,Kowloon Cricket Club,2,09/10/2025,2-3,"['0-3', '3-1', '3-1', '0-3', '0-3']",2,3,6,11,home,SKCSC M4,Kowloon Cricket Club M4,Kowloon Cricket Club M4,SKCSC M4,SKCSC M4
Bolton,Royal Hong Kong Yacht Club M4,Masters - HK Squash Centre,2,09/10/2025,2-3,"['3-1', '0-3', '0-3', '3-1', '0-3']",2,3,6,11,neutral,Bolton,Royal Hong Kong Yacht Club M4,Royal Hong Kong Yacht Club M4,Bolton,Royal Hong Kong Yacht Club M4
Hong Kong Football Club M4B,United Services Recreation Club M4,Hong Kong Football Club,2,09/10/2025,3-2,"['3-2', '3-0', '3-0', '0-3', '0-3']",3,2,9,8,home,Hong Kong Football Club M4B,Hong Kong Football Club M4B,Hong Kong Football Club M4B,United Services Recreation Club M4,United Services Recreation Club M4
Hong Kong Cricket Club M4,Hong Kong Football Club M4A,Hong Kong Cricket Club,2,09/10/2025,0-5,"['0-3', '0-3', '0-3', '1-3', '2-3']",0,5,3,15,home,Hong Kong Football Club M4A,Hong Kong Football Club M4A,Hong Kong Football Club M4A,Hong Kong Football Club M4A,Hong Kong Football Club M4A
Hong Kong Club Blue,WAKO,The Hong Kong Club,2,09/10/2025,3-2,"['2-3', '0-3', '3-0', '3-0', '3-0']",3,2,11,6,home,WAKO,WAKO,Hong Kong Club Blue,Hong Kong Club Blue,Hong Kong Club Blue
