Home Team,Away Team,Venue,Match Week,Date,Overall Score,Rubbers,Home Score,Away Score,Home Games Won,Away Games Won,VenueType,Winner Rubber 1,Winner Rubber 2,Winner Rubber 3,Winner Rubber 4,Winner Rubber 5
Social Squash Team,i-Mask Advance Squash Club 1,HK Squash Centre,1,08/10/2025,3-2,"['1-3', '1-3', '3-2', '3-1', '3-0']",3,2,11,9,home,i-Mask Advance Squash Club 1,i-Mask Advance Squash Club 1,Social Squash Team,Social Squash Team,Social Squash Team
Thunder 1,Xavier,Cornwall Street Squash Centre,1,08/10/2025,3-2,"['1-3', '3-2', '3-0', '0-3', 'CR']",3,2,10,8,shared_home,Xavier,Thunder 1,Thunder 1,Xavier,
Kinetic 1,Physical Chess 2,HK Squash Centre,1,08/10/2025,1-4,"['1-3', '0-3', '0-3', '0-3', '3-0']",1,4,4,12,home,Physical Chess 2,Physical Chess 2,Physical Chess 2,Physical Chess 2,Kinetic 1
Hong Kong Cricket Club D7A,Hong Kong Cricket Club D7B,Hong Kong Cricket Club,1,08/10/2025,2-3,"['3-1', '1-3', '3-2', '0-3', '2-3']",2,3,9,12,shared_home,Hong Kong Cricket Club D7A,Hong Kong Cricket Club D7B,Hong Kong Cricket Club D7A,Hong Kong Cricket Club D7B,Hong Kong Cricket Club D7B
Hong Kong Football Club 7A,Hong Kong Football Club 7B,Hong Kong Football Club,1,08/10/2025,3-2,"['3-0', '1-3', '1-3', '3-2', '3-0']",3,2,11,8,shared_home,Hong Kong Football Club 7A,Hong Kong Football Club 7B,Hong Kong Football Club 7B,Hong Kong Football Club 7A,Hong Kong Football Club 7A
Xavier,Kinetic 1,Cornwall Street Squash Centre,2,15/10/2025,4-1,"['3-0', '3-0', '3-1', '3-0', 'CR']",4,1,15,1,home,Xavier,Xavier,Xavier,Xavier,
Hong Kong Football Club 7B,Thunder 1,Hong Kong Football Club,2,15/10/2025,4-1,"['2-3', '3-0', '3-2', '3-1', '3-0']",4,1,14,6,home,Thunder 1,Hong Kong Football Club 7B,Hong Kong Football Club 7B,Hong Kong Football Club 7B,Hong Kong Football Club 7B
Hong Kong Football Club 7A,Hong Kong Cricket Club D7B,Hong Kong Football Club,2,15/10/2025,4-1,"['3-0', '3-1', '1-3', '3-1', '3-0']",4,1,13,5,home,Hong Kong Football Club 7A,Hong Kong Football Club 7A,Hong Kong Cricket Club D7B,Hong Kong Football Club 7A,Hong Kong Football Club 7A
Hong Kong Cricket Club D7A,i-Mask Advance Squash Club 1,HK Squash Centre,2,15/10/2025,3-2,"['3-1', '1-3', '3-0', '3-2', '2-3']",3,2,12,9,neutral,Hong Kong Cricket Club D7A,i-Mask Advance Squash Club 1,Hong Kong Cricket Club D7A,Hong Kong Cricket Club D7A,i-Mask Advance Squash Club 1
UST,Social Squash Team,Cornwall Street Squash Centre,2,15/10/2025,3-2,"['3-0', '3-0', '1-3', '3-0', '0-3']",3,2,10,6,home,UST,UST,Social Squash Team,UST,Social Squash Team
Hong Kong Cricket Club D7A,UST,Hong Kong Cricket Club,3,22/10/2025,3-2,"['2-3', '2-3', '3-0', '3-1', 'CR']",3,2,13,7,home,UST,UST,Hong Kong Cricket Club D7A,Hong Kong Cricket Club D7A,
Hong Kong Football Club 7A,i-Mask Advance Squash Club 1,Hong Kong Football Club,3,22/10/2025,1-4,"['1-3', '0-3', '3-2', '0-3', '1-3']",1,4,5,14,home,i-Mask Advance Squash Club 1,i-Mask Advance Squash Club 1,Hong Kong Football Club 7A,i-Mask Advance Squash Club 1,i-Mask Advance Squash Club 1
Thunder 1,Hong Kong Cricket Club D7B,Cornwall Street Squash Centre,3,22/10/2025,3-2,"['3-0', '3-2', '3-1', '2-3', '0-3']",3,2,11,9,home,Thunder 1,Thunder 1,Thunder 1,Hong Kong Cricket Club D7B,Hong Kong Cricket Club D7B
Kinetic 1,Hong Kong Football Club 7B,HK Squash Centre,3,22/10/2025,1-4,"['0-3', '0-3', '0-3', '1-3', '3-0']",1,4,4,12,home,Hong Kong Football Club 7B,Hong Kong Football Club 7B,Hong Kong Football Club 7B,Hong Kong Football Club 7B,Kinetic 1
Physical Chess 2,Xavier,Cornwall Street Squash Centre,3,22/10/2025,3-2,"['1-3', '3-0', '3-0', '0-3', 'CR']",3,2,10,6,shared_home,Xavier,Physical Chess 2,Physical Chess 2,Xavier,
Hong Kong Football Club 7B,Physical Chess 2,Hong Kong Football Club,4,05/11/2025,2-3,"['3-0', '3-1', '0-3', '0-3', '1-3']",2,3,7,10,home,Hong Kong Football Club 7B,Hong Kong Football Club 7B,Physical Chess 2,Physical Chess 2,Physical Chess 2
Hong Kong Cricket Club D7B,Kinetic 1,Hong Kong Cricket Club,4,05/11/2025,3-2,"['0-3', '3-2', '3-0', '3-0', '0-3']",3,2,9,8,home,Kinetic 1,Hong Kong Cricket Club D7B,Hong Kong Cricket Club D7B,Hong Kong Cricket Club D7B,Kinetic 1
i-Mask Advance Squash Club 1,Thunder 1,Cornwall Street Squash Centre,4,05/11/2025,0-5,"['2-3', '2-3', '0-3', '0-3', 'CR']",0,5,4,15,shared_home,Thunder 1,Thunder 1,Thunder 1,Thunder 1,
UST,Hong Kong Football Club 7A,Cornwall Street Squash Centre,4,05/11/2025,2-3,"['3-1', '3-1', '0-3', '0-3', '0-3']",2,3,6,11,home,UST,UST,Hong Kong Football Club 7A,Hong Kong Football Club 7A,Hong Kong Football Club 7A
Social Squash Team,Hong Kong Cricket Club D7A,HK Squash Centre,4,05/11/2025,2-3,"['2-3', '0-3', '0-3', '3-0', '3-1']",2,3,8,10,home,Hong Kong Cricket Club D7A,Hong Kong Cricket Club D7A,Hong Kong Cricket Club D7A,Social Squash Team,Social Squash Team
Hong Kong Football Club 7A,Social Squash Team,Hong Kong Football Club,5,12/11/2025,4-1,"['3-0', '3-0', '3-0', '3-0', '2-3']",4,1,14,3,home,Hong Kong Football Club 7A,Hong Kong Football Club 7A,Hong Kong Football Club 7A,Hong Kong Football Club 7A,Social Squash Team
Thunder 1,UST,Cornwall Street Squash Centre,5,12/11/2025,3-2,"['3-0', '0-3', '3-0', '3-0', '0-3']",3,2,9,6,shared_home,Thunder 1,UST,Thunder 1,Thunder 1,UST
Kinetic 1,i-Mask Advance Squash Club 1,HK Squash Centre,5,12/11/2025,1-4,"['1-3', '0-3', '1-3', '0-3', '3-1']",1,4,5,13,home,i-Mask Advance Squash Club 1,i-Mask Advance Squash Club 1,i-Mask Advance Squash Club 1,i-Mask Advance Squash Club 1,Kinetic 1
Physical Chess 2,Hong Kong Cricket Club D7B,Cornwall Street Squash Centre,5,12/11/2025,4-1,"['3-0', '3-0', '3-0', '3-0', '0-3']",4,1,12,3,home,Physical Chess 2,Physical Chess 2,Physical Chess 2,Physical Chess 2,Hong Kong Cricket Club D7B
Xavier,Hong Kong Football Club 7B,Cornwall Street Squash Centre,5,12/11/2025,1-4,"['1-3', '3-1', '1-3', '2-3', 'CR']",1,4,7,13,home,Hong Kong Football Club 7B,Xavier,Hong Kong Football Club 7B,Hong Kong Football Club 7B,
Hong Kong Cricket Club D7B,Xavier,Hong Kong Cricket Club,6,19/11/2025,4-1,"['1-3', '3-0', '3-0', '3-2', 'CR']",4,1,13,5,home,Xavier,Hong Kong Cricket Club D7B,Hong Kong Cricket Club D7B,Hong Kong Cricket Club D7B,
i-Mask Advance Squash Club 1,Physical Chess 2,Cornwall Street Squash Centre,6,19/11/2025,1-4,"['3-1', '0-3', '1-3', '0-3', '0-3']",1,4,4,13,shared_home,i-Mask Advance Squash Club 1,Physical Chess 2,Physical Chess 2,Physical Chess 2,Physical Chess 2
UST,Kinetic 1,Cornwall Street Squash Centre,6,19/11/2025,4-1,"['3-2', '3-0', '3-2', '0-3', '3-0']",4,1,12,7,home,UST,UST,UST,Kinetic 1,UST
Social Squash Team,Thunder 1,HK Squash Centre,6,19/11/2025,1-4,"['3-1', '0-3', '2-3', '0-3', 'CR']",1,4,5,13,home,Social Squash Team,Thunder 1,Thunder 1,Thunder 1,
Hong Kong Cricket Club D7A,Hong Kong Football Club 7A,Hong Kong Cricket Club,6,19/11/2025,2-3,"['3-0', '1-3', '1-3', '3-0', '1-3']",2,3,9,9,home,Hong Kong Cricket Club D7A,Hong Kong Football Club 7A,Hong Kong Football Club 7A,Hong Kong Cricket Club D7A,Hong Kong Football Club 7A
Thunder 1,Hong Kong Cricket Club D7A,Cornwall Street Squash Centre,7,26/11/2025,0-5,"['0-3', '2-3', '2-3', '0-3', '1-3']",0,5,5,15,home,Hong Kong Cricket Club D7A,Hong Kong Cricket Club D7A,Hong Kong Cricket Club D7A,Hong Kong Cricket Club D7A,Hong Kong Cricket Club D7A
