Home Team,vs,Away Team,Venue,Time,Result,Match Week,Date
The Squash Club L4,v,Kwai Tsing District Squash Club L4,Pei Ho Street Sports Centre,19:00:00,"3-1(0-3,3-0,3-0,3-0)",1,03/10/2025
Hong Kong Football Club JSA,v,Hong Kong Football Club L4,Hong Kong Football Club,19:00:00,"3-1(3-0,3-1,1-3,3-0)",1,03/10/2025
Hong Kong Cricket Club L4,v,Hong Kong Cricket Club Rockettes,Hong Kong Cricket Club,19:00:00,"0-4(0-3,0-3,0-3,CR)",1,03/10/2025
JESSICA L4,v,JESSICA Mochis,HK Squash Centre,19:00:00,"3-1(1-3,3-0,3-0,CR)",1,03/10/2025
Squashathon Ladies,v,[BYE],,,,1,03/10/2025
JESSICA Mochis,v,Kwai Tsing District Squash Club L4,HK Squash Centre,19:00:00,"3-1(0-3,3-0,3-0,3-0)",2,10/10/2025
Hong Kong Cricket Club Rockettes,v,JESSICA L4,Hong Kong Cricket Club,19:00:00,"0-4(0-3,1-3,0-3,1-3)",2,10/10/2025
Hong Kong Football Club L4,v,Hong Kong Cricket Club L4,Hong Kong Football Club,19:00:00,"1-3(0-3,0-3,0-3,3-0)",2,10/10/2025
Squashathon Ladies,v,Hong Kong Football Club JSA,Cornwall Street Squash Centre,19:00:00,"3-1(3-0,3-2,0-3,3-1)",2,10/10/2025
The Squash Club L4,v,[BYE],,,,2,10/10/2025
Hong Kong Cricket Club L4,v,Squashathon Ladies,HK Squash Centre,19:00:00,"3-1(3-0,3-0,3-0,0-3)",3,17/10/2025
JESSICA L4,v,Hong Kong Football Club L4,HK Squash Centre,19:00:00,"3-1(3-1,3-0,1-3,3-0)",3,17/10/2025
Kwai Tsing District Squash Club L4,v,Hong Kong Cricket Club Rockettes,Yeung Uk Road Sports Centre,19:00:00,"2-2(3-0,1-3,0-3,3-2)",3,17/10/2025
The Squash Club L4,v,JESSICA Mochis,Cornwall Street Squash Centre,19:00:00,"1-3(3-0,2-3,0-3,0-3)",3,17/10/2025
Hong Kong Football Club JSA,v,[BYE],,,,3,17/10/2025
Hong Kong Cricket Club Rockettes,v,The Squash Club L4,Hong Kong Cricket Club,19:00:00,"0-4(0-3,0-3,0-3,0-3)",4,24/10/2025
Hong Kong Football Club L4,v,Kwai Tsing District Squash Club L4,Hong Kong Football Club,19:00:00,"3-1(3-0,0-3,3-0,3-1)",4,24/10/2025
Squashathon Ladies,v,JESSICA L4,Cornwall Street Squash Centre,19:00:00,"1-3(3-1,WO,0-3,0-3)",4,24/10/2025
Hong Kong Football Club JSA,v,Hong Kong Cricket Club L4,Hong Kong Football Club,19:00:00,"1-3(3-0,CR,CR,CR)",4,24/10/2025
JESSICA Mochis,v,[BYE],,,,4,24/10/2025
JESSICA L4,v,Hong Kong Football Club JSA,HK Squash Centre,19:00:00,"2-2(2-3,3-0,3-0,0-3)",5,31/10/2025
Squashathon Ladies,v,Kwai Tsing District Squash Club L4,Cornwall Street Squash Centre,19:00:00,"3-1(0-3,3-1,3-0,3-0)",5,31/10/2025
The Squash Club L4,v,Hong Kong Football Club L4,Pei Ho Street Sports Centre,19:00:00,"3-1(3-0,3-0,0-3,3-0)",5,31/10/2025
JESSICA Mochis,v,Hong Kong Cricket Club Rockettes,HK Squash Centre,19:00:00,"4-0(3-1,3-0,3-0,3-0)",5,31/10/2025
Hong Kong Cricket Club L4,v,[BYE],,,,5,31/10/2025
Hong Kong Football Club L4,v,JESSICA Mochis,Hong Kong Football Club,19:00:00,"4-0(3-1,3-0,CR,CR)",6,07/11/2025
Squashathon Ladies,v,The Squash Club L4,Cornwall Street Squash Centre,19:00:00,"1-3(3-1,0-3,0-3,CR)",6,07/11/2025
Hong Kong Football Club JSA,v,Kwai Tsing District Squash Club L4,Hong Kong Football Club,19:00:00,"3-1(0-3,3-0,3-0,3-0)",6,07/11/2025
Hong Kong Cricket Club L4,v,JESSICA L4,Hong Kong Cricket Club,19:00:00,"0-4(0-3,0-3,0-3,0-3)",6,07/11/2025
Hong Kong Cricket Club Rockettes,v,[BYE],,,,6,07/11/2025
Hong Kong Cricket Club L4,v,Kwai Tsing District Squash Club L4,Hong Kong Cricket Club,19:00:00,"1-3(3-0,0-3,0-3,0-3)",7,14/11/2025
The Squash Club L4,v,Hong Kong Football Club JSA,Cornwall Street Squash Centre,19:00:00,"1-3(2-3,0-3,0-3,3-2)",7,14/11/2025
JESSICA Mochis,v,Squashathon Ladies,HK Squash Centre,19:00:00,"4-0(3-1,3-0,3-2,3-0)",7,14/11/2025
Hong Kong Cricket Club Rockettes,v,Hong Kong Football Club L4,Hong Kong Cricket Club,19:00:00,"3-1(3-0,3-0,3-0,2-3)",7,14/11/2025
JESSICA L4,v,[BYE],,,,7,14/11/2025
Squashathon Ladies,v,Hong Kong Cricket Club Rockettes,Cornwall Street Squash Centre,19:00:00,"3-1(3-0,1-3,3-0,CR)",8,21/11/2025
Hong Kong Football Club JSA,v,JESSICA Mochis,Hong Kong Football Club,19:00:00,"0-4(0-3,0-3,1-3,0-3)",8,21/11/2025
Hong Kong Cricket Club L4,v,The Squash Club L4,Hong Kong Cricket Club,19:00:00,"2-2(3-0,3-0,0-3,0-3)",8,21/11/2025
JESSICA L4,v,Kwai Tsing District Squash Club L4,HK Squash Centre,19:00:00,"3-1(0-3,3-0,3-0,3-0)",8,21/11/2025
Hong Kong Football Club L4,v,[BYE],,,,8,21/11/2025
The Squash Club L4,v,JESSICA L4,Cornwall Street Squash Centre,19:00:00,"0-4(2-3,1-3,0-3,0-3)",9,28/11/2025
Hong Kong Cricket Club L4,v,JESSICA Mochis,Hong Kong Cricket Club,19:00:00,"1-3(2-3,0-3,3-2,0-3)",9,28/11/2025
Hong Kong Cricket Club Rockettes,v,Hong Kong Football Club JSA,Hong Kong Cricket Club,19:00:00,"0-4(0-3,0-3,0-3,0-3)",9,28/11/2025
Hong Kong Football Club L4,v,Squashathon Ladies,HK Squash Centre,19:00:00,"1-3(0-3,1-3,3-0,2-3)",9,28/11/2025
Kwai Tsing District Squash Club L4,v,[BYE],,,,9,28/11/2025
Kwai Tsing District Squash Club L4,v,The Squash Club L4,Yeung Uk Road Sports Centre,19:00:00,"1-3(3-0,0-3,0-3,0-3)",10,12/12/2025
Hong Kong Football Club L4,v,Hong Kong Football Club JSA,Hong Kong Football Club,19:00:00,"1-3(0-3,2-3,3-0,0-3)",10,12/12/2025
Hong Kong Cricket Club Rockettes,v,Hong Kong Cricket Club L4,Hong Kong Cricket Club,19:00:00,"3-1(1-3,3-0,3-0,CR)",10,12/12/2025
JESSICA Mochis,v,JESSICA L4,HK Squash Centre,19:00:00,"2-2(0-3,2-3,3-1,3-0)",10,12/12/2025
Squashathon Ladies,v,[BYE],,,,10,12/12/2025
Kwai Tsing District Squash Club L4,v,JESSICA Mochis,Yeung Uk Road Sports Centre,19:00:00,"4-0(3-0,CR,CR,CR)",11,19/12/2025
