Home Team,vs,Away Team,Venue,Time,Result,Match Week,Date
JESSICA L1,v,Hong Kong Football Club L1,HK Squash Centre,19:00:00,"2-1(2-3,3-2,3-0)",1,30/10/2025
Kowloon Cricket Club L1A,v,Kowloon Cricket Club L1B,Kowloon Cricket Club,19:00:00,"1-2(0-3,1-3,3-0)",1,30/10/2025
Hong Kong Cricket Club L1,v,[BYE],,,,1,30/10/2025
JESSICA L1,v,Kowloon Cricket Club L1B,HK Squash Centre,19:00:00,"2-1(3-0,3-1,1-3)",2,06/11/2025
Hong Kong Cricket Club L1,v,Kowloon Cricket Club L1A,Hong Kong Cricket Club,19:00:00,"0-3(2-3,1-3,0-3)",2,06/11/2025
Hong Kong Football Club L1,v,[BYE],,,,2,06/11/2025
JESSICA L1,v,Hong Kong Cricket Club L1,HK Squash Centre,19:00:00,,3,20/11/2025
Hong Kong Football Club L1,v,Kowloon Cricket Club L1B,Hong Kong Football Club,19:00:00,,3,20/11/2025
Kowloon Cricket Club L1A,v,[BYE],,,,3,20/11/2025
Hong Kong Cricket Club L1,v,Hong Kong Football Club L1,Hong Kong Cricket Club,19:00:00,,4,11/12/2025
Kowloon Cricket Club L1A,v,JESSICA L1,Kowloon Cricket Club,19:00:00,,4,11/12/2025
Kowloon Cricket Club L1B,v,[BYE],,,,4,11/12/2025
Hong Kong Football Club L1,v,Kowloon Cricket Club L1A,Hong Kong Football Club,19:00:00,,5,18/12/2025
Kowloon Cricket Club L1B,v,Hong Kong Cricket Club L1,Kowloon Cricket Club,19:00:00,,5,18/12/2025
JESSICA L1,v,[BYE],,,,5,18/12/2025
Hong Kong Football Club L1,v,JESSICA L1,Hong Kong Football Club,19:00:00,,6,23/04/2026
Kowloon Cricket Club L1B,v,Kowloon Cricket Club L1A,Kowloon Cricket Club,19:00:00,,6,23/04/2026
Hong Kong Cricket Club L1,v,[BYE],,,,6,23/04/2026
Kowloon Cricket Club L1B,v,JESSICA L1,Kowloon Cricket Club,19:00:00,,7,30/04/2026
Kowloon Cricket Club L1A,v,Hong Kong Cricket Club L1,Kowloon Cricket Club,19:00:00,,7,30/04/2026
Hong Kong Football Club L1,v,[BYE],,,,7,30/04/2026
Hong Kong Cricket Club L1,v,JESSICA L1,Hong Kong Cricket Club,19:00:00,,8,07/05/2026
Kowloon Cricket Club L1B,v,Hong Kong Football Club L1,Kowloon Cricket Club,19:00:00,,8,07/05/2026
Kowloon Cricket Club L1A,v,[BYE],,,,8,07/05/2026
Hong Kong Football Club L1,v,Hong Kong Cricket Club L1,Hong Kong Football Club,19:00:00,,9,14/05/2026
JESSICA L1,v,Kowloon Cricket Club L1A,HK Squash Centre,19:00:00,,9,14/05/2026
Kowloon Cricket Club L1B,v,[BYE],,,,9,14/05/2026
Kowloon Cricket Club L1A,v,Hong Kong Football Club L1,Kowloon Cricket Club,19:00:00,,10,21/05/2026
Hong Kong Cricket Club L1,v,Kowloon Cricket Club L1B,Hong Kong Cricket Club,19:00:00,,10,21/05/2026
JESSICA L1,v,[BYE],,,,10,21/05/2026
