Home Team,vs,Away Team,Venue,Time,Result,Match Week,Date
X-Alpha 4,v,Smart Squash 1,Cornwall Street Squash Centre,19:00:00,"2-3(3-1,3-2,1-3,0-3,0-3)",1,03/10/2025
Fusion Squash Club 2,v,Happy Squash 3,HK Squash Centre,19:00:00,"2-3(3-1,3-2,0-3,CR,CR)",1,03/10/2025
TNG 1,v,Vitality Squash 1,Cornwall Street Squash Centre,19:00:00,"1-4(2-3,3-1,CR,CR,CR)",1,03/10/2025
Smart Squash 1,v,Vitality Squash 1,Cornwall Street Squash Centre,19:00:00,"5-0(3-0,3-0,3-0,3-0,3-0)",2,10/10/2025
Happy Squash 3,v,TNG 1,Wai Tsuen Sports Centre,19:00:00,"4-1(1-3,3-2,3-1,3-0,CR)",2,10/10/2025
X-Alpha 4,v,Fusion Squash Club 2,Cornwall Street Squash Centre,19:00:00,"5-0(CR,CR,CR,CR,CR)",2,10/10/2025
Fusion Squash Club 2,v,Smart Squash 1,HK Squash Centre,19:00:00,"0-5(0-3,2-3,0-3,0-3,1-3)",3,17/10/2025
TNG 1,v,X-Alpha 4,Cornwall Street Squash Centre,19:00:00,"3-2(3-1,1-3,3-1,0-3,CR)",3,17/10/2025
Vitality Squash 1,v,Happy Squash 3,HK Squash Centre,19:00:00,"3-2(3-0,3-0,0-3,3-0,1-3)",3,17/10/2025
Smart Squash 1,v,Happy Squash 3,Cornwall Street Squash Centre,19:00:00,"5-0(3-1,3-0,3-1,3-1,3-1)",4,24/10/2025
X-Alpha 4,v,Vitality Squash 1,Cornwall Street Squash Centre,19:00:00,"4-1(1-3,3-0,CR,CR,CR)",4,24/10/2025
Fusion Squash Club 2,v,TNG 1,HK Squash Centre,19:00:00,"0-5(CR,CR,CR,CR,CR)",4,24/10/2025
TNG 1,v,Smart Squash 1,Cornwall Street Squash Centre,19:00:00,"4-1(3-2,3-0,3-0,1-3,3-0)",5,31/10/2025
Vitality Squash 1,v,Fusion Squash Club 2,HK Squash Centre,19:00:00,"5-0(CR,CR,CR,CR,CR)",5,31/10/2025
Happy Squash 3,v,X-Alpha 4,Wai Tsuen Sports Centre,19:00:00,"2-3(1-3,0-3,3-0,1-3,3-0)",5,31/10/2025
Smart Squash 1,v,X-Alpha 4,Cornwall Street Squash Centre,19:00:00,"1-4(1-3,0-3,0-3,3-0,0-3)",6,07/11/2025
Happy Squash 3,v,Fusion Squash Club 2,Wai Tsuen Sports Centre,19:00:00,"5-0(CR,CR,CR,CR,CR)",6,07/11/2025
Vitality Squash 1,v,TNG 1,HK Squash Centre,19:00:00,"2-3(0-3,0-3,0-3,3-1,3-1)",6,07/11/2025
Vitality Squash 1,v,Smart Squash 1,HK Squash Centre,19:00:00,,7,14/11/2025
TNG 1,v,Happy Squash 3,Cornwall Street Squash Centre,19:00:00,,7,14/11/2025
Fusion Squash Club 2,v,X-Alpha 4,HK Squash Centre,19:00:00,,7,14/11/2025
Smart Squash 1,v,Fusion Squash Club 2,Cornwall Street Squash Centre,19:00:00,,8,21/11/2025
X-Alpha 4,v,TNG 1,Cornwall Street Squash Centre,19:00:00,,8,21/11/2025
Happy Squash 3,v,Vitality Squash 1,Wai Tsuen Sports Centre,19:00:00,,8,21/11/2025
Happy Squash 3,v,Smart Squash 1,Wai Tsuen Sports Centre,19:00:00,,9,28/11/2025
Vitality Squash 1,v,X-Alpha 4,Java Road Sports Centre,19:00:00,,9,28/11/2025
TNG 1,v,Fusion Squash Club 2,Cornwall Street Squash Centre,19:00:00,,9,28/11/2025
Smart Squash 1,v,TNG 1,Cornwall Street Squash Centre,19:00:00,,10,12/12/2025
Fusion Squash Club 2,v,Vitality Squash 1,HK Squash Centre,19:00:00,,10,12/12/2025
X-Alpha 4,v,Happy Squash 3,Cornwall Street Squash Centre,19:00:00,,10,12/12/2025
X-Alpha 4,v,Smart Squash 1,Pei Ho Street Sports Centre,19:00:00,,11,19/12/2025
Fusion Squash Club 2,v,Happy Squash 3,Cornwall Street Squash Centre,19:00:00,,11,19/12/2025
TNG 1,v,Vitality Squash 1,Cornwall Street Squash Centre,19:00:00,,11,19/12/2025
Smart Squash 1,v,Vitality Squash 1,Cornwall Street Squash Centre,19:00:00,,12,09/01/2026
Happy Squash 3,v,TNG 1,Wai Tsuen Sports Centre,19:00:00,,12,09/01/2026
X-Alpha 4,v,Fusion Squash Club 2,Pei Ho Street Sports Centre,19:00:00,,12,09/01/2026
Fusion Squash Club 2,v,Smart Squash 1,HK Squash Centre,19:00:00,,13,16/01/2026
TNG 1,v,X-Alpha 4,Cornwall Street Squash Centre,19:00:00,,13,16/01/2026
Vitality Squash 1,v,Happy Squash 3,HK Squash Centre,19:00:00,,13,16/01/2026
Smart Squash 1,v,Happy Squash 3,Cornwall Street Squash Centre,19:00:00,,14,23/01/2026
X-Alpha 4,v,Vitality Squash 1,Pei Ho Street Sports Centre,19:00:00,,14,23/01/2026
Fusion Squash Club 2,v,TNG 1,HK Squash Centre,19:00:00,,14,23/01/2026
TNG 1,v,Smart Squash 1,Cornwall Street Squash Centre,19:00:00,,15,30/01/2026
Vitality Squash 1,v,Fusion Squash Club 2,HK Squash Centre,19:00:00,,15,30/01/2026
