Home Team,vs,Away Team,Venue,Time,Result,Match Week,Date
HKIS Div 13,v,Bravo D13,Java Road Sports Centre,19:00:00,"4-1(0-3,3-0,3-0,3-0,CR)",1,03/10/2025
JSA 1,v,i-Mask Advance Squash Club 7,HK Squash Centre,19:00:00,"2-3(3-0,0-3,3-0,CR,CR)",1,03/10/2025
i-Mask Advance Squash Club 6,v,NEXUS 3,Java Road Sports Centre,19:00:00,"5-0(CR,CR,CR,CR,CR)",1,03/10/2025
Smart Squash 2,v,Smart Squash 3,Cornwall Street Squash Centre,19:00:00,"4-1(3-1,3-2,0-3,3-1,3-0)",1,03/10/2025
Vitality Squash 2,v,[BYE],,,,1,03/10/2025
Bravo D13,v,JSA 1,Yuen Long Jockey Club Squash Courts,19:00:00,"1-4(3-1,0-3,0-3,CR,CR)",2,10/10/2025
Smart Squash 2,v,Vitality Squash 2,Cornwall Street Squash Centre,19:00:00,"3-2(0-3,0-3,CR,CR,CR)",2,10/10/2025
HKIS Div 13,v,NEXUS 3,HK Squash Centre,19:00:00,"5-0(CR,CR,CR,CR,CR)",2,10/10/2025
i-Mask Advance Squash Club 6,v,i-Mask Advance Squash Club 7,HK Squash Centre,19:00:00,"4-1(1-3,3-0,3-0,3-0,3-0)",2,10/10/2025
Smart Squash 3,v,[BYE],,,,2,10/10/2025
i-Mask Advance Squash Club 6,v,Smart Squash 3,HK Squash Centre,19:00:00,"3-2(3-0,3-0,0-3,3-0,0-3)",3,17/10/2025
Vitality Squash 2,v,JSA 1,HK Squash Centre,19:00:00,"2-3(2-3,0-3,0-3,CR,CR)",3,17/10/2025
HKIS Div 13,v,Smart Squash 2,Harbour Road Sports Centre,19:00:00,"3-2(0-3,0-3,WO,WO,WO)",3,17/10/2025
NEXUS 3,v,i-Mask Advance Squash Club 7,Cornwall Street Squash Centre,19:00:00,"3-2(2-3,1-3,3-2,CR,CR)",3,17/10/2025
Bravo D13,v,[BYE],,,,3,17/10/2025
Smart Squash 3,v,i-Mask Advance Squash Club 7,Cornwall Street Squash Centre,19:00:00,"0-5(0-3,0-3,0-3,0-3,0-3)",4,24/10/2025
Smart Squash 2,v,Bravo D13,Cornwall Street Squash Centre,19:00:00,"2-3(0-3,0-3,0-3,CR,CR)",4,24/10/2025
i-Mask Advance Squash Club 6,v,HKIS Div 13,Java Road Sports Centre,19:00:00,"3-2(0-3,3-0,3-0,3-0,CR)",4,24/10/2025
Vitality Squash 2,v,NEXUS 3,HK Squash Centre,19:00:00,"1-4(1-3,3-0,CR,CR,CR)",4,24/10/2025
JSA 1,v,[BYE],,,,4,24/10/2025
Smart Squash 2,v,NEXUS 3,Cornwall Street Squash Centre,19:00:00,"5-0(CR,CR,CR,CR,CR)",5,31/10/2025
Vitality Squash 2,v,i-Mask Advance Squash Club 7,HK Squash Centre,19:00:00,"2-3(3-2,1-3,3-0,0-3,CR)",5,31/10/2025
JSA 1,v,i-Mask Advance Squash Club 6,HK Squash Centre,19:00:00,"2-3(3-0,3-1,0-3,2-3,CR)",5,31/10/2025
Bravo D13,v,Smart Squash 3,Yuen Long Jockey Club Squash Courts,19:00:00,"2-3(3-1,3-0,0-3,CR,CR)",5,31/10/2025
HKIS Div 13,v,[BYE],,,,5,31/10/2025
HKIS Div 13,v,Vitality Squash 2,HK Squash Centre,19:00:00,"2-3(2-3,0-3,3-0,0-3,WO)",6,07/11/2025
Smart Squash 2,v,i-Mask Advance Squash Club 6,Cornwall Street Squash Centre,19:00:00,"5-0(3-0,3-2,3-0,3-1,3-1)",6,07/11/2025
i-Mask Advance Squash Club 7,v,Bravo D13,Cornwall Street Squash Centre,19:00:00,"5-0(CR,CR,CR,CR,CR)",6,07/11/2025
JSA 1,v,Smart Squash 3,HK Squash Centre,19:00:00,"0-5(CR,CR,CR,CR,CR)",6,07/11/2025
NEXUS 3,v,[BYE],,,,6,07/11/2025
i-Mask Advance Squash Club 7,v,HKIS Div 13,Cornwall Street Squash Centre,19:00:00,"2-3(0-3,0-3,0-3,3-0,CR)",7,14/11/2025
JSA 1,v,NEXUS 3,HK Squash Centre,19:00:00,"3-2(0-3,0-3,CR,CR,CR)",7,14/11/2025
Smart Squash 3,v,Vitality Squash 2,Cornwall Street Squash Centre,19:00:00,,7,14/11/2025
Bravo D13,v,i-Mask Advance Squash Club 6,Yuen Long Jockey Club Squash Courts,19:00:00,"5-0(3-2,CR,CR,CR,CR)",7,14/11/2025
Smart Squash 2,v,[BYE],,,,7,14/11/2025
Vitality Squash 2,v,Bravo D13,HK Squash Centre,19:00:00,,8,21/11/2025
NEXUS 3,v,Smart Squash 3,Cornwall Street Squash Centre,19:00:00,,8,21/11/2025
HKIS Div 13,v,JSA 1,HK Squash Centre,19:00:00,,8,21/11/2025
Smart Squash 2,v,i-Mask Advance Squash Club 7,Cornwall Street Squash Centre,19:00:00,,8,21/11/2025
i-Mask Advance Squash Club 6,v,[BYE],,,,8,21/11/2025
JSA 1,v,Smart Squash 2,HK Squash Centre,19:00:00,,9,28/11/2025
Smart Squash 3,v,HKIS Div 13,Cornwall Street Squash Centre,19:00:00,,9,28/11/2025
NEXUS 3,v,Bravo D13,Cornwall Street Squash Centre,19:00:00,,9,28/11/2025
i-Mask Advance Squash Club 6,v,Vitality Squash 2,Java Road Sports Centre,19:00:00,,9,28/11/2025
i-Mask Advance Squash Club 7,v,[BYE],,,,9,28/11/2025
Bravo D13,v,HKIS Div 13,Yuen Long Jockey Club Squash Courts,19:00:00,,10,12/12/2025
i-Mask Advance Squash Club 7,v,JSA 1,Cornwall Street Squash Centre,19:00:00,,10,12/12/2025
NEXUS 3,v,i-Mask Advance Squash Club 6,Cornwall Street Squash Centre,19:00:00,,10,12/12/2025
Smart Squash 3,v,Smart Squash 2,Cornwall Street Squash Centre,19:00:00,,10,12/12/2025
Vitality Squash 2,v,[BYE],,,,10,12/12/2025
JSA 1,v,Bravo D13,Java Road Sports Centre,19:00:00,,11,19/12/2025
Vitality Squash 2,v,Smart Squash 2,Java Road Sports Centre,19:00:00,,11,19/12/2025
NEXUS 3,v,HKIS Div 13,Cornwall Street Squash Centre,19:00:00,,11,19/12/2025
i-Mask Advance Squash Club 7,v,i-Mask Advance Squash Club 6,Cornwall Street Squash Centre,19:00:00,,11,19/12/2025
Smart Squash 3,v,[BYE],,,,11,19/12/2025
Smart Squash 3,v,i-Mask Advance Squash Club 6,Cornwall Street Squash Centre,19:00:00,,12,09/01/2026
JSA 1,v,Vitality Squash 2,Harbour Road Sports Centre,19:00:00,,12,09/01/2026
Smart Squash 2,v,HKIS Div 13,Cornwall Street Squash Centre,19:00:00,,12,09/01/2026
i-Mask Advance Squash Club 7,v,NEXUS 3,Cornwall Street Squash Centre,19:00:00,,12,09/01/2026
Bravo D13,v,[BYE],,,,12,09/01/2026
i-Mask Advance Squash Club 7,v,Smart Squash 3,Cornwall Street Squash Centre,19:00:00,,13,16/01/2026
Bravo D13,v,Smart Squash 2,Yuen Long Jockey Club Squash Courts,19:00:00,,13,16/01/2026
HKIS Div 13,v,i-Mask Advance Squash Club 6,HK Squash Centre,19:00:00,,13,16/01/2026
NEXUS 3,v,Vitality Squash 2,Cornwall Street Squash Centre,19:00:00,,13,16/01/2026
JSA 1,v,[BYE],,,,13,16/01/2026
NEXUS 3,v,Smart Squash 2,Cornwall Street Squash Centre,19:00:00,,14,23/01/2026
i-Mask Advance Squash Club 7,v,Vitality Squash 2,Cornwall Street Squash Centre,19:00:00,,14,23/01/2026
i-Mask Advance Squash Club 6,v,JSA 1,HK Squash Centre,19:00:00,,14,23/01/2026
Smart Squash 3,v,Bravo D13,Cornwall Street Squash Centre,19:00:00,,14,23/01/2026
HKIS Div 13,v,[BYE],,,,14,23/01/2026
Vitality Squash 2,v,HKIS Div 13,HK Squash Centre,19:00:00,,15,30/01/2026
i-Mask Advance Squash Club 6,v,Smart Squash 2,HK Squash Centre,19:00:00,,15,30/01/2026
Bravo D13,v,i-Mask Advance Squash Club 7,Cornwall Street Squash Centre,19:00:00,,15,30/01/2026
Smart Squash 3,v,JSA 1,Cornwall Street Squash Centre,19:00:00,,15,30/01/2026
NEXUS 3,v,[BYE],,,,15,30/01/2026
HKIS Div 13,v,i-Mask Advance Squash Club 7,HK Squash Centre,19:00:00,,16,06/02/2026
NEXUS 3,v,JSA 1,Cornwall Street Squash Centre,19:00:00,,16,06/02/2026
Vitality Squash 2,v,Smart Squash 3,HK Squash Centre,19:00:00,,16,06/02/2026
