Home Team,vs,Away Team,Venue,Time,Result,Match Week,Date
WAKO,v,Kowloon Cricket Club M4,Masters - Harbour Road Sports Centre,19:00:00,"3-2(1-3,0-3,3-0,3-0,3-0)",1,02/10/2025
Hong Kong Cricket Club M4,v,Hong Kong Club Blue,Hong Kong Cricket Club,19:00:00,"2-3(3-0,2-3,0-3,3-1,0-3)",1,02/10/2025
Royal Hong Kong Yacht Club M4,v,United Services Recreation Club M4,Royal Hong Kong Yacht Club,19:00:00,"3-2(0-3,3-0,0-3,3-0,3-1)",1,02/10/2025
Bolton,v,SKCSC M4,Masters - HK Squash Centre,19:00:00,"0-5(0-3,1-3,0-3,0-3,2-3)",1,02/10/2025
Hong Kong Football Club M4A,v,Hong Kong Football Club M4B,Hong Kong Football Club,19:00:00,"4-1(3-0,3-0,3-0,3-1,0-3)",1,02/10/2025
Kowloon Cricket Club M4,v,SKCSC M4,Kowloon Cricket Club,19:00:00,"2-3(0-3,3-1,3-1,0-3,0-3)",2,09/10/2025
Bolton,v,Royal Hong Kong Yacht Club M4,Masters - HK Squash Centre,19:00:00,"2-3(3-1,0-3,0-3,3-1,0-3)",2,09/10/2025
Hong Kong Football Club M4B,v,United Services Recreation Club M4,Hong Kong Football Club,19:00:00,"3-2(3-2,3-0,3-0,0-3,0-3)",2,09/10/2025
Hong Kong Cricket Club M4,v,Hong Kong Football Club M4A,Hong Kong Cricket Club,19:00:00,"0-5(0-3,0-3,0-3,1-3,2-3)",2,09/10/2025
Hong Kong Club Blue,v,WAKO,The Hong Kong Club,19:00:00,"3-2(2-3,0-3,3-0,3-0,3-0)",2,09/10/2025
Hong Kong Club Blue,v,Kowloon Cricket Club M4,The Hong Kong Club,19:00:00,"2-3(1-3,0-3,1-3,3-0,3-0)",3,16/10/2025
Hong Kong Football Club M4A,v,WAKO,Hong Kong Football Club,19:00:00,"2-3(0-3,3-0,3-0,2-3,0-3)",3,16/10/2025
United Services Recreation Club M4,v,Hong Kong Cricket Club M4,United Services Recreation Club,19:00:00,"2-3(1-3,1-3,0-3,3-1,3-1)",3,16/10/2025
Bolton,v,Hong Kong Football Club M4B,Masters - Harbour Road Sports Centre,19:00:00,"3-2(3-0,3-1,0-3,2-3,3-1)",3,16/10/2025
Royal Hong Kong Yacht Club M4,v,SKCSC M4,Royal Hong Kong Yacht Club,19:00:00,"2-3(0-3,3-2,0-3,1-3,3-0)",3,16/10/2025
Royal Hong Kong Yacht Club M4,v,Kowloon Cricket Club M4,Royal Hong Kong Yacht Club,19:00:00,"1-4(3-1,1-3,0-3,0-3,1-3)",4,23/10/2025
Hong Kong Football Club M4B,v,SKCSC M4,Hong Kong Football Club,19:00:00,"4-1(3-0,3-0,3-0,3-1,0-3)",4,23/10/2025
Bolton,v,Hong Kong Cricket Club M4,Masters - HK Squash Centre,19:00:00,"2-3(3-2,1-3,0-3,0-3,3-1)",4,23/10/2025
