Team,Rubber 1 Win %,Rubber 2 Win %,Rubber 3 Win %,Rubber 4 Win %,Rubber 5 Win %,avg_win_perc,Total Rubbers
i-Mask Advance Squash Club 5,100.0,100.0,100.0,100.0,100.0,100.0,5
The Zero Squash Club D11,50.0,100.0,100.0,0.0,100.0,70.0,10
Electrify Squash Div 11,50.0,50.0,75.0,50.0,75.0,60.0,20
7NT,50.0,50.0,50.0,100.0,50.0,60.0,10
Alpha CUHK,0.0,100.0,100.0,100.0,0.0,60.0,4
Sea Bear,50.0,50.0,50.0,0.0,100.0,50.0,10
South China Athletic Association,60.0,60.0,40.0,0.0,40.0,40.0,25
Invader Squash,0.0,25.0,0.0,25.0,75.0,25.0,20
ZOMA,0.0,50.0,50.0,0.0,0.0,20.0,10
Tuen Mun Squash Club,0.0,0.0,0.0,0.0,100.0,20.0,5
GMDBB,100.0,0.0,0.0,0.0,0.0,20.0,5
