Team,Rubber 1 Win %,Rubber 2 Win %,Rubber 3 Win %,Rubber 4 Win %,Rubber 5 Win %,avg_win_perc,Total Rubbers
Hong Kong Football Club M4A,75.0,100.0,100.0,50.0,50.0,75.0,20
WAKO,100.0,50.0,33.33333333333333,83.33333333333334,50.0,63.33333333333333,30
Hong Kong Cricket Club M4,83.33333333333334,66.66666666666666,66.66666666666666,33.33333333333333,50.0,60.0,30
Hong Kong Football Club M4B,33.33333333333333,66.66666666666666,83.33333333333334,66.66666666666666,16.666666666666664,53.33333333333333,30
Kowloon Cricket Club M4,42.857142857142854,71.42857142857143,71.42857142857143,42.857142857142854,28.57142857142857,51.42857142857143,35
SKCSC M4,83.33333333333334,16.666666666666664,33.33333333333333,33.33333333333333,50.0,43.33333333333333,30
United Services Recreation Club M4,40.0,0.0,40.0,40.0,20.0,28.0,25
Bolton,40.0,20.0,0.0,25.0,25.0,22.0,23
Hong Kong Club Blue,16.666666666666664,16.666666666666664,16.666666666666664,16.666666666666664,33.33333333333333,19.999999999999996,30
Royal Hong Kong Yacht Club M4,0.0,0.0,0.0,0.0,0.0,0.0,10
