Team,Rubber 1 Win %,Rubber 2 Win %,Rubber 3 Win %,Rubber 4 Win %,Rubber 5 Win %,avg_win_perc
SKCSC M4,16.666666666666657,83.33333333333334,50.000000000000014,66.66666666666667,33.33333333333334,50.000000000000014
United Services Recreation Club M4,7.142857142857139,57.14285714285714,23.80952380952381,52.38095238095238,80.0,44.09523809523809
Royal Hong Kong Yacht Club M4,22.22222222222222,33.33333333333333,22.22222222222222,11.11111111111111,33.33333333333333,24.444444444444443
Hong Kong Club Blue,2.3809523809523796,2.3809523809523796,35.714285714285715,52.38095238095237,23.809523809523803,23.33333333333333
Bolton,66.66666666666667,16.66666666666667,0.0,-20.0,30.0,18.666666666666668
Hong Kong Football Club M4B,21.42857142857143,42.85714285714286,3.5714285714285694,9.523809523809518,4.761904761904759,16.428571428571416
Kowloon Cricket Club M4,-9.523809523809526,11.904761904761912,-4.761904761904773,23.809523809523803,21.42857142857143,8.57142857142857
WAKO,-50.0,0.0,33.33333333333333,0.0,50.0,6.666666666666671
Hong Kong Football Club M4A,-25.0,-16.666666666666657,-33.33333333333334,16.666666666666657,16.666666666666657,-8.333333333333343
Hong Kong Cricket Club M4,-33.33333333333334,-33.33333333333333,0.0,16.66666666666667,0.0,-10.0
