Team,Rubber 1 Win %,Rubber 2 Win %,Rubber 3 Win %,Rubber 4 Win %,Rubber 5 Win %,avg_win_perc
YLJR,-20.0,40.0,40.0,0.0,6.666666666666657,13.333333333333329
TNGX,15.0,-25.0,40.0,20.0,10.0,12.0
Hong Kong Cricket Club D4A,-2.3809523809523796,28.57142857142857,-4.761904761904759,16.666666666666664,20.0,11.619047619047617
The Squash Club 1,20.0,-20.0,0.0,25.0,25.0,10.0
Hong Kong Cricket Club D4B,0.0,0.0,12.5,10.714285714285715,14.285714285714285,7.5000000000000036
Hong Kong Football Club 4A,-25.0,25.0,-12.5,0.0,42.5,6.0
Kowloon Cricket Club 4,-16.666666666666657,-13.888888888888886,-4.166666666666657,12.5,0.0,-4.444444444444429
Sha Tin 1,0.0,20.0,-20.0,-20.0,-15.0,-7.0
Hong Kong Football Club 4B,8.92857142857143,-5.357142857142854,-3.5714285714285694,-7.142857142857139,-37.142857142857146,-8.857142857142854
X-Alpha 2,-40.0,-20.0,-40.0,-40.0,16.666666666666657,-24.66666666666667
