Team,Rubber 1 Win %,Rubber 2 Win %,Rubber 3 Win %,Rubber 4 Win %,Rubber 5 Win %,avg_win_perc,Total Rubbers
Kowloon Cricket Club 6B,50.0,75.0,100.0,100.0,75.0,80.0,20
Hong Kong Football Club 6A,50.0,66.66666666666666,66.66666666666666,100.0,100.0,76.66666666666666,15
Kowloon Cricket Club 6A,100.0,50.0,50.0,33.33333333333333,100.0,66.66666666666666,29
Uncles,50.0,66.66666666666666,50.0,50.0,66.66666666666666,56.666666666666664,30
Hong Kong Football Club 6B,40.0,40.0,60.0,60.0,40.0,48.0,25
Electrify Squash Div 6,0.0,50.0,50.0,66.66666666666666,66.66666666666666,46.666666666666664,17
Fusion Squash Club 1,50.0,50.0,66.66666666666666,66.66666666666666,0.0,46.666666666666664,16
Ladies Recreation Club Div 6,37.5,62.5,28.57142857142857,42.857142857142854,50.0,44.285714285714285,36
Global Squash 1,20.0,60.0,80.0,20.0,40.0,44.0,25
Hong Kong Football Club 6C,75.0,25.0,50.0,25.0,33.33333333333333,41.666666666666664,19
Hong Kong Cricket Club D6,33.33333333333333,20.0,0.0,80.0,60.0,38.666666666666664,26
X-Alpha 3,57.14285714285714,28.57142857142857,14.285714285714285,28.57142857142857,28.57142857142857,31.428571428571423,35
