Team,Rubber 1 Win %,Rubber 2 Win %,Rubber 3 Win %,Rubber 4 Win %,Rubber 5 Win %,avg_win_perc,Total Rubbers
SKCSC M4,100.0,100.0,100.0,100.0,100.0,100.0,5
Hong Kong Football Club M4B,66.66666666666666,100.0,66.66666666666666,66.66666666666666,33.33333333333333,66.66666666666666,15
WAKO,33.33333333333333,33.33333333333333,66.66666666666666,66.66666666666666,100.0,60.0,15
Hong Kong Club Blue,25.0,25.0,50.0,100.0,100.0,60.0,20
Hong Kong Football Club M4A,25.0,100.0,50.0,50.0,75.0,60.0,20
United Services Recreation Club M4,40.0,40.0,40.0,80.0,100.0,60.0,25
Bolton,100.0,100.0,0.0,0.0,100.0,60.0,5
Kowloon Cricket Club M4,33.33333333333333,66.66666666666666,33.33333333333333,66.66666666666666,33.33333333333333,46.666666666666664,15
Royal Hong Kong Yacht Club M4,28.57142857142857,42.857142857142854,14.285714285714285,14.285714285714285,42.857142857142854,28.571428571428566,35
Hong Kong Cricket Club M4,33.33333333333333,0.0,33.33333333333333,66.66666666666666,0.0,26.666666666666664,15
