Team,Rubber 1 Win %,Rubber 2 Win %,Rubber 3 Win %,Rubber 4 Win %,Rubber 5 Win %,avg_win_perc,Total Rubbers
Physical Chess 2,40.0,80.0,100.0,80.0,50.0,70.0,24
Hong Kong Football Club 7B,60.0,80.0,80.0,60.0,25.0,61.0,24
Hong Kong Football Club 7A,50.0,50.0,66.66666666666666,66.66666666666666,66.66666666666666,60.0,30
UST,80.0,100.0,20.0,20.0,50.0,54.0,24
Thunder 1,66.66666666666666,66.66666666666666,83.33333333333334,50.0,0.0,53.33333333333333,27
Hong Kong Cricket Club D7A,80.0,20.0,80.0,60.0,0.0,48.0,24
Hong Kong Cricket Club D7B,0.0,50.0,50.0,66.66666666666666,60.0,45.33333333333333,29
i-Mask Advance Squash Club 1,66.66666666666666,66.66666666666666,16.666666666666664,33.33333333333333,40.0,44.666666666666664,29
Social Squash Team,20.0,0.0,40.0,40.0,100.0,40.0,24
Xavier,80.0,40.0,20.0,60.0,0.0,40.0,20
Kinetic 1,16.666666666666664,0.0,0.0,16.666666666666664,80.0,22.666666666666664,29
