Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
Physical Chess 4,18,17,1,89,72,18,0,0,0,0
United Services Recreation Club 3,18,14,4,77,63,27,0,0,0,0
Hong Kong Cricket Club Rockers,18,13,5,71,58,32,0,0,0,0
7NT,18,12,6,67,55,35,0,1,0,0
Tuen Mun Squash Club,18,11,7,59,48,42,0,0,0,0
Hong Kong Football Club 15,18,11,7,58,47,43,0,0,0,0
SKCSC,18,9,9,53,44,46,0,0,0,0
TNG 2,18,7,11,42,35,55,0,0,0,3
South China Athletic Association,18,6,12,39,33,57,1,0,0,1
Sha Tin Squash Rackets Club 5,18,4,14,37,33,57,0,0,0,0
The Squash Club 2,18,4,14,29,29,61,0,0,4,0
Invader Squash,18,0,18,23,23,67,0,0,0,0
