Team Name,Home,Average Home Score,Average Away Score,home_away_diff
Hong Kong Cricket Club 8,Hong Kong Cricket Club,2.7777777777777777,1.0,1.7777777777777777
Hong Kong Football Club 18,Hong Kong Football Club,3.3333333333333335,2.375,0.9583333333333335
Sha Tin Squash Rackets Club 7,Cornwall Street Squash Centre,4.166666666666667,3.375,0.791666666666667
Kowloon Cricket Club 18,Kowloon Cricket Club,3.0,2.3333333333333335,0.6666666666666665
Sky Fighter,HK Squash Centre,2.142857142857143,1.7142857142857142,0.4285714285714286
Ladies Recreation Club Div 18,Ladies Recreation Club,3.4285714285714284,3.0,0.4285714285714284
Elite Team,HK Squash Centre,1.1428571428571428,1.1428571428571428,0.0
Electrify Squash Div 18,HK Squash Centre,4.0,4.142857142857143,-0.14285714285714324
North District Sports Association 3,Cornwall Street Squash Centre,3.0,3.1666666666666665,-0.16666666666666652
Vitality Squash 3,HK Squash Centre,1.3333333333333333,1.875,-0.5416666666666667
Physical Chess 5,HK Squash Centre,2.0,2.875,-0.875
Fusion Squash Club 3,HK Squash Centre,0.42857142857142855,1.7142857142857142,-1.2857142857142856
