Home Team,Away Team,Venue,Match Week,Date,Overall Score,Rubbers,Home Score,Away Score,Home Games Won,Away Games Won
The Zero Squash Club 3,Kinetic 4,Cornwall Street (CSPSC),1,07/10/2016,4-1,"['1-3', '3-0', '3-1', '3-0', '3-0']",4,1,13,4
Yuen Long Jr 2,Police 2,Kwun Chung (KCSC),1,07/10/2016,5-0,"['3-0', '3-0', '3-2', '3-0', '3-0']",5,0,15,2
Friend Club 6,Phresh 3,Cornwall Street (CSPSC),1,07/10/2016,1-4,"['0-3', '1-3', '3-0', '0-3', 'WO']",1,4,4,12
Kinetic 4,Yuen Long Jr 2,Yuen Long Jockey Club (YLJCSC),2,14/10/2016,1-4,"['0-3', '0-3', '3-2', '2-3', '1-3']",1,4,6,14
i-MASK Advance Squash Club 9,The Zero Squash Club 3,Cornwall Street (CSPSC),2,14/10/2016,1-4,"['1-3', '0-3', '0-3', '3-1', '1-3']",1,4,5,13
Police 2,Friend Club 6,Police Sports & Recreation Club (PSRC),2,14/10/2016,4-1,"['3-0', '3-2', '2-3', '3-2', '3-2']",4,1,14,9
i-MASK Advance Squash Club 9,Friend Club 6,Cornwall Street (CSPSC),3,28/10/2016,2-3,"['2-3', '1-3', '3-0', '0-3', '3-1']",2,3,9,10
Kinetic 4,Phresh 3,Yuen Long Jockey Club (YLJCSC),3,28/10/2016,3-2,"['3-0', '2-3', '3-0', '0-3', '3-1']",3,2,11,7
The Zero Squash Club 3,Yuen Long Jr 2,Cornwall Street (CSPSC),3,28/10/2016,2-3,"['0-3', '2-3', '0-3', '3-1', '3-0']",2,3,8,10
Phresh 3,i-MASK Advance Squash Club 9,Pei Ho Street (PHSSC),4,04/11/2016,5-0,"['3-0', '3-0', '3-0', '3-0', '3-0']",5,0,15,0
Police 2,Kinetic 4,Police Sports & Recreation Club (PSRC),4,04/11/2016,3-2,"['3-2', '3-2', '2-3', '3-2', '0-3']",3,2,11,12
Friend Club 6,The Zero Squash Club 3,Cornwall Street (CSPSC),4,04/11/2016,1-4,"['0-3', '3-1', '0-3', '0-3', '0-3']",1,4,3,13
i-MASK Advance Squash Club 9,Police 2,Cornwall Street (CSPSC),5,11/11/2016,2-3,"['2-3', '0-3', '2-3', '3-2', '3-2']",2,3,10,13
Yuen Long Jr 2,Friend Club 6,Kwun Chung (KCSC),5,11/11/2016,5-0,"['3-0', '3-0', '3-0', 'WO', 'WO']",5,0,15,0
The Zero Squash Club 3,Phresh 3,Cornwall Street (CSPSC),5,11/11/2016,2-3,"['1-3', '2-3', '3-1', '3-0', '0-3']",2,3,9,10
i-MASK Advance Squash Club 9,Kinetic 4,Cornwall Street (CSPSC),6,18/11/2016,3-2,"['0-3', '3-2', '3-0', '3-0', '2-3']",3,2,11,8
Police 2,The Zero Squash Club 3,Police Sports & Recreation Club (PSRC),6,18/11/2016,1-4,"['3-1', '1-3', '0-3', '0-3', '0-3']",1,4,4,13
Phresh 3,Yuen Long Jr 2,Pei Ho Street (PHSSC),6,18/11/2016,1-4,"['1-3', '0-3', '1-3', '3-0', '1-3']",1,4,6,12
Police 2,Yuen Long Jr 2,Police Sports & Recreation Club (PSRC),7,25/11/2016,0-5,"['2-3', '0-3', '0-3', '0-3', '0-3']",0,5,2,15
The Zero Squash Club 3,Kinetic 4,Cornwall Street (CSPSC),7,25/11/2016,4-1,"['3-0', '3-0', '3-0', '2-3', '3-1']",4,1,14,4
Phresh 3,Friend Club 6,Pei Ho Street (PHSSC),7,25/11/2016,2-3,"['3-2', '0-3', '2-3', '0-3', 'WO']",2,3,5,14
