Home Team,Away Team,Venue,Match Week,Date,Overall Score,Rubbers,Home Score,Away Score,Home Games Won,Away Games Won
Sovereign Group LRC Master 3,Alpha CUHK Master,Ladies Recreation Club (LRC),1,06/10/2016,4-1,"['3-0', '3-2', '3-2', '2-3', '3-0']",4,1,14,7
Hong Kong Cricket Club M3,American Club,Hong Kong Cricket Club (HKCC),1,06/10/2016,1-4,"['3-1', '1-3', '0-3', '0-3', '0-3']",1,4,4,13
Hong Kong Football Club M3A,Hong Kong Football Club M3B,Hong Kong Football Club (HKFC),1,06/10/2016,4-1,"['3-1', '3-1', '3-1', '3-2', '0-3']",4,1,12,8
The Hong Kong Jockey Club Master 3,Perrier KCC M3,HKJC Sha Tin Club House (HKJC),1,06/10/2016,5-0,"['3-2', '3-1', '3-1', '3-0', '3-0']",5,0,15,4
American Club,Hong Kong Football Club M3A,American Club,2,20/10/2016,1-4,"['0-3', '3-2', '0-3', '0-3', '0-3']",1,4,3,14
Alpha CUHK Master,The Hong Kong Jockey Club Master 3,Chinese University of HK (CUHK),2,20/10/2016,2-3,"['3-1', '2-3', '2-3', '3-0', '0-3']",2,3,10,10
Perrier KCC M3,Hong Kong Cricket Club M3,Kowloon Cricket Club (KCC),2,20/10/2016,2-3,"['3-0', '0-3', '2-3', '1-3', '3-0']",2,3,9,9
Hong Kong Football Club M3B,Sovereign Group LRC Master 3,Hong Kong Football Club (HKFC),2,20/10/2016,1-4,"['1-3', '2-3', '2-3', '0-3', '3-0']",1,4,8,12
Hong Kong Football Club M3A,Perrier KCC M3,Hong Kong Football Club (HKFC),3,27/10/2016,2-3,"['1-3', '0-3', '3-2', '3-0', '2-3']",2,3,9,11
American Club,Hong Kong Football Club M3B,American Club,3,27/10/2016,4-1,"['3-2', '3-1', '3-2', '3-2', '1-3']",4,1,13,10
Sovereign Group LRC Master 3,The Hong Kong Jockey Club Master 3,Ladies Recreation Club (LRC),3,27/10/2016,0-5,"['0-3', '1-3', '1-3', '2-3', '0-3']",0,5,4,15
Hong Kong Cricket Club M3,Alpha CUHK Master,Hong Kong Cricket Club (HKCC),3,27/10/2016,3-2,"['0-3', '3-0', '3-1', '0-3', '3-0']",3,2,9,7
American Club,Sovereign Group LRC Master 3,American Club,4,03/11/2016,4-1,"['3-2', '3-0', '2-3', '3-0', '3-0']",4,1,14,5
Perrier KCC M3,Hong Kong Football Club M3B,Kowloon Cricket Club (KCC),4,03/11/2016,2-3,"['3-1', '0-3', '2-3', '3-1', '1-3']",2,3,9,11
The Hong Kong Jockey Club Master 3,Hong Kong Cricket Club M3,HKJC Sha Tin Club House (HKJC),4,03/11/2016,5-0,"['3-1', '3-2', '3-0', '3-0', '3-0']",5,0,15,3
Alpha CUHK Master,Hong Kong Football Club M3A,Chinese University of HK (CUHK),4,03/11/2016,2-3,"['3-1', '0-3', '3-0', '2-3', '1-3']",2,3,9,10
The Hong Kong Jockey Club Master 3,Hong Kong Football Club M3A,HKJC Sha Tin Club House (HKJC),5,10/11/2016,2-3,"['3-2', '1-3', '3-1', '2-3', '2-3']",2,3,11,12
Sovereign Group LRC Master 3,Hong Kong Cricket Club M3,Ladies Recreation Club (LRC),5,10/11/2016,5-0,"['3-0', '3-1', '3-0', '3-0', '3-1']",5,0,15,2
American Club,Perrier KCC M3,American Club,5,10/11/2016,0-5,"['0-3', '1-3', '0-3', '0-3', '0-3']",0,5,1,15
Hong Kong Football Club M3B,Alpha CUHK Master,Hong Kong Football Club (HKFC),5,10/11/2016,4-1,"['0-3', '3-0', '3-1', '3-2', '3-0']",4,1,12,6
Hong Kong Football Club M3A,Hong Kong Cricket Club M3,Hong Kong Football Club (HKFC),6,17/11/2016,5-0,"['3-2', '3-1', '3-1', '3-0', 'WO']",5,0,15,4
The Hong Kong Jockey Club Master 3,Hong Kong Football Club M3B,HKJC Sha Tin Club House (HKJC),6,17/11/2016,4-1,"['3-0', '3-0', '2-3', '3-0', '3-0']",4,1,14,3
Alpha CUHK Master,American Club,Chinese University of HK (CUHK),6,17/11/2016,4-1,"['3-0', '0-3', '3-0', '3-1', '3-1']",4,1,12,5
Perrier KCC M3,Sovereign Group LRC Master 3,Kowloon Cricket Club (KCC),6,17/11/2016,3-2,"['3-0', '3-2', '1-3', '3-0', '1-3']",3,2,11,8
Sovereign Group LRC Master 3,Hong Kong Football Club M3A,Ladies Recreation Club (LRC),7,24/11/2016,3-2,"['0-3', '2-3', '3-1', '3-1', '3-1']",3,2,11,9
American Club,The Hong Kong Jockey Club Master 3,American Club,7,24/11/2016,1-4,"['0-3', '3-2', '2-3', '1-3', '0-3']",1,4,6,14
Hong Kong Cricket Club M3,Hong Kong Football Club M3B,Hong Kong Cricket Club (HKCC),7,24/11/2016,1-4,"['0-3', '0-3', '2-3', '3-0', '1-3']",1,4,6,12
Perrier KCC M3,Alpha CUHK Master,Kowloon Cricket Club (KCC),7,24/11/2016,4-1,"['3-0', '3-0', '3-0', '1-3', '3-1']",4,1,13,4
Alpha CUHK Master,Sovereign Group LRC Master 3,Chinese University of HK (CUHK),8,01/12/2016,2-3,"['3-0', '0-3', '1-3', '0-3', '3-0']",2,3,7,9
American Club,Hong Kong Cricket Club M3,American Club,8,01/12/2016,3-2,"['1-3', '3-2', '3-0', '3-1', '2-3']",3,2,12,9
Perrier KCC M3,The Hong Kong Jockey Club Master 3,Kowloon Cricket Club (KCC),8,01/12/2016,3-2,"['3-0', '3-1', '2-3', '3-0', '0-3']",3,2,11,7
Hong Kong Football Club M3B,Hong Kong Football Club M3A,Hong Kong Football Club (HKFC),8,01/12/2016,0-5,"['0-3', '1-3', '1-3', '0-3', '2-3']",0,5,4,15
Hong Kong Football Club M3A,American Club,Hong Kong Football Club (HKFC),9,08/12/2016,2-3,"['3-1', '2-3', '1-3', '3-0', '1-3']",2,3,10,10
Sovereign Group LRC Master 3,Hong Kong Football Club M3B,Ladies Recreation Club (LRC),9,08/12/2016,2-3,"['1-3', '3-0', '2-3', '3-0', '0-3']",2,3,9,9
Hong Kong Cricket Club M3,Perrier KCC M3,Hong Kong Cricket Club (HKCC),9,08/12/2016,1-4,"['1-3', '0-3', '0-3', '3-0', '1-3']",1,4,5,12
The Hong Kong Jockey Club Master 3,Alpha CUHK Master,HKJC Sha Tin Club House (HKJC),9,08/12/2016,4-1,"['2-3', '3-0', '3-1', '3-0', '3-0']",4,1,14,4
The Hong Kong Jockey Club Master 3,Sovereign Group LRC Master 3,HKJC Sha Tin Club House (HKJC),10,15/12/2016,5-0,"['3-0', '3-0', '3-0', '3-0', '3-2']",5,0,15,2
Alpha CUHK Master,Hong Kong Cricket Club M3,Chinese University of HK (CUHK),10,15/12/2016,2-3,"['3-0', '1-3', '3-1', '0-3', '0-3']",2,3,7,10
Perrier KCC M3,Hong Kong Football Club M3A,Kowloon Cricket Club (KCC),10,15/12/2016,3-2,"['0-3', '3-2', '3-0', '3-2', '0-3']",3,2,9,10
Hong Kong Football Club M3B,American Club,Hong Kong Football Club (HKFC),10,15/12/2016,4-1,"['3-1', '1-3', '3-1', '3-0', '3-2']",4,1,13,7
Hong Kong Football Club M3B,Perrier KCC M3,Hong Kong Football Club (HKFC),11,05/01/2017,1-4,"['0-3', '0-3', '0-3', '0-3', '3-1']",1,4,3,13
Alpha CUHK Master,Hong Kong Football Club M3A,Chinese University of HK (CUHK),11,05/01/2017,2-3,"['3-0', '0-3', '3-2', '1-3', '0-3']",2,3,7,11
Sovereign Group LRC Master 3,American Club,Ladies Recreation Club (LRC),11,05/01/2017,3-2,"['3-1', '1-3', '0-3', '3-1', '3-0']",3,2,10,8
Hong Kong Cricket Club M3,The Hong Kong Jockey Club Master 3,Hong Kong Cricket Club (HKCC),11,05/01/2017,2-3,"['3-0', '3-2', '2-3', '0-3', '1-3']",2,3,9,11
Hong Kong Football Club M3B,Alpha CUHK Master,Hong Kong Football Club (HKFC),12,12/01/2017,2-3,"['0-3', '3-0', '2-3', '0-3', '3-0']",2,3,8,9
The Hong Kong Jockey Club Master 3,Hong Kong Football Club M3A,HKJC Sha Tin Club House (HKJC),12,12/01/2017,3-2,"['3-0', '0-3', '3-0', '3-0', '2-3']",3,2,11,6
Hong Kong Cricket Club M3,Sovereign Group LRC Master 3,Hong Kong Cricket Club (HKCC),12,12/01/2017,0-5,"['2-3', '1-3', '2-3', '0-3', '0-3']",0,5,5,15
Perrier KCC M3,American Club,Kowloon Cricket Club (KCC),12,12/01/2017,5-0,"['3-0', '3-0', '3-1', '3-0', '3-1']",5,0,15,2
The Hong Kong Jockey Club Master 3,Hong Kong Football Club M3B,HKJC Sha Tin Club House (HKJC),13,19/01/2017,4-1,"['3-0', '3-1', '0-3', '3-1', '3-1']",4,1,12,6
American Club,Alpha CUHK Master,American Club,13,19/01/2017,4-1,"['0-3', '3-0', '3-0', '3-2', '3-0']",4,1,12,5
Hong Kong Cricket Club M3,Hong Kong Football Club M3A,Hong Kong Cricket Club (HKCC),13,19/01/2017,0-5,"['0-3', '2-3', '0-3', '0-3', '0-3']",0,5,2,15
Sovereign Group LRC Master 3,Perrier KCC M3,Ladies Recreation Club (LRC),13,19/01/2017,3-2,"['3-1', '2-3', '3-2', '3-0', '0-3']",3,2,11,9
The Hong Kong Jockey Club Master 3,American Club,HKJC Sha Tin Club House (HKJC),14,09/02/2017,5-0,"['3-2', '3-1', '3-0', '3-0', '3-1']",5,0,15,4
Hong Kong Football Club M3A,Sovereign Group LRC Master 3,Hong Kong Football Club (HKFC),14,09/02/2017,3-2,"['3-1', '3-1', '1-3', '3-0', '1-3']",3,2,11,8
Hong Kong Cricket Club M3,Hong Kong Football Club M3B,Hong Kong Cricket Club (HKCC),14,09/02/2017,4-1,"['1-3', '3-2', '3-1', '3-2', '3-1']",4,1,13,9
Alpha CUHK Master,Perrier KCC M3,Chinese University of HK (CUHK),14,09/02/2017,1-4,"['1-3', '0-3', '0-3', '0-3', '3-0']",1,4,4,12
Hong Kong Football Club M3A,Hong Kong Football Club M3B,Hong Kong Football Club (HKFC),15,16/02/2017,5-0,"['3-0', '3-1', '3-0', '3-0', '3-2']",5,0,15,3
The Hong Kong Jockey Club Master 3,Perrier KCC M3,HKJC Sha Tin Club House (HKJC),15,16/02/2017,3-2,"['1-3', '3-0', '3-1', '0-3', '3-0']",3,2,10,7
Sovereign Group LRC Master 3,Alpha CUHK Master,Ladies Recreation Club (LRC),15,16/02/2017,3-2,"['0-3', '3-0', '3-0', '1-3', '3-0']",3,2,10,6
Hong Kong Cricket Club M3,American Club,Hong Kong Cricket Club (HKCC),15,16/02/2017,0-5,"['0-3', '0-3', '0-3', '0-3', '0-3']",0,5,0,15
American Club,Hong Kong Football Club M3A,American Club,16,23/02/2017,0-5,"['0-3', '0-3', '0-3', '0-3', '0-3']",0,5,0,15
Alpha CUHK Master,The Hong Kong Jockey Club Master 3,Chinese University of HK (CUHK),16,23/02/2017,1-4,"['3-1', '2-3', '2-3', '2-3', '2-3']",1,4,11,13
Perrier KCC M3,Hong Kong Cricket Club M3,Kowloon Cricket Club (KCC),16,23/02/2017,5-0,"['3-0', '3-0', '3-0', '3-1', '3-0']",5,0,15,1
Hong Kong Football Club M3B,Sovereign Group LRC Master 3,Hong Kong Football Club (HKFC),16,23/02/2017,2-3,"['0-3', '3-1', '0-3', '0-3', '3-1']",2,3,6,11
Sovereign Group LRC Master 3,The Hong Kong Jockey Club Master 3,Ladies Recreation Club (LRC),17,02/03/2017,3-2,"['3-0', '0-3', '3-0', '0-3', '3-1']",3,2,9,7
Hong Kong Football Club M3A,Perrier KCC M3,Hong Kong Football Club (HKFC),17,02/03/2017,2-3,"['1-3', '2-3', '3-0', '1-3', '3-0']",2,3,10,9
Hong Kong Cricket Club M3,Alpha CUHK Master,Hong Kong Cricket Club (HKCC),17,02/03/2017,4-1,"['3-1', '3-0', '3-0', '1-3', '3-0']",4,1,13,4
American Club,Hong Kong Football Club M3B,American Club,17,02/03/2017,3-2,"['2-3', '3-0', '3-0', '3-1', '1-3']",3,2,12,7
Perrier KCC M3,Hong Kong Football Club M3B,Kowloon Cricket Club (KCC),18,09/03/2017,4-1,"['3-0', '3-2', '3-0', '3-0', '0-3']",4,1,12,5
American Club,Sovereign Group LRC Master 3,American Club,18,09/03/2017,2-3,"['3-0', '3-0', '1-3', '0-3', '0-3']",2,3,7,9
Hong Kong Football Club M3A,Alpha CUHK Master,Hong Kong Football Club (HKFC),18,09/03/2017,4-1,"['1-3', '3-0', '3-2', '3-0', '3-0']",4,1,13,5
The Hong Kong Jockey Club Master 3,Hong Kong Cricket Club M3,HKJC Sha Tin Club House (HKJC),18,09/03/2017,5-0,"['3-0', '3-2', '3-0', '3-0', '3-1']",5,0,15,3
Hong Kong Football Club M3A,The Hong Kong Jockey Club Master 3,Hong Kong Football Club (HKFC),19,16/03/2017,2-3,"['0-3', '0-3', '3-0', '3-0', '0-3']",2,3,6,9
Sovereign Group LRC Master 3,Hong Kong Cricket Club M3,Ladies Recreation Club (LRC),19,16/03/2017,5-0,"['3-0', '3-0', '3-0', '3-0', '3-1']",5,0,15,1
Alpha CUHK Master,Hong Kong Football Club M3B,Chinese University of HK (CUHK),19,16/03/2017,4-1,"['3-0', '3-1', '3-0', '3-0', '1-3']",4,1,13,4
American Club,Perrier KCC M3,American Club,19,16/03/2017,1-4,"['0-3', '2-3', '1-3', '0-3', '3-2']",1,4,6,14
Perrier KCC M3,Sovereign Group LRC Master 3,Kowloon Cricket Club (KCC),20,23/03/2017,4-1,"['3-0', '1-3', '3-0', '3-1', '3-0']",4,1,13,4
Alpha CUHK Master,American Club,Chinese University of HK (CUHK),20,23/03/2017,4-1,"['3-0', '3-0', '3-1', '3-0', '2-3']",4,1,14,4
Hong Kong Football Club M3B,The Hong Kong Jockey Club Master 3,Hong Kong Football Club (HKFC),20,23/03/2017,1-4,"['3-1', '1-3', '0-3', '2-3', '1-3']",1,4,7,13
Hong Kong Cricket Club M3,Hong Kong Football Club M3A,Hong Kong Cricket Club (HKCC),20,23/03/2017,2-3,"['3-0', '0-3', '0-3', '3-2', '1-3']",2,3,7,11
American Club,The Hong Kong Jockey Club Master 3,American Club,21,30/03/2017,2-3,"['3-2', '1-3', '2-3', '3-2', '1-3']",2,3,10,13
Hong Kong Football Club M3B,Hong Kong Cricket Club M3,Hong Kong Football Club (HKFC),21,30/03/2017,3-2,"['2-3', '0-3', '3-1', '3-1', '3-2']",3,2,11,10
Perrier KCC M3,Alpha CUHK Master,Kowloon Cricket Club (KCC),21,30/03/2017,4-1,"['3-0', '3-2', '3-1', '3-0', '0-3']",4,1,12,6
Sovereign Group LRC Master 3,Hong Kong Football Club M3A,Ladies Recreation Club (LRC),21,30/03/2017,3-2,"['3-0', '0-3', '3-2', '0-3', '3-0']",3,2,9,8
