Team,Played,Won,Lost,Points,CRs Given,CRs Received,WOs Given,WOs Received,Rubbers For,Rubbers Against
Spirit 2,18,18,0,88,1,2,0,1,74,16
GS 1,18,15,3,68,0,0,3,0,73,17
The Zero Squash Club 1,18,10,8,61,0,1,0,2,51,39
Friend Club 4,18,10,8,60,2,1,0,0,51,39
Hong Kong Football Club 7,18,10,8,59,0,2,0,0,49,41
i-Mask Advance Squash Club 5,17,10,7,52,0,0,0,0,43,42
Yuen Long Squash Club,17,9,8,43,1,4,0,2,36,49
Giant 3,18,6,12,28,0,4,0,1,32,58
Graduated,18,1,17,18,9,0,1,1,18,72
WSC NOSET,18,1,17,13,1,0,3,0,18,72
