Team Name,Home,Average Home Score,Average Away Score,Difference
Tomcat,Cornwall Street (CSPSC),2.4,1.0,1.4
That's 4,Cornwall Street (CSPSC),0.8,0.5,0.30000000000000004
United Services Recreation Club 3,United Services Recreation Club (USRC),3.4444444444444446,3.3333333333333335,0.11111111111111116
Kinetic 2,HK Squash Centre (HKSC),3.875,3.8333333333333335,0.04166666666666652
Neptune,Cornwall Street (CSPSC),1.1428571428571428,1.4,-0.2571428571428571
The Squash Club 1,Cornwall Street (CSPSC),3.0,3.5,-0.5
Fung King 2,Tai Wo Hau (TWHSC),2.5555555555555554,3.111111111111111,-0.5555555555555558
Yuen Long Jr 1,Lai King (LKSC),2.2222222222222223,2.888888888888889,-0.6666666666666665
i-Mask Advance Squash Club 4,HK Squash Centre (HKSC),2.25,3.5,-1.25
Friend Club 3,Cornwall Street (CSPSC),0.4,2.0,-1.6
