Team,Most Games,Most Wins,Highest Win Percentage
Friend Club 4,Au Alex Ka Man (16),Ip Sheung Sau (12),Ip Sheung Sau (92.3%)
GS 1,Lee Dennis Joshua (18),Lee Dennis Joshua (16),Ho Kwan Yin (91.7%)
Giant 3,Weng Yi Kong (18),Weng Yi Kong (11),Weng Yi Kong (61.1%)
Graduated,Yiu Nicole Ming Ying (15),Chan Olivia (6),Chan Olivia (60.0%)
Hong Kong Football Club 7,Ng Henry Cheuk Kiu (14),Niederberger Jurg (8),Niederberger Jurg (66.7%)
Spirit 2,Rosenzweig Nathan Shuyou (13),Rosenzweig Nathan Shuyou (13),"Rosenzweig Nathan Shuyou, Cheng Miriam Min-Chen, Wong Anson (100.0%)"
The Zero Squash Club 1,Ng Tsz Chun (13),Wong King Tat (9),Wong King Tat (81.8%)
WSC NOSET,Or  Ka Ming (17),Or  Ka Ming (7),Or  Ka Ming (41.2%)
Yuen Long Squash Club,Chan Shiu Ming (16),Chu Sing Pik (9),Chu Sing Pik (75.0%)
i-Mask Advance Squash Club 5,"Chan Ho Yu, Chan Tat Ho, Chan Hei Ching Boris (16)",Chan Hei Ching Boris (11),Chan Hei Ching Boris (68.8%)
