Home Team,Away Team,Venue,Match Week,Date,Overall Score,Rubbers,Home Score,Away Score,Home Games Won,Away Games Won
Hong Kong Football Club 10A,Hong Kong Football Club 10B,Hong Kong Football Club (HKFC),1,09/10/2017,2-3,"['3-0', '1-3', '3-0', '2-3', '1-3']",2,3,10,9
The Zero Squash Club 2,Xavier,Cornwall Street (CSPSC),1,09/10/2017,2-3,"['3-1', '1-3', '0-3', '2-3', '3-0']",2,3,9,10
Friend Club 5,ISRC United 2,Cornwall Street (CSPSC),1,09/10/2017,3-2,"['0-3', '1-3', '3-0', '3-0', '3-1']",3,2,10,7
Tuen Mun Squash Club 1,Head Shatin 3,Tuen Mun Butterfly Beach (TMBBSC),1,09/10/2017,2-3,"['0-3', '3-2', '2-3', '0-3', '3-0']",2,3,8,11
Royal Hong Kong Yacht Club 10,The Hong Kong Jockey Club,Royal Hong Kong Yacht Club (RHKYC),1,09/10/2017,0-5,"['0-3', '2-3', '1-3', '0-3', '0-3']",0,5,3,15
Tuen Mun Squash Club 1,Hong Kong Football Club 10A,Tuen Mun Butterfly Beach (TMBBSC),2,16/10/2017,2-3,"['2-3', '2-3', '1-3', '3-1', '3-0']",2,3,11,10
Xavier,ISRC United 2,Cornwall Street (CSPSC),2,16/10/2017,3-2,"['2-3', '1-3', '3-0', '3-0', '3-0']",3,2,12,6
Head Shatin 3,Royal Hong Kong Yacht Club 10,Cornwall Street (CSPSC),2,16/10/2017,5-0,"['3-1', '3-0', '3-0', '3-0', '3-1']",5,0,15,2
Hong Kong Football Club 10B,Friend Club 5,Hong Kong Football Club (HKFC),2,16/10/2017,2-3,"['1-3', '3-0', '0-3', '0-3', '3-0']",2,3,7,9
The Hong Kong Jockey Club,The Zero Squash Club 2,HKJC Sha Tin Club House (HKJC),2,16/10/2017,2-3,"['3-1', '3-1', '1-3', '1-3', '1-3']",2,3,9,11
ISRC United 2,The Zero Squash Club 2,HK Squash Centre (HKSC),3,23/10/2017,0-5,"['0-3', '2-3', '0-3', '0-3', '0-3']",0,5,2,15
